7.547216000000e-06	4.521807447058e-11	1.683081009187e-14	1.565964886510e+03	1.899967426082e-01	5.946388661601e-01
7.994417000000e-06	5.073642012611e-11	1.888422377425e-14	1.565945156540e+03	1.899951670770e-01	5.946379245116e-01
8.468116000000e-06	5.692397203966e-11	2.118936694051e-14	1.566007005666e+03	1.900001048159e-01	5.946403790368e-01
8.969883000000e-06	6.387294035042e-11	2.377393112500e-14	1.565952084843e+03	1.899956598483e-01	5.946380226990e-01
9.501382000000e-06	7.166766962079e-11	2.667448631382e-14	1.565935018572e+03	1.899941869948e-01	5.946371509333e-01
1.006437000000e-05	8.040987524370e-11	2.992998348122e-14	1.565969603544e+03	1.899969633843e-01	5.946384762343e-01
1.066073000000e-05	9.022460520157e-11	3.358106936077e-14	1.565929002457e+03	1.899935966237e-01	5.946366217319e-01
1.129241000000e-05	1.012321928303e-10	3.767892931051e-14	1.565944151556e+03	1.899947977894e-01	5.946370686215e-01
1.196153000000e-05	1.135806172894e-10	4.227755413346e-14	1.565980491923e+03	1.899976539313e-01	5.946383685983e-01
1.267030000000e-05	1.274408664536e-10	4.743580808426e-14	1.565968847245e+03	1.899966824336e-01	5.946376586875e-01
1.342106000000e-05	1.429927702769e-10	5.322326250444e-14	1.565952740836e+03	1.899954132234e-01	5.946367517394e-01
1.421631000000e-05	1.604350364468e-10	5.971895570927e-14	1.565988773747e+03	1.899982004539e-01	5.946379821422e-01
1.505868000000e-05	1.800140285498e-10	6.700473288514e-14	1.565969354699e+03	1.899965356540e-01	5.946368366454e-01
1.595096000000e-05	2.019795071770e-10	7.518045307012e-14	1.565965583666e+03	1.899960524402e-01	5.946362665831e-01
1.689611000000e-05	2.266276473772e-10	8.435289815508e-14	1.565949533213e+03	1.899946761990e-01	5.946352359997e-01
1.789727000000e-05	2.542826315873e-10	9.464467593638e-14	1.565938213300e+03	1.899935729600e-01	5.946342788723e-01
1.895775000000e-05	2.853108598775e-10	1.061927328798e-13	1.565931479439e+03	1.899929695454e-01	5.946335040105e-01
2.008107000000e-05	3.201239920059e-10	1.191500991857e-13	1.565930209810e+03	1.899927000100e-01	5.946328709233e-01
2.127095000000e-05	3.591726398007e-10	1.336916926773e-13	1.565965088714e+03	1.899953673578e-01	5.946336975099e-01
2.253133000000e-05	4.030006309215e-10	1.500036212042e-13	1.565955827061e+03	1.899943958953e-01	5.946325884096e-01
2.386639000000e-05	4.521701850661e-10	1.683071076825e-13	1.565961115379e+03	1.899945862312e-01	5.946319576706e-01
2.528057000000e-05	5.073639949625e-10	1.888373674184e-13	1.565911746375e+03	1.899903980381e-01	5.946290602601e-01
2.677853000000e-05	5.692467054428e-10	2.118857843021e-13	1.565957187467e+03	1.899937844524e-01	5.946299035600e-01
2.836526000000e-05	6.387037272709e-10	2.377387116691e-13	1.565954274000e+03	1.899931857985e-01	5.946285808693e-01
3.004601000000e-05	7.166375629459e-10	2.667469428783e-13	1.565949185578e+03	1.899924914991e-01	5.946271360203e-01
3.182635000000e-05	8.040899553848e-10	2.992903269445e-13	1.565929748298e+03	1.899904921188e-01	5.946248429957e-01
3.371218000000e-05	9.022008075983e-10	3.358083356283e-13	1.565925825025e+03	1.899897514670e-01	5.946230880540e-01
3.570975000000e-05	1.012278419792e-09	3.767826608021e-13	1.565926499606e+03	1.899892633155e-01	5.946212696029e-01
3.782568000000e-05	1.135774434136e-09	4.227605383973e-13	1.565937859356e+03	1.899896343313e-01	5.946196845965e-01
4.006700000000e-05	1.274385549818e-09	4.743336938991e-13	1.565904781456e+03	1.899863506742e-01	5.946161004168e-01
4.244112000000e-05	1.429903330886e-09	5.322018650494e-13	1.565879656109e+03	1.899836554955e-01	5.946124438703e-01
4.495591000000e-05	1.604279041582e-09	5.971621806707e-13	1.565934885107e+03	1.899873735617e-01	5.946119338792e-01
4.761972000000e-05	1.800004667800e-09	6.700273342336e-13	1.565936506317e+03	1.899866390110e-01	5.946086997420e-01
5.044136000000e-05	2.019677790007e-09	7.517626365506e-13	1.565899697814e+03	1.899826698727e-01	5.946035830699e-01
5.343020000000e-05	2.266108813060e-09	8.434827520273e-13	1.565885641860e+03	1.899804063987e-01	5.945989150670e-01
5.659614000000e-05	2.542631471545e-09	9.463845073738e-13	1.565859241222e+03	1.899770346060e-01	5.945932329774e-01
5.994967000000e-05	2.852823496672e-09	1.061857086176e-12	1.565858213685e+03	1.899755901255e-01	5.945881257369e-01
6.350191000000e-05	3.200856831863e-09	1.191421263679e-12	1.565855712989e+03	1.899738332241e-01	5.945822369674e-01
6.726464000000e-05	3.591406343796e-09	1.336771804635e-12	1.565831486066e+03	1.899701642710e-01	5.945748137284e-01
7.125032000000e-05	4.029555684304e-09	1.499865218754e-12	1.565819674328e+03	1.899672156398e-01	5.945671362677e-01
7.547216000000e-05	4.521089843680e-09	1.682874833054e-12	1.565819956632e+03	1.899651393890e-01	5.945590280014e-01
7.994417000000e-05	5.072685912204e-09	1.888174102118e-12	1.565793486350e+03	1.899604677536e-01	5.945488414481e-01
8.468116000000e-05	5.691757033090e-09	2.118467089315e-12	1.565728384341e+03	1.899525808636e-01	5.945360003021e-01
8.969883000000e-05	6.385860199749e-09	2.376978034953e-12	1.565746741222e+03	1.899509210660e-01	5.945253802975e-01
9.501382000000e-05	7.165329672783e-09	2.666822660392e-12	1.565648028648e+03	1.899395530030e-01	5.945084675780e-01
1.006437000000e-04	8.039039847833e-09	2.992250895626e-12	1.565667221791e+03	1.899372877125e-01	5.944949348747e-01
