### The result of the verage over time 
### d tau = 0.243659
### number of kessence update = 10
### initial time = 11.0931
### 1- tau	2- pi_k(x)	3-zeta(x)	 4-x
  11.0931	        0	        0	 (32 , 32 , 32) 
  11.3368	9.88223e-07	-9.02392e-09	 (32 , 32 , 32) 
  11.5854	2.01848e-06	-7.92851e-09	 (32 , 32 , 32) 
   11.839	2.98869e-06	-6.80729e-09	 (32 , 32 , 32) 
  12.0977	3.92672e-06	-5.59976e-09	 (32 , 32 , 32) 
  12.3616	4.83614e-06	-4.25648e-09	 (32 , 32 , 32) 
  12.6308	5.71935e-06	-2.73882e-09	 (32 , 32 , 32) 
  12.9055	6.57855e-06	-1.01698e-09	 (32 , 32 , 32) 
  13.1857	7.41582e-06	9.31635e-10	 (32 , 32 , 32) 
