7.547216000000e-06	9.517037088044e+02	2.007310888081e-01	9.803445000000e-02
7.994417000000e-06	9.517044207399e+02	2.007310104034e-01	9.655315000000e-02
8.468116000000e-06	9.517034574799e+02	2.007310437342e-01	9.486424000000e-02
8.969883000000e-06	9.517028664373e+02	2.007309652366e-01	9.508321000000e-02
9.501382000000e-06	9.517025155988e+02	2.007308958567e-01	9.508321000000e-02
1.006437000000e-05	9.517023869288e+02	2.007308425700e-01	9.362463000000e-02
1.066073000000e-05	9.517023127994e+02	2.007308130027e-01	9.265298000000e-02
1.129241000000e-05	9.517019766709e+02	2.007307233964e-01	9.168643000000e-02
1.196153000000e-05	9.517008215619e+02	2.007306529490e-01	9.029281000000e-02
1.267030000000e-05	9.517008115573e+02	2.007305531920e-01	9.072498000000e-02
1.342106000000e-05	9.517015472106e+02	2.007304167784e-01	8.976863000000e-02
1.421631000000e-05	9.517016903870e+02	2.007303089470e-01	8.976863000000e-02
1.505868000000e-05	9.517019081821e+02	2.007302385227e-01	8.881737000000e-02
1.595096000000e-05	9.517010720242e+02	2.007300667378e-01	8.799822000000e-02
1.689611000000e-05	9.516993432397e+02	2.007299130578e-01	8.718289000000e-02
1.789727000000e-05	9.516988277912e+02	2.007297676047e-01	8.594175000000e-02
1.895775000000e-05	9.516987223206e+02	2.007295423304e-01	8.637137000000e-02
2.008107000000e-05	9.516984415292e+02	2.007292989905e-01	8.556366000000e-02
2.127095000000e-05	9.516969229625e+02	2.007290606496e-01	8.556366000000e-02
2.253133000000e-05	9.516965142521e+02	2.007287733666e-01	8.574490000000e-02
2.386639000000e-05	9.516969628356e+02	2.007285039093e-01	8.475976000000e-02
2.528057000000e-05	9.516942615169e+02	2.007280885141e-01	8.475976000000e-02
2.677853000000e-05	9.516945858789e+02	2.007277043114e-01	8.378034000000e-02
2.836526000000e-05	9.516912109047e+02	2.007272379476e-01	8.313927000000e-02
3.004601000000e-05	9.516915834701e+02	2.007268066177e-01	9.776231000000e-02
3.182635000000e-05	9.516889614077e+02	2.007262051644e-01	9.636175000000e-02
3.371218000000e-05	9.516891821054e+02	2.007256028404e-01	9.486424000000e-02
3.570975000000e-05	9.516849243814e+02	2.007248663135e-01	9.497136000000e-02
3.782568000000e-05	9.516843185819e+02	2.007240845802e-01	9.497136000000e-02
4.006700000000e-05	9.516809092889e+02	2.007231676130e-01	9.359116000000e-02
4.244112000000e-05	9.516784936963e+02	2.007222139271e-01	9.262241000000e-02
4.495591000000e-05	9.516759156401e+02	2.007210421780e-01	9.165873000000e-02
4.761972000000e-05	9.516712648233e+02	2.007198313460e-01	9.029281000000e-02
5.044136000000e-05	9.516668410241e+02	2.007183706266e-01	9.070013000000e-02
5.343020000000e-05	9.516633075319e+02	2.007167952442e-01	8.974659000000e-02
5.659614000000e-05	9.516581234512e+02	2.007149850566e-01	8.974659000000e-02
5.994967000000e-05	9.516520063223e+02	2.007129952413e-01	8.879812000000e-02
6.350191000000e-05	9.516464838971e+02	2.007107662522e-01	8.797665000000e-02
6.726464000000e-05	9.516395897657e+02	2.007082601565e-01	8.715901000000e-02
7.125032000000e-05	9.516311542371e+02	2.007054444771e-01	8.594175000000e-02
7.547216000000e-05	9.516223457592e+02	2.007023052976e-01	8.634521000000e-02
7.994417000000e-05	9.516140807347e+02	2.006988061088e-01	8.553525000000e-02
8.468116000000e-05	9.516014119151e+02	2.006947975483e-01	8.553525000000e-02
8.969883000000e-05	9.515878421912e+02	2.006903268552e-01	8.569845000000e-02
9.501382000000e-05	9.515760648813e+02	2.006853545282e-01	8.472911000000e-02
1.006437000000e-04	9.515594966371e+02	2.006797328769e-01	8.472911000000e-02
1.066073000000e-04	9.515429505591e+02	2.006734039257e-01	8.376531000000e-02
1.129241000000e-04	9.515207825733e+02	2.006663620664e-01	8.312676000000e-02
1.196153000000e-04	9.514986945441e+02	2.006584194794e-01	9.886396000000e-02
1.267030000000e-04	9.514754407823e+02	2.006495380094e-01	9.754037000000e-02
1.342106000000e-04	9.514492083549e+02	2.006395876033e-01	9.622578000000e-02
1.421631000000e-04	9.514148393038e+02	2.006284747503e-01	9.486424000000e-02
1.505868000000e-04	9.513800058763e+02	2.006159511545e-01	9.492017000000e-02
1.595096000000e-04	9.513428996353e+02	2.006019348503e-01	9.492017000000e-02
1.689611000000e-04	9.512966744244e+02	2.005862114461e-01	9.362354000000e-02
1.789727000000e-04	9.512473040014e+02	2.005686122608e-01	9.242233000000e-02
1.895775000000e-04	9.511929126946e+02	2.005488579809e-01	9.029281000000e-02
2.008107000000e-04	9.511321122690e+02	2.005267317996e-01	9.122892000000e-02
2.127095000000e-04	9.510627421023e+02	2.005019846270e-01	9.004331000000e-02
2.253133000000e-04	9.509823285411e+02	2.004741883012e-01	8.886550000000e-02
2.386639000000e-04	9.508951569470e+02	2.004431521509e-01	8.769548000000e-02
2.528057000000e-04	9.507991980471e+02	2.004083493591e-01	8.769548000000e-02
2.677853000000e-04	9.506896152399e+02	2.003694805674e-01	8.594175000000e-02
2.836526000000e-04	9.505666723170e+02	2.003258909663e-01	8.653326000000e-02
3.004601000000e-04	9.504277824010e+02	2.002772428816e-01	8.583127000000e-02
3.182635000000e-04	9.502740246011e+02	2.002227816848e-01	8.513215000000e-02
3.371218000000e-04	9.501003324497e+02	2.001618701187e-01	8.443591000000e-02
3.570975000000e-04	9.499077053782e+02	2.000938950783e-01	8.374253000000e-02
3.782568000000e-04	9.496912321280e+02	2.000180773208e-01	8.305203000000e-02
4.006700000000e-04	9.494492343914e+02	1.999334270270e-01	8.305203000000e-02
