### The result of the verage over time 
### d tau = 0.15036
### number of kessence update = 10
### initial time = 6.42703
### 1- tau	2- average(H pi_k)	3- average (zeta)	 4- average (phi)   
  53.8065	8.04055e-07	1.76145e-06	6.351e-08
  54.5565	8.33609e-07	1.81924e-06	6.50299e-08
  55.3065	8.64696e-07	1.88266e-06	6.65323e-08
  56.0565	8.97576e-07	1.95422e-06	6.80143e-08
  56.8065	9.32609e-07	2.03798e-06	6.9469e-08
  57.5565	9.70327e-07	2.14113e-06	7.08914e-08
  58.3065	1.01158e-06	2.27788e-06	7.22704e-08
  59.0565	1.05792e-06	2.4804e-06	7.36002e-08
  59.8065	1.11262e-06	2.8366e-06	7.48755e-08
  60.5565	1.18481e-06	3.67773e-06	7.60898e-08
  61.3065	1.31482e-06	7.16466e-06	7.7236e-08
  62.0565	2.13205e-06	8.12328e-05	7.8307e-08
  62.8065	1.40132e+53	4.4248e+55	7.92962e-08
  63.5565	      nan	      nan	8.01976e-08
  64.3065	      nan	      nan	8.1003e-08
  65.0565	      nan	      nan	8.17043e-08
  65.8065	      nan	      nan	8.22942e-08
  66.5565	      nan	      nan	8.27661e-08
  67.3065	      nan	      nan	8.31125e-08
  68.0565	      nan	      nan	8.33275e-08
  68.8065	      nan	      nan	8.34042e-08
