### The result of the verage over time 
### d tau = 0.015036
### number of kessence update = 10
### initial time = 0.642703
### 1- tau	2- pi_k(x)	3-zeta(x)	 4-x
 0.642703	        0	        0	 (32 , 32 , 32) 
 0.657739	1.15916e-07	-4.95496e-06	 (32 , 32 , 32) 
 0.673084	2.45454e-07	-4.34664e-06	 (32 , 32 , 32) 
 0.688745	3.78485e-07	-3.71468e-06	 (32 , 32 , 32) 
 0.704726	5.1855e-07	-3.01292e-06	 (32 , 32 , 32) 
 0.721036	6.67542e-07	-2.2008e-06	 (32 , 32 , 32) 
  0.73768	8.27868e-07	-1.24373e-06	 (32 , 32 , 32) 
 0.754664	1.00248e-06	-1.13709e-07	 (32 , 32 , 32) 
 0.771996	1.19481e-06	1.21051e-06	 (32 , 32 , 32) 
 0.789681	1.40865e-06	2.74381e-06	 (32 , 32 , 32) 
 0.807728	1.64813e-06	4.49603e-06	 (32 , 32 , 32) 
 0.826143	1.9176e-06	6.47424e-06	 (32 , 32 , 32) 
 0.844933	2.22164e-06	8.68623e-06	 (32 , 32 , 32) 
 0.864106	2.56518e-06	1.11451e-05	 (32 , 32 , 32) 
 0.883669	2.95361e-06	1.38748e-05	 (32 , 32 , 32) 
 0.903631	3.39311e-06	1.69152e-05	 (32 , 32 , 32) 
 0.923998	3.89105e-06	2.0326e-05	 (32 , 32 , 32) 
 0.944778	4.4564e-06	2.41846e-05	 (32 , 32 , 32) 
 0.965981	5.1001e-06	2.85712e-05	 (32 , 32 , 32) 
 0.987614	5.83466e-06	3.35243e-05	 (32 , 32 , 32) 
  1.00969	6.6723e-06	3.89351e-05	 (32 , 32 , 32) 
   1.0322	7.6196e-06	4.43796e-05	 (32 , 32 , 32) 
  1.05518	8.6692e-06	4.90972e-05	 (32 , 32 , 32) 
  1.07862	9.79958e-06	5.28313e-05	 (32 , 32 , 32) 
  1.10253	1.1014e-05	5.81179e-05	 (32 , 32 , 32) 
  1.12693	1.24304e-05	7.13336e-05	 (32 , 32 , 32) 
  1.15182	1.43546e-05	0.000101841	 (32 , 32 , 32) 
  1.17722	1.78505e-05	0.000215658	 (32 , 32 , 32) 
  1.20313	2.99564e-05	0.00088567	 (32 , 32 , 32) 
  1.22956	      nan	      nan	 (32 , 32 , 32) 
  1.25652	      nan	      nan	 (32 , 32 , 32) 
  1.28403	      nan	      nan	 (32 , 32 , 32) 
   1.3121	      nan	      nan	 (32 , 32 , 32) 
  1.34073	      nan	      nan	 (32 , 32 , 32) 
  1.36993	      nan	      nan	 (32 , 32 , 32) 
  1.39973	      nan	      nan	 (32 , 32 , 32) 
  1.43012	      nan	      nan	 (32 , 32 , 32) 
  1.46113	      nan	      nan	 (32 , 32 , 32) 
  1.49276	      nan	      nan	 (32 , 32 , 32) 
  1.52503	      nan	      nan	 (32 , 32 , 32) 
  1.55795	      nan	      nan	 (32 , 32 , 32) 
  1.59153	      nan	      nan	 (32 , 32 , 32) 
  1.62578	      nan	      nan	 (32 , 32 , 32) 
  1.66072	      nan	      nan	 (32 , 32 , 32) 
  1.69637	      nan	      nan	 (32 , 32 , 32) 
  1.73273	      nan	      nan	 (32 , 32 , 32) 
  1.76982	      nan	      nan	 (32 , 32 , 32) 
  1.80765	      nan	      nan	 (32 , 32 , 32) 
  1.84625	      nan	      nan	 (32 , 32 , 32) 
  1.88561	      nan	      nan	 (32 , 32 , 32) 
  1.92577	      nan	      nan	 (32 , 32 , 32) 
  1.96673	      nan	      nan	 (32 , 32 , 32) 
  2.00851	      nan	      nan	 (32 , 32 , 32) 
  2.05113	      nan	      nan	 (32 , 32 , 32) 
   2.0946	      nan	      nan	 (32 , 32 , 32) 
  2.13894	      nan	      nan	 (32 , 32 , 32) 
  2.18417	      nan	      nan	 (32 , 32 , 32) 
   2.2303	      nan	      nan	 (32 , 32 , 32) 
  2.27735	      nan	      nan	 (32 , 32 , 32) 
  2.32534	      nan	      nan	 (32 , 32 , 32) 
  2.37428	      nan	      nan	 (32 , 32 , 32) 
   2.4242	      nan	      nan	 (32 , 32 , 32) 
  2.47512	      nan	      nan	 (32 , 32 , 32) 
  2.52704	      nan	      nan	 (32 , 32 , 32) 
  2.57999	      nan	      nan	 (32 , 32 , 32) 
  2.63399	      nan	      nan	 (32 , 32 , 32) 
  2.68906	      nan	      nan	 (32 , 32 , 32) 
  2.74522	      nan	      nan	 (32 , 32 , 32) 
  2.80248	      nan	      nan	 (32 , 32 , 32) 
  2.86087	      nan	      nan	 (32 , 32 , 32) 
   2.9204	      nan	      nan	 (32 , 32 , 32) 
   2.9811	      nan	      nan	 (32 , 32 , 32) 
  3.04298	      nan	      nan	 (32 , 32 , 32) 
  3.10606	      nan	      nan	 (32 , 32 , 32) 
  3.17036	      nan	      nan	 (32 , 32 , 32) 
  3.23589	      nan	      nan	 (32 , 32 , 32) 
  3.30269	      nan	      nan	 (32 , 32 , 32) 
  3.37075	      nan	      nan	 (32 , 32 , 32) 
   3.4401	      nan	      nan	 (32 , 32 , 32) 
  3.51076	      nan	      nan	 (32 , 32 , 32) 
  3.58272	      nan	      nan	 (32 , 32 , 32) 
  3.65602	      nan	      nan	 (32 , 32 , 32) 
  3.73065	      nan	      nan	 (32 , 32 , 32) 
  3.80663	      nan	      nan	 (32 , 32 , 32) 
  3.88396	      nan	      nan	 (32 , 32 , 32) 
  3.96265	      nan	      nan	 (32 , 32 , 32) 
  4.04269	      nan	      nan	 (32 , 32 , 32) 
  4.12408	      nan	      nan	 (32 , 32 , 32) 
  4.20681	      nan	      nan	 (32 , 32 , 32) 
  4.29088	      nan	      nan	 (32 , 32 , 32) 
  4.37626	      nan	      nan	 (32 , 32 , 32) 
  4.46293	      nan	      nan	 (32 , 32 , 32) 
  4.55086	      nan	      nan	 (32 , 32 , 32) 
  4.64001	      nan	      nan	 (32 , 32 , 32) 
  4.73035	      nan	      nan	 (32 , 32 , 32) 
  4.82181	      nan	      nan	 (32 , 32 , 32) 
  4.91434	      nan	      nan	 (32 , 32 , 32) 
  5.00787	      nan	      nan	 (32 , 32 , 32) 
  5.10231	      nan	      nan	 (32 , 32 , 32) 
  5.19758	      nan	      nan	 (32 , 32 , 32) 
  5.29358	      nan	      nan	 (32 , 32 , 32) 
  5.39019	      nan	      nan	 (32 , 32 , 32) 
   5.4873	      nan	      nan	 (32 , 32 , 32) 
  5.58476	      nan	      nan	 (32 , 32 , 32) 
