### The result of the verage over time 
### d tau = 0.00375899
### number of kessence update = 10
### initial time = 0.642702
### 1- tau	2- average(H pi_k)	3- average (zeta)	 4- average (phi)   
 0.642702	        0	        0	-1.2282e-20
 0.646461	-2.39308e-13	-2.14859e-11	-1.2282e-20
  0.65024	1.75187e-12	-9.5006e-12	1.44177e-10
 0.654037	5.12083e-12	9.66141e-12	2.76397e-10
 0.657855	9.91916e-12	3.59535e-11	4.04727e-10
 0.661692	1.61746e-11	6.92724e-11	5.30353e-10
 0.665548	2.3911e-11	1.09506e-10	6.53516e-10
 0.669425	3.31513e-11	1.56543e-10	7.74322e-10
 0.673321	4.39175e-11	2.10274e-10	8.92846e-10
 0.677237	5.62308e-11	2.70593e-10	1.00916e-09
 0.681174	7.01119e-11	3.37393e-10	1.12332e-09
  0.68513	8.55806e-11	4.10575e-10	1.23539e-09
 0.689107	1.02656e-10	4.9004e-10	1.34544e-09
 0.693105	1.21356e-10	5.75689e-10	1.45351e-09
 0.697122	1.41699e-10	6.6743e-10	1.55966e-09
 0.701161	1.63702e-10	7.65171e-10	1.66395e-09
  0.70522	1.87381e-10	8.68822e-10	1.76643e-09
   0.7093	2.12752e-10	9.78297e-10	1.86714e-09
 0.713401	2.3983e-10	1.09351e-09	1.96615e-09
 0.717522	2.6863e-10	1.21438e-09	2.06349e-09
 0.721665	2.99166e-10	1.34082e-09	2.15922e-09
  0.72583	3.31451e-10	1.47277e-09	2.25337e-09
 0.730015	3.65499e-10	1.61013e-09	2.346e-09
 0.734222	4.01322e-10	1.75284e-09	2.43715e-09
  0.73845	4.38932e-10	1.90082e-09	2.52685e-09
   0.7427	4.78341e-10	2.05402e-09	2.61516e-09
 0.746972	5.19559e-10	2.21234e-09	2.70212e-09
 0.751265	5.62598e-10	2.37574e-09	2.78775e-09
 0.755581	6.07467e-10	2.54414e-09	2.87211e-09
 0.759919	6.54176e-10	2.71749e-09	2.95522e-09
 0.764278	7.02735e-10	2.89572e-09	3.03714e-09
  0.76866	7.53154e-10	3.07877e-09	3.11788e-09
 0.773065	8.05439e-10	3.26659e-09	3.19749e-09
 0.777491	8.59601e-10	3.45913e-09	3.276e-09
 0.781941	9.15647e-10	3.65631e-09	3.35345e-09
 0.786413	9.73584e-10	3.85811e-09	3.42987e-09
 0.790908	1.03342e-09	4.06445e-09	3.50529e-09
 0.795426	1.09516e-09	4.27531e-09	3.57974e-09
 0.799967	1.15882e-09	4.49062e-09	3.65326e-09
 0.804531	1.22439e-09	4.71034e-09	3.72586e-09
 0.809118	1.2919e-09	4.93443e-09	3.79759e-09
 0.813729	1.36133e-09	5.16284e-09	3.86848e-09
 0.818364	1.4327e-09	5.39554e-09	3.93854e-09
 0.823021	1.50601e-09	5.63248e-09	4.00781e-09
 0.827703	1.58128e-09	5.87363e-09	4.07631e-09
 0.832408	1.65849e-09	6.11894e-09	4.14408e-09
 0.837138	1.73767e-09	6.36838e-09	4.21113e-09
 0.841891	1.81881e-09	6.62192e-09	4.27749e-09
 0.846669	1.90192e-09	6.87953e-09	4.34319e-09
 0.851471	1.98701e-09	7.14116e-09	4.40825e-09
 0.856298	2.07407e-09	7.4068e-09	4.47269e-09
 0.861149	2.16311e-09	7.67641e-09	4.53654e-09
 0.866024	2.25414e-09	7.94996e-09	4.59983e-09
 0.870925	2.34716e-09	8.22743e-09	4.66256e-09
  0.87585	2.44217e-09	8.50879e-09	4.72477e-09
 0.880801	2.53918e-09	8.79402e-09	4.78647e-09
 0.885777	2.6382e-09	9.08309e-09	4.84769e-09
 0.890777	2.73922e-09	9.37598e-09	4.90844e-09
 0.895804	2.84225e-09	9.67268e-09	4.96875e-09
 0.900856	2.94729e-09	9.97315e-09	5.02864e-09
 0.905933	3.05434e-09	1.02774e-08	5.08812e-09
 0.911037	3.16342e-09	1.05854e-08	5.14722e-09
 0.916166	3.27452e-09	1.08971e-08	5.20595e-09
 0.921321	3.38765e-09	1.12125e-08	5.26433e-09
 0.926503	3.50281e-09	1.15316e-08	5.32238e-09
 0.931711	 3.62e-09	1.18544e-08	5.38012e-09
 0.936945	3.73922e-09	1.21809e-08	5.43755e-09
 0.942206	3.86049e-09	1.2511e-08	5.49471e-09
 0.947493	3.9838e-09	1.28448e-08	5.5516e-09
 0.952808	4.10916e-09	1.31822e-08	5.60825e-09
 0.958149	4.23656e-09	1.35232e-08	5.66466e-09
 0.963517	4.36603e-09	1.38679e-08	5.72086e-09
 0.968913	4.49754e-09	1.42162e-08	5.77686e-09
 0.974336	4.63112e-09	1.4568e-08	5.83267e-09
 0.979787	4.76676e-09	1.49235e-08	5.88831e-09
 0.985265	4.90447e-09	1.52826e-08	5.94379e-09
 0.990771	5.04425e-09	1.56453e-08	5.99912e-09
 0.996304	5.18611e-09	1.60116e-08	6.05433e-09
  1.00187	5.33004e-09	1.63815e-08	6.10943e-09
  1.00746	5.47605e-09	1.6755e-08	6.16442e-09
  1.01307	5.62415e-09	1.7132e-08	6.21932e-09
  1.01872	5.77435e-09	1.75127e-08	6.27415e-09
   1.0244	5.92663e-09	1.78969e-08	6.32891e-09
   1.0301	6.08101e-09	1.82848e-08	6.38362e-09
  1.03583	6.2375e-09	1.86762e-08	6.4383e-09
   1.0416	6.39609e-09	1.90713e-08	6.49295e-09
  1.04739	6.55679e-09	1.94699e-08	6.54758e-09
  1.05321	6.71961e-09	1.98722e-08	6.60222e-09
  1.05906	6.88455e-09	2.02781e-08	6.65686e-09
  1.06494	7.05162e-09	2.06877e-08	6.71152e-09
  1.07085	7.22081e-09	2.11008e-08	6.76622e-09
  1.07679	7.39214e-09	2.15176e-08	6.82096e-09
  1.08275	7.5656e-09	2.19381e-08	6.87575e-09
  1.08875	7.74122e-09	2.23623e-08	6.93061e-09
  1.09478	7.91898e-09	2.27901e-08	6.98555e-09
  1.10084	8.0989e-09	2.32216e-08	7.04057e-09
  1.10694	8.28098e-09	2.36568e-08	7.09568e-09
  1.11306	8.46523e-09	2.40957e-08	7.15091e-09
  1.11921	8.65165e-09	2.45384e-08	7.20625e-09
  1.12539	8.84025e-09	2.49847e-08	7.26171e-09
  1.13161	9.03103e-09	2.54349e-08	7.31732e-09
  1.13785	9.22401e-09	2.58888e-08	7.37307e-09
  1.14413	9.41919e-09	2.63465e-08	7.42897e-09
  1.15044	9.61657e-09	2.6808e-08	7.48505e-09
  1.15678	9.81616e-09	2.72734e-08	7.54129e-09
  1.16316	1.0018e-08	2.77426e-08	7.59772e-09
  1.16956	1.0222e-08	2.82156e-08	7.65434e-09
    1.176	1.04283e-08	2.86925e-08	7.71117e-09
  1.18247	1.06368e-08	2.91734e-08	7.76821e-09
  1.18897	1.08476e-08	2.96581e-08	7.82546e-09
  1.19551	1.10606e-08	3.01468e-08	7.88295e-09
  1.20208	1.12759e-08	3.06395e-08	7.94067e-09
  1.20868	1.14934e-08	3.11361e-08	7.99864e-09
  1.21532	1.17133e-08	3.16368e-08	8.05687e-09
  1.22199	1.19354e-08	3.21415e-08	8.11535e-09
  1.22869	1.21598e-08	3.26503e-08	8.17411e-09
  1.23543	1.23866e-08	3.31632e-08	8.23315e-09
   1.2422	1.26156e-08	3.36801e-08	8.29248e-09
