# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=10
# for k=1.02819e-05 to 5.00333 h/Mpc,
# number of wavenumbers equal to 1940
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_tot                  7:phi                    8:psi                
       1.243287384249e-05      -2.230484602690e-04      -1.672994190659e-04      -1.672994202873e-04      -2.230482277152e-04      -1.674733942868e-04       6.014633907865e-01       5.995332259690e-01 
       1.250464960647e-05      -2.256310325100e-04      -1.692366527704e-04      -1.692366540203e-04      -2.256307945396e-04      -1.694126418983e-04       6.014633786321e-01       5.995332162461e-01 
       1.257683973647e-05      -2.282435048967e-04      -1.711963186771e-04      -1.711963199561e-04      -2.282432613835e-04      -1.713743450174e-04       6.014633668801e-01       5.995332070968e-01 
       1.264944662463e-05      -2.308862232762e-04      -1.731786763367e-04      -1.731786776455e-04      -2.308859740911e-04      -1.733587634641e-04       6.014633547934e-01       5.995331977699e-01 
       1.272247267693e-05      -2.335595379145e-04      -1.751839886178e-04      -1.751839899570e-04      -2.335592829254e-04      -1.753661603797e-04       6.014633427547e-01       5.995331883907e-01 
       1.279592031323e-05      -2.362638028596e-04      -1.772125212293e-04      -1.772125225998e-04      -2.362635419314e-04      -1.773968017489e-04       6.014633304433e-01       5.995331787659e-01 
       1.286979196736e-05      -2.389993764192e-04      -1.792645430791e-04      -1.792645444815e-04      -2.389991094136e-04      -1.794509567586e-04       6.014633179653e-01       5.995331690111e-01 
       1.294409008721e-05      -2.417666210971e-04      -1.813403262259e-04      -1.813403276610e-04      -2.417663478723e-04      -1.815288977496e-04       6.014633055411e-01       5.995331594689e-01 
       1.301881713479e-05      -2.445659034326e-04      -1.834401457599e-04      -1.834401472284e-04      -2.445656238438e-04      -1.836309000977e-04       6.014632930105e-01       5.995331497220e-01 
       1.309397558631e-05      -2.473975942255e-04      -1.855642799706e-04      -1.855642814733e-04      -2.473973081246e-04      -1.857572423808e-04       6.014632802287e-01       5.995331396545e-01 
       1.316956793232e-05      -2.502620686911e-04      -1.877130104635e-04      -1.877130120012e-04      -2.502617759265e-04      -1.879082064969e-04       6.014632673954e-01       5.995331296746e-01 
       1.324559667769e-05      -2.531597062095e-04      -1.898866219723e-04      -1.898866235458e-04      -2.531594066260e-04      -1.900840774748e-04       6.014632542496e-01       5.995331194792e-01 
       1.332206434181e-05      -2.560908907334e-04      -1.920854026647e-04      -1.920854042748e-04      -2.560905841719e-04      -1.922851437813e-04       6.014632409742e-01       5.995331091475e-01 
       1.339897345857e-05      -2.590560105173e-04      -1.943096439396e-04      -1.943096455873e-04      -2.590556968155e-04      -1.945116971175e-04       6.014632274502e-01       5.995330985729e-01 
       1.347632657650e-05      -2.620554584158e-04      -1.965596406509e-04      -1.965596423369e-04      -2.620551374074e-04      -1.967640326431e-04       6.014632137826e-01       5.995330878896e-01 
       1.355412625886e-05      -2.650896317987e-04      -1.988356910438e-04      -1.988356927691e-04      -2.650893033138e-04      -1.990424489128e-04       6.014632000150e-01       5.995330770245e-01 
       1.363237508369e-05      -2.681589328708e-04      -2.011380969941e-04      -2.011380987596e-04      -2.681585967354e-04      -2.013472481152e-04       6.014631866221e-01       5.995330667106e-01 
       1.371107564391e-05      -2.712637674020e-04      -2.034671630584e-04      -2.034671648651e-04      -2.712634234369e-04      -2.036787351231e-04       6.014631719489e-01       5.995330551690e-01 
       1.379023054742e-05      -2.744045478228e-04      -2.058231987919e-04      -2.058232006406e-04      -2.744041958469e-04      -2.060372198125e-04       6.014631582619e-01       5.995330446135e-01 
       1.386984241718e-05      -2.775816893443e-04      -2.082065158420e-04      -2.082065177338e-04      -2.775813291700e-04      -2.084230141542e-04       6.014631438112e-01       5.995330332989e-01 
       1.394991389128e-05      -2.807956131286e-04      -2.106174303250e-04      -2.106174322609e-04      -2.807952445652e-04      -2.108364345922e-04       6.014631291803e-01       5.995330219510e-01 
       1.403044762304e-05      -2.840467446166e-04      -2.130562615719e-04      -2.130562635528e-04      -2.840463674683e-04      -2.132778007887e-04       6.014631137850e-01       5.995330097477e-01 
       1.411144628111e-05      -2.873355151221e-04      -2.155233333231e-04      -2.155233353501e-04      -2.873351291895e-04      -2.157474368197e-04       6.014630988781e-01       5.995329980158e-01 
       1.419291254954e-05      -2.906623599484e-04      -2.180189723181e-04      -2.180189743924e-04      -2.906619650269e-04      -2.182456697637e-04       6.014630837381e-01       5.995329862831e-01 
       1.427484912787e-05      -2.940277198442e-04      -2.205435093867e-04      -2.205435115093e-04      -2.940273157247e-04      -2.207728307935e-04       6.014630684952e-01       5.995329742744e-01 
       1.435725873122e-05      -2.974320408724e-04      -2.230972793496e-04      -2.230972815216e-04      -2.974316273409e-04      -2.233292550768e-04       6.014630536130e-01       5.995329627999e-01 
       1.444014409041e-05      -3.008757733744e-04      -2.256806202441e-04      -2.256806224668e-04      -3.008753502111e-04      -2.259152810016e-04       6.014630379179e-01       5.995329503801e-01 
       1.452350795200e-05      -3.043593738347e-04      -2.282938747206e-04      -2.282938769950e-04      -3.043589408157e-04      -2.285312515733e-04       6.014630220699e-01       5.995329381974e-01 
       1.460735307841e-05      -3.078833037372e-04      -2.309373891851e-04      -2.309373915125e-04      -3.078828606320e-04      -2.311775135573e-04       6.014630060168e-01       5.995329256184e-01 
       1.469168224802e-05      -3.114480298527e-04      -2.336115140173e-04      -2.336115163990e-04      -3.114475764271e-04      -2.338544176964e-04       6.014629898477e-01       5.995329130908e-01 
       1.477649825524e-05      -3.150540243636e-04      -2.363166036612e-04      -2.363166060983e-04      -3.150535603770e-04      -2.365623188019e-04       6.014629734865e-01       5.995329003476e-01 
       1.486180391061e-05      -3.187017648927e-04      -2.390530166490e-04      -2.390530191428e-04      -3.187012900997e-04      -2.393015757779e-04       6.014629569106e-01       5.995328872447e-01 
       1.494760204091e-05      -3.223917343555e-04      -2.418211154892e-04      -2.418211180411e-04      -3.223912485036e-04      -2.420725515087e-04       6.014629396143e-01       5.995328735637e-01 
       1.503389548922e-05      -3.261244223951e-04      -2.446212677425e-04      -2.446212703539e-04      -3.261239252275e-04      -2.448756139358e-04       6.014629231121e-01       5.995328609146e-01 
       1.512068711504e-05      -3.299003225260e-04      -2.474538438842e-04      -2.474538465564e-04      -3.298998137791e-04      -2.477111339185e-04       6.014629059041e-01       5.995328473705e-01 
