# background statistics
# cycle   tau/boxsize    a             conformal H/H0  phi(k=0)       T00(k=0)
      0   5.623646e-01   9.900990e-03   5.696668e+00   0.000000e+00   3.120460e-01
      1   5.755211e-01   1.030088e-02   5.581878e+00   5.667263e-10   3.120460e-01
      2   5.889481e-01   1.071692e-02   5.469515e+00   1.089899e-09   3.120460e-01
      3   6.026510e-01   1.114977e-02   5.359523e+00   1.576705e-09   3.120460e-01
      4   6.166351e-01   1.160010e-02   5.251844e+00   2.031292e-09   3.120460e-01
      5   6.309059e-01   1.206863e-02   5.146426e+00   2.457401e-09   3.120460e-01
      6   6.454691e-01   1.255609e-02   5.043215e+00   2.858419e-09   3.120460e-01
      7   6.603302e-01   1.306324e-02   4.942160e+00   3.237425e-09   3.120460e-01
      8   6.754953e-01   1.359088e-02   4.843211e+00   3.597220e-09   3.120460e-01
      9   6.909702e-01   1.413984e-02   4.746320e+00   3.940358e-09   3.120460e-01
     10   7.067609e-01   1.471097e-02   4.651440e+00   4.269175e-09   3.120460e-01
     11   7.228738e-01   1.530518e-02   4.558526e+00   4.585807e-09   3.120460e-01
     12   7.393151e-01   1.592340e-02   4.467532e+00   4.892216e-09   3.120460e-01
     13   7.560913e-01   1.656659e-02   4.378415e+00   5.190204e-09   3.120460e-01
     14   7.732089e-01   1.723576e-02   4.291134e+00   5.481433e-09   3.120459e-01
     15   7.906748e-01   1.793197e-02   4.205648e+00   5.767439e-09   3.120459e-01
     16   8.084956e-01   1.865631e-02   4.121916e+00   6.049646e-09   3.120459e-01
     17   8.266784e-01   1.940991e-02   4.039901e+00   6.329377e-09   3.120459e-01
     18   8.452304e-01   2.019396e-02   3.959563e+00   6.607865e-09   3.120459e-01
     19   8.641588e-01   2.100968e-02   3.880868e+00   6.886267e-09   3.120459e-01
     20   8.834710e-01   2.185835e-02   3.803777e+00   7.165668e-09   3.120459e-01
     21   9.031746e-01   2.274132e-02   3.728258e+00   7.447093e-09   3.120459e-01
     22   9.232773e-01   2.365995e-02   3.654275e+00   7.731512e-09   3.120459e-01
     23   9.437870e-01   2.461570e-02   3.581796e+00   8.019849e-09   3.120459e-01
     24   9.647117e-01   2.561006e-02   3.510788e+00   8.312988e-09   3.120459e-01
     25   9.860597e-01   2.664460e-02   3.441220e+00   8.611777e-09   3.120459e-01
     26   1.007839e+00   2.772092e-02   3.373061e+00   8.917037e-09   3.120459e-01
     27   1.030059e+00   2.884074e-02   3.306281e+00   9.229562e-09   3.120459e-01
     28   1.052727e+00   3.000579e-02   3.240851e+00   9.550127e-09   3.120459e-01
     29   1.075853e+00   3.121792e-02   3.176743e+00   9.879491e-09   3.120458e-01
     30   1.099446e+00   3.247901e-02   3.113928e+00   1.021840e-08   3.120458e-01
     31   1.123515e+00   3.379105e-02   3.052381e+00   1.056760e-08   3.120458e-01
     32   1.148069e+00   3.515610e-02   2.992073e+00   1.092782e-08   3.120458e-01
     33   1.173118e+00   3.657630e-02   2.932981e+00   1.129979e-08   3.120458e-01
     34   1.198671e+00   3.805388e-02   2.875077e+00   1.168424e-08   3.120458e-01
     35   1.224739e+00   3.959116e-02   2.818339e+00   1.208192e-08   3.120458e-01
     36   1.251332e+00   4.119054e-02   2.762742e+00   1.249356e-08   3.120458e-01
     37   1.278461e+00   4.285454e-02   2.708262e+00   1.291992e-08   3.120458e-01
     38   1.306134e+00   4.458577e-02   2.654877e+00   1.336177e-08   3.120458e-01
     39   1.334365e+00   4.638694e-02   2.602565e+00   1.381986e-08   3.120457e-01
     40   1.363163e+00   4.826089e-02   2.551304e+00   1.429501e-08   3.120457e-01
