### The result of the verage over time 
### d tau = 0.015036
### number of kessence update = 10
### initial time = 0.642703
### 1- tau	2- average(H pi_k)	3- average (zeta)	 4- average (phi)   
 0.642703	5.21085e-21	        0	-3.11285e-20
 0.657739	1.37895e-12	3.41352e-10	-3.11285e-20
 0.673084	6.25455e-11	9.86162e-10	5.93511e-10
 0.688745	1.61709e-10	1.58393e-09	1.10011e-09
 0.704726	2.94442e-10	2.14166e-09	1.56786e-09
 0.721036	4.56221e-10	2.66478e-09	2.00256e-09
  0.73768	6.43081e-10	3.15811e-09	2.40793e-09
 0.754664	8.51581e-10	3.62594e-09	2.78723e-09
 0.771996	1.07874e-09	4.07214e-09	3.14343e-09
 0.789681	1.322e-09	4.50017e-09	3.47917e-09
 0.807728	1.57914e-09	4.91316e-09	3.79688e-09
 0.826143	1.84829e-09	5.31391e-09	4.09877e-09
 0.844933	2.12785e-09	5.70495e-09	4.38685e-09
 0.864106	2.41648e-09	6.0886e-09	4.66296e-09
 0.883669	2.71305e-09	6.46693e-09	4.92877e-09
 0.903631	3.01663e-09	6.84184e-09	5.18582e-09
 0.923998	3.32648e-09	7.21509e-09	5.43552e-09
 0.944778	3.64201e-09	7.58825e-09	5.67918e-09
 0.965981	3.96275e-09	7.96281e-09	5.91798e-09
 0.987614	4.28837e-09	8.34011e-09	6.15303e-09
  1.00969	4.61865e-09	8.72143e-09	6.38536e-09
   1.0322	4.95343e-09	9.10796e-09	6.61592e-09
  1.05518	5.29268e-09	9.5008e-09	6.84558e-09
  1.07862	5.63642e-09	9.901e-09	7.07518e-09
  1.10253	5.98475e-09	1.03096e-08	7.3055e-09
  1.12693	6.3378e-09	1.07275e-08	7.53726e-09
  1.15182	6.6958e-09	1.11557e-08	7.77115e-09
  1.17722	7.05898e-09	1.1595e-08	8.00783e-09
  1.20313	7.42765e-09	1.20463e-08	8.24793e-09
  1.22956	7.80214e-09	1.25105e-08	8.49204e-09
  1.25652	8.18281e-09	1.29885e-08	8.74073e-09
  1.28403	8.57006e-09	1.3481e-08	8.99457e-09
   1.3121	8.96433e-09	1.39889e-08	9.25408e-09
  1.34073	9.36607e-09	1.4513e-08	9.5198e-09
  1.36993	9.77576e-09	1.50542e-08	9.79224e-09
  1.39973	1.01939e-08	1.56133e-08	1.00719e-08
  1.43012	1.06211e-08	1.61911e-08	1.03593e-08
  1.46113	1.10577e-08	1.67886e-08	1.06549e-08
  1.49276	1.15045e-08	1.74066e-08	1.09592e-08
  1.52503	1.1962e-08	1.80459e-08	1.12728e-08
  1.55795	1.24308e-08	1.87076e-08	1.1596e-08
  1.59153	1.29115e-08	1.93926e-08	1.19294e-08
  1.62578	1.34049e-08	2.01018e-08	1.22735e-08
  1.66072	1.39115e-08	2.08362e-08	1.26289e-08
  1.69637	1.44321e-08	2.15968e-08	1.2996e-08
  1.73273	1.49673e-08	2.23848e-08	1.33753e-08
  1.76982	1.5518e-08	2.32011e-08	1.37674e-08
  1.80765	1.60848e-08	2.40469e-08	1.41728e-08
  1.84625	1.66686e-08	2.49234e-08	1.45921e-08
  1.88561	1.72702e-08	2.58317e-08	1.50258e-08
  1.92577	1.78904e-08	2.67731e-08	1.54746e-08
  1.96673	1.853e-08	2.77488e-08	1.59391e-08
  2.00851	1.91899e-08	2.87602e-08	1.64197e-08
  2.05113	1.98711e-08	2.98086e-08	1.69172e-08
   2.0946	2.05745e-08	3.08954e-08	1.74323e-08
  2.13894	2.13011e-08	3.20221e-08	1.79655e-08
  2.18417	2.20518e-08	3.31902e-08	1.85176e-08
   2.2303	2.28278e-08	3.44012e-08	1.90893e-08
  2.27735	2.36301e-08	3.56568e-08	1.96813e-08
  2.32534	2.44597e-08	3.69586e-08	2.02943e-08
  2.37428	2.5318e-08	3.83083e-08	2.0929e-08
   2.4242	2.6206e-08	3.97076e-08	2.15864e-08
  2.47512	2.7125e-08	4.11585e-08	2.2267e-08
  2.52704	2.80764e-08	4.26628e-08	2.29719e-08
  2.57999	2.90614e-08	4.42223e-08	2.37018e-08
  2.63399	3.00814e-08	4.58392e-08	2.44575e-08
  2.68906	3.1138e-08	4.75155e-08	2.524e-08
  2.74522	3.22325e-08	4.92532e-08	2.60501e-08
  2.80248	3.33667e-08	5.10546e-08	2.68887e-08
  2.86087	3.45421e-08	5.29218e-08	2.77567e-08
   2.9204	3.57605e-08	5.48571e-08	2.8655e-08
   2.9811	3.70236e-08	5.68628e-08	2.95845e-08
  3.04298	3.83334e-08	5.89412e-08	3.05462e-08
  3.10606	3.96919e-08	6.10948e-08	3.15408e-08
  3.17036	4.1101e-08	6.33258e-08	3.25694e-08
  3.23589	4.2563e-08	6.56368e-08	3.36327e-08
  3.30269	4.40801e-08	6.80301e-08	3.47316e-08
  3.37075	4.56549e-08	7.05081e-08	3.58668e-08
   3.4401	4.72898e-08	7.30733e-08	3.7039e-08
  3.51076	4.89874e-08	7.57279e-08	3.82489e-08
  3.58272	5.07508e-08	7.84742e-08	3.9497e-08
  3.65602	5.25829e-08	8.13143e-08	4.07837e-08
  3.73065	5.44869e-08	8.42502e-08	4.21092e-08
  3.80663	5.64662e-08	8.72838e-08	4.34737e-08
  3.88396	5.85244e-08	9.04168e-08	4.48771e-08
  3.96265	6.06656e-08	9.36504e-08	4.6319e-08
  4.04269	6.28937e-08	9.69858e-08	4.77988e-08
  4.12408	6.52132e-08	1.00423e-07	4.93155e-08
  4.20681	6.76289e-08	1.03964e-07	5.08679e-08
  4.29088	7.01458e-08	1.07606e-07	5.24541e-08
  4.37626	7.27694e-08	1.1135e-07	5.40721e-08
  4.46293	7.55054e-08	1.15192e-07	5.57189e-08
  4.55086	7.83602e-08	1.19132e-07	5.73914e-08
  4.64001	8.13402e-08	1.23165e-07	5.90854e-08
  4.73035	8.44527e-08	1.27286e-07	6.07963e-08
  4.82181	8.7705e-08	1.3149e-07	6.25185e-08
  4.91434	9.11052e-08	1.35768e-07	6.42456e-08
  5.00787	9.46616e-08	1.40113e-07	6.59705e-08
  5.10231	9.8383e-08	1.44514e-07	6.7685e-08
  5.19758	1.02278e-07	1.48958e-07	6.93802e-08
  5.29358	1.06357e-07	1.5343e-07	7.10461e-08
  5.39019	1.10629e-07	1.57915e-07	7.2672e-08
   5.4873	1.15104e-07	1.62394e-07	7.42463e-08
  5.58476	1.1979e-07	1.66846e-07	7.57569e-08
  5.68245	1.24698e-07	1.71249e-07	7.71911e-08
   5.7802	1.29836e-07	1.75578e-07	7.85359e-08
  5.87787	1.35212e-07	1.79805e-07	7.97782e-08
  5.97529	1.40834e-07	1.83904e-07	8.09051e-08
   6.0723	1.46706e-07	1.87843e-07	8.19044e-08
  6.16872	1.52833e-07	1.91593e-07	8.27643e-08
  6.26439	1.59217e-07	1.95121e-07	8.34743e-08
  6.35915	1.65859e-07	1.98397e-07	8.40253e-08
  6.45282	1.72757e-07	2.01389e-07	8.44098e-08
  6.54525	1.79906e-07	2.04067e-07	8.46222e-08
   6.6363	1.873e-07	2.06404e-07	8.46588e-08
  6.72582	1.94928e-07	2.08373e-07	8.45184e-08
  6.81369	2.02779e-07	2.09952e-07	8.42015e-08
   6.8998	2.10838e-07	2.1112e-07	8.37112e-08
