### The result of the verage over time 
### d tau = 0.015036
### number of kessence update = 10
### initial time = 0.642703
### 1- tau	2- average(H pi_k)	3- average (zeta)	 4- average (phi)   
 0.642703	        0	    1e-08	3.81165e-21
 0.657739	3.84851e-10	9.40728e-09	3.81165e-21
 0.673084	7.33196e-10	8.35434e-09	3.73593e-10
 0.688745	1.04073e-09	7.42214e-09	6.88201e-10
 0.704726	1.31249e-09	6.59843e-09	9.66222e-10
 0.721036	1.55302e-09	5.8723e-09	1.21765e-09
  0.73768	1.7664e-09	5.23405e-09	1.44757e-09
 0.754664	1.95626e-09	4.67505e-09	1.65916e-09
 0.771996	2.12587e-09	4.18763e-09	1.85473e-09
 0.789681	2.27813e-09	3.76498e-09	2.03613e-09
 0.807728	2.41566e-09	3.40105e-09	2.20499e-09
 0.826143	2.54078e-09	3.09046e-09	2.36271e-09
 0.844933	2.65559e-09	2.82842e-09	2.51054e-09
 0.864106	2.76197e-09	2.6107e-09	2.64961e-09
 0.883669	2.8616e-09	2.43354e-09	2.78095e-09
 0.903631	2.95601e-09	2.29358e-09	2.90548e-09
 0.923998	3.04656e-09	2.18787e-09	3.02404e-09
 0.944778	3.13449e-09	2.11379e-09	3.13739e-09
 0.965981	3.22091e-09	2.06901e-09	3.24623e-09
 0.987614	3.30684e-09	2.05148e-09	3.3512e-09
  1.00969	3.39321e-09	2.05938e-09	3.45288e-09
   1.0322	3.48084e-09	2.09113e-09	3.5518e-09
  1.05518	3.5705e-09	2.14532e-09	3.64847e-09
  1.07862	3.6629e-09	2.22071e-09	3.74333e-09
  1.10253	3.75869e-09	2.31623e-09	3.8368e-09
  1.12693	3.85846e-09	2.43095e-09	3.92926e-09
  1.15182	3.96277e-09	2.56406e-09	4.02109e-09
  1.17722	4.07213e-09	2.71484e-09	4.11261e-09
  1.20313	4.18702e-09	2.88272e-09	4.20413e-09
  1.22956	4.30791e-09	3.06718e-09	4.29596e-09
  1.25652	4.43521e-09	3.26781e-09	4.38836e-09
  1.28403	4.56934e-09	3.48427e-09	4.48159e-09
   1.3121	4.71068e-09	3.71627e-09	4.57591e-09
  1.34073	4.85962e-09	3.96361e-09	4.67154e-09
  1.36993	5.0165e-09	4.22614e-09	4.76871e-09
  1.39973	5.18169e-09	4.50376e-09	4.86763e-09
  1.43012	5.35552e-09	4.79643e-09	4.96851e-09
  1.46113	5.53833e-09	5.10413e-09	5.07156e-09
  1.49276	5.73045e-09	5.42691e-09	5.17695e-09
  1.52503	5.93221e-09	5.76486e-09	5.28488e-09
  1.55795	6.14394e-09	6.11809e-09	5.39554e-09
  1.59153	6.36597e-09	6.48676e-09	5.5091e-09
  1.62578	6.59862e-09	6.87106e-09	5.62576e-09
  1.66072	6.84222e-09	7.2712e-09	5.74567e-09
  1.69637	7.09711e-09	7.68745e-09	5.86902e-09
  1.73273	7.36363e-09	8.12009e-09	5.99599e-09
  1.76982	7.64213e-09	8.56944e-09	6.12675e-09
  1.80765	7.93295e-09	9.03583e-09	6.26148e-09
  1.84625	8.23646e-09	9.51963e-09	6.40036e-09
  1.88561	8.55303e-09	1.00212e-08	6.54355e-09
  1.92577	8.88304e-09	1.05411e-08	6.69126e-09
  1.96673	9.22688e-09	1.10796e-08	6.84364e-09
  2.00851	9.58495e-09	1.16374e-08	7.0009e-09
  2.05113	9.95766e-09	1.22147e-08	7.16322e-09
   2.0946	1.03455e-08	1.28123e-08	7.33079e-09
  2.13894	1.07488e-08	1.34307e-08	7.5038e-09
  2.18417	1.11681e-08	1.40704e-08	7.68246e-09
   2.2303	1.16038e-08	1.47321e-08	7.86695e-09
  2.27735	1.20565e-08	1.54163e-08	8.0575e-09
  2.32534	1.25266e-08	1.61238e-08	8.2543e-09
  2.37428	1.30148e-08	1.68553e-08	8.45756e-09
   2.4242	1.35215e-08	1.76115e-08	8.66751e-09
  2.47512	1.40474e-08	1.8393e-08	8.88436e-09
  2.52704	1.45929e-08	1.92008e-08	9.10833e-09
  2.57999	1.51589e-08	2.00355e-08	9.33964e-09
  2.63399	1.57459e-08	2.08981e-08	9.57854e-09
  2.68906	1.63546e-08	2.17893e-08	9.82523e-09
  2.74522	1.69857e-08	2.271e-08	1.008e-08
  2.80248	1.764e-08	2.36612e-08	1.03429e-08
  2.86087	1.83183e-08	2.46438e-08	1.06144e-08
   2.9204	1.90215e-08	2.56587e-08	1.08946e-08
   2.9811	1.97503e-08	2.67069e-08	1.11838e-08
  3.04298	2.05058e-08	2.77894e-08	1.14821e-08
  3.10606	2.12889e-08	2.89071e-08	1.17898e-08
  3.17036	2.21007e-08	3.00612e-08	1.21071e-08
  3.23589	2.29422e-08	3.12526e-08	1.24341e-08
  3.30269	2.38147e-08	3.24825e-08	1.27711e-08
  3.37075	2.47193e-08	3.37517e-08	1.31182e-08
   3.4401	2.56574e-08	3.50614e-08	1.34755e-08
  3.51076	2.66305e-08	3.64126e-08	1.38431e-08
  3.58272	2.764e-08	3.78064e-08	1.42211e-08
  3.65602	2.86876e-08	3.92435e-08	1.46095e-08
  3.73065	2.97751e-08	4.07252e-08	1.50083e-08
  3.80663	3.09043e-08	4.22521e-08	1.54174e-08
  3.88396	3.20774e-08	4.38251e-08	1.58367e-08
  3.96265	3.32965e-08	4.5445e-08	1.62658e-08
  4.04269	3.45641e-08	4.71124e-08	1.67046e-08
  4.12408	3.58829e-08	4.88277e-08	1.71524e-08
  4.20681	3.72556e-08	5.05913e-08	1.76089e-08
  4.29088	3.86854e-08	5.24034e-08	1.80734e-08
  4.37626	4.01757e-08	5.42639e-08	1.85449e-08
  4.46293	4.17304e-08	5.61725e-08	1.90225e-08
  4.55086	4.33533e-08	5.81286e-08	1.95051e-08
  4.64001	4.5049e-08	6.01312e-08	1.99912e-08
  4.73035	4.68223e-08	6.21791e-08	2.04793e-08
  4.82181	4.86784e-08	6.42705e-08	2.09676e-08
  4.91434	5.0623e-08	6.64031e-08	2.14539e-08
  5.00787	5.26623e-08	6.85743e-08	2.1936e-08
  5.10231	5.4803e-08	7.07806e-08	2.24113e-08
  5.19758	5.70522e-08	7.30182e-08	2.2877e-08
  5.29358	5.94174e-08	7.52822e-08	2.333e-08
  5.39019	6.19069e-08	7.75674e-08	2.37671e-08
   5.4873	6.4529e-08	7.98676e-08	2.41849e-08
  5.58476	6.72928e-08	8.21757e-08	2.45797e-08
  5.68245	7.02074e-08	8.44841e-08	2.49477e-08
   5.7802	7.32824e-08	8.67842e-08	2.52854e-08
