# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=96.0791
# for k=2.10937e-07 to 223.611 h/Mpc,
# number of wavenumbers equal to 873
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_fld                  6:d_ur                   7:d_tot                  8:phi                    9:psi                   10:t_g                   11:t_b                   12:t_cdm                 13:t_fld                 14:t_ur                  15:t_tot              
       4.614799872687e-03      -2.698069549432e+00      -3.377642663066e+00      -3.393427993341e+00      -1.745031691210e-01      -2.600200837933e+00      -3.370633083520e+00       5.608252703447e-01       5.589345977172e-01      -3.244721714707e-04       2.852479972204e-03       2.857129349787e-03       2.857127398703e-03      -2.810373347054e-04       2.740535848808e-03 
       4.722292370499e-03      -2.692198352456e+00      -3.476530490480e+00      -3.493819489377e+00      -1.770817373045e-01      -2.591557741877e+00      -3.467819582266e+00       5.589629976708e-01       5.573814532780e-01      -3.995018324347e-04       2.980317171290e-03       2.985400855315e-03       2.985398720770e-03      -3.434578558582e-04       2.861483997051e-03 
       4.832288690233e-03      -2.683122531338e+00      -3.579607051413e+00      -3.598542015267e+00      -1.797688947068e-01      -2.580085610746e+00      -3.569110975494e+00       5.570544159990e-01       5.557757222208e-01      -4.769802940162e-04       3.113601137588e-03       3.119159109529e-03       3.119156774494e-03      -4.067988166925e-04       2.987645127017e-03 
       4.944847153393e-03      -2.670712274571e+00      -3.687030957520e+00      -3.707767513996e+00      -1.825688064891e-01      -2.565731426034e+00      -3.674669702945e+00       5.550999620650e-01       5.541165790343e-01      -5.563498764221e-04       3.252540761119e-03       3.258616609942e-03       3.258614055837e-03      -4.704369077618e-04       3.119244826664e-03 
       5.060027439966e-03      -2.654859144347e+00      -3.798965373184e+00      -3.821673713672e+00      -1.854857754106e-01      -2.548469215846e+00      -3.784664300625e+00       5.531001853377e-01       5.524032687281e-01      -6.369454663193e-04       3.397351187771e-03       3.403992427551e-03       3.403989634103e-03      -5.336603799514e-04       3.256518620377e-03 
       5.177890620066e-03      -2.635480569863e+00      -3.915578045992e+00      -3.940444266002e+00      -1.885242475947e-01      -2.528303965388e+00      -3.899269637181e+00       5.510557520648e-01       5.506351194915e-01      -7.179881027443e-04       3.548253923303e-03       3.555512337171e-03       3.555509282265e-03      -5.956684654185e-04       3.399712238163e-03 
       5.298499186309e-03      -2.612524584107e+00      -4.037041322228e+00      -4.064268883373e+00      -1.916888166371e-01      -2.505275504055e+00      -4.018667150601e+00       5.489674412346e-01       5.488115491478e-01      -7.985799281668e-04       3.705476899586e-03       3.713408913226e-03       3.713405572741e-03      -6.555729633356e-04       3.549081789102e-03 
       5.421917086956e-03      -2.585974780212e+00      -4.163532150929e+00      -4.193343475988e+00      -1.949842278165e-01      -2.479462303166e+00      -4.143045085822e+00       5.468361381312e-01       5.469320709893e-01      -8.777009494641e-04       3.869254532091e-03       3.877921619333e-03       3.877917966969e-03      -7.124024342697e-04       3.704893850180e-03 
       5.548209759809e-03      -2.555855468859e+00      -4.295232097721e+00      -4.327870301803e+00      -1.984153857416e-01      -2.450985120468e+00      -4.272598745890e+00       5.446628360001e-01       5.449963094158e-01      -9.542081245296e-04       4.039827841761e-03       4.049296963085e-03       4.049292970167e-03      -7.651094835281e-04       3.867425521167e-03 
       5.677444166916e-03      -2.522236770356e+00      -4.432327305055e+00      -4.468058092443e+00      -2.019873555499e-01      -2.420010184861e+00      -4.407530709035e+00       5.424486142873e-01       5.430039944681e-01      -1.026837418156e-03       4.217444432664e-03       4.227788513307e-03       4.227784148574e-03      -8.125816691479e-04       4.036964227432e-03 
