# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=100
# for k=1.02819e-05 to 5.00333 h/Mpc,
# number of wavenumbers equal to 1940
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_tot                  7:phi                    8:psi                
       1.028185622909e-05      -1.584084874913e-05      -1.188068610929e-05      -1.188068651955e-05      -1.584084062675e-05      -1.199133728914e-05       6.119565363851e-01       5.969091654185e-01 
       1.034121403287e-05      -1.602427639436e-05      -1.201825799734e-05      -1.201825841715e-05      -1.602426808281e-05      -1.213019043889e-05       6.119565375701e-01       5.969091664041e-01 
       1.040091451300e-05      -1.620982796748e-05      -1.215742285817e-05      -1.215742328776e-05      -1.620981946233e-05      -1.227065139697e-05       6.119565354894e-01       5.969091656341e-01 
       1.046095964776e-05      -1.639752806874e-05      -1.229819914261e-05      -1.229819958221e-05      -1.639751936548e-05      -1.241273878605e-05       6.119565320279e-01       5.969091634384e-01 
       1.052135142686e-05      -1.658740164508e-05      -1.244060556152e-05      -1.244060601136e-05      -1.658739273910e-05      -1.255647149120e-05       6.119565295565e-01       5.969091622969e-01 
       1.058209185151e-05      -1.677947383173e-05      -1.258466096696e-05      -1.258466142727e-05      -1.677946471830e-05      -1.270186854007e-05       6.119565269686e-01       5.969091610545e-01 
       1.064318293446e-05      -1.697376936504e-05      -1.273038391185e-05      -1.273038438289e-05      -1.697376003931e-05      -1.284894865837e-05       6.119564961211e-01       5.969091332886e-01 
       1.070462670008e-05      -1.717031541867e-05      -1.287779477717e-05      -1.287779525918e-05      -1.717030587572e-05      -1.299773241683e-05       6.119564927894e-01       5.969091313238e-01 
       1.076642518443e-05      -1.736913734385e-05      -1.302691257701e-05      -1.302691307025e-05      -1.736912757862e-05      -1.314823900664e-05       6.119564893125e-01       5.969091292316e-01 
       1.082858043532e-05      -1.757026149430e-05      -1.317775707739e-05      -1.317775758211e-05      -1.757025150160e-05      -1.330048837788e-05       6.119564856571e-01       5.969091270196e-01 
       1.089109451240e-05      -1.777371453587e-05      -1.333034827843e-05      -1.333034879491e-05      -1.777370431041e-05      -1.345450071693e-05       6.119564822512e-01       5.969091250166e-01 
       1.095396948718e-05      -1.797952341904e-05      -1.348470639374e-05      -1.348470692225e-05      -1.797951295540e-05      -1.361029642563e-05       6.119564784714e-01       5.969091226744e-01 
       1.101720744314e-05      -1.818771543824e-05      -1.364085189491e-05      -1.364085243574e-05      -1.818770473087e-05      -1.376789616622e-05       6.119564748231e-01       5.969091204662e-01 
       1.108081047582e-05      -1.839831818149e-05      -1.379880547376e-05      -1.379880602719e-05      -1.839830722472e-05      -1.392732082320e-05       6.119564710787e-01       5.969091181746e-01 
       1.114478069280e-05      -1.861135884872e-05      -1.395858753104e-05      -1.395858809736e-05      -1.861134763675e-05      -1.408859098729e-05       6.119564452816e-01       5.969090921584e-01 
       1.120912021388e-05      -1.882686710065e-05      -1.412022031310e-05      -1.412022089261e-05      -1.882685562752e-05      -1.425172911204e-05       6.119564414440e-01       5.969090897949e-01 
       1.127383117107e-05      -1.904487079138e-05      -1.428372471137e-05      -1.428372530437e-05      -1.904485905101e-05      -1.441675628341e-05       6.119564374683e-01       5.969090873115e-01 
       1.133891570869e-05      -1.926539882723e-05      -1.444912240645e-05      -1.444912301327e-05      -1.926538681340e-05      -1.458369438390e-05       6.119564337063e-01       5.969090850495e-01 
       1.140437598345e-05      -1.948848042681e-05      -1.461643531318e-05      -1.461643593413e-05      -1.948846813314e-05      -1.475256553243e-05       6.119564297996e-01       5.969090826638e-01 
       1.147021416450e-05      -1.971414684711e-05      -1.478568687522e-05      -1.478568751064e-05      -1.971413426708e-05      -1.492339339096e-05       6.119564784394e-01       5.969091337942e-01 
       1.153643243351e-05      -1.994242462874e-05      -1.495689699895e-05      -1.495689764917e-05      -1.994241175569e-05      -1.509619805127e-05       6.119564738862e-01       5.969091307854e-01 
       1.160303298477e-05      -2.017334404093e-05      -1.513008838722e-05      -1.513008905258e-05      -2.017333086802e-05      -1.527100242763e-05       6.119564182884e-01       5.969090757848e-01 
       1.167001802520e-05      -2.040693901693e-05      -1.530528649096e-05      -1.530528717182e-05      -2.040692553719e-05      -1.544783220795e-05       6.119564136744e-01       5.969090727444e-01 
       1.173738977449e-05      -2.064323886167e-05      -1.548251328986e-05      -1.548251398657e-05      -2.064322506795e-05      -1.562670957660e-05       6.119564089296e-01       5.969090695948e-01 
       1.180515046514e-05      -2.088227490432e-05      -1.566179228180e-05      -1.566179299474e-05      -2.088226078930e-05      -1.580765825030e-05       6.119564043167e-01       5.969090665899e-01 
       1.187330234252e-05      -2.112407881408e-05      -1.584314721973e-05      -1.584314794928e-05      -2.112406437029e-05      -1.599070220319e-05       6.119563994444e-01       5.969090633514e-01 
       1.194184766498e-05      -2.136868265366e-05      -1.602660215174e-05      -1.602660289828e-05      -2.136866787343e-05      -1.617586570729e-05       6.119563946784e-01       5.969090602416e-01 
       1.201078870391e-05      -2.161611884002e-05      -1.621218139163e-05      -1.621218215556e-05      -2.161610371551e-05      -1.636317330283e-05       6.119563899027e-01       5.969090571634e-01 
       1.208012774379e-05      -2.186642016252e-05      -1.639990953256e-05      -1.639991031428e-05      -2.186640468572e-05      -1.655264981197e-05       6.119563849400e-01       5.969090539148e-01 
       1.214986708233e-05      -2.211961980268e-05      -1.658981146178e-05      -1.658981226172e-05      -2.211960396538e-05      -1.674432035373e-05       6.119563799374e-01       5.969090506391e-01 
       1.222000903046e-05      -2.237575132443e-05      -1.678191235342e-05      -1.678191317199e-05      -2.237573511823e-05      -1.693821033665e-05       6.119563749997e-01       5.969090474382e-01 
       1.229055591247e-05      -2.263484866931e-05      -1.697623766482e-05      -1.697623850246e-05      -2.263483208562e-05      -1.713434545515e-05       6.119563699384e-01       5.969090441309e-01 
       1.236151006608e-05      -2.289694606751e-05      -1.717281306985e-05      -1.717281392700e-05      -2.289692909754e-05      -1.733275162216e-05       6.119563615728e-01       5.969090375876e-01 
       1.243287384249e-05      -2.316207848032e-05      -1.737166479073e-05      -1.737166566784e-05      -2.316206111507e-05      -1.753345530409e-05       6.119563563038e-01       5.969090338490e-01 
       1.250464960647e-05      -2.343028094938e-05      -1.757281910996e-05      -1.757282000750e-05      -2.343026317964e-05      -1.773648302820e-05       6.119563512271e-01       5.969090304920e-01 
       1.257683973647e-05      -2.370158901537e-05      -1.777630268436e-05      -1.777630360281e-05      -2.370157083172e-05      -1.794186169953e-05       6.119563459859e-01       5.969090270643e-01 
       1.264944662463e-05      -2.397603863865e-05      -1.798214248554e-05      -1.798214342538e-05      -2.397602003145e-05      -1.814961854085e-05       6.119563405910e-01       5.969090236466e-01 
       1.272247267693e-05      -2.425366618976e-05      -1.819036579277e-05      -1.819036675451e-05      -2.425364714914e-05      -1.835978108546e-05       6.119563352133e-01       5.969090199633e-01 
       1.279592031323e-05      -2.453450847164e-05      -1.840100020967e-05      -1.840100119381e-05      -2.453448898751e-05      -1.857237719401e-05       6.119563296514e-01       5.969090162633e-01 
       1.286979196736e-05      -2.481860271073e-05      -1.861407365749e-05      -1.861407466456e-05      -2.481858277276e-05      -1.878743504778e-05       6.119563239363e-01       5.969090124812e-01 
       1.294409008721e-05      -2.510598656705e-05      -1.882961438272e-05      -1.882961541324e-05      -2.510596616466e-05      -1.900498315626e-05       6.119563184113e-01       5.969090088762e-01 
       1.301881713479e-05      -2.539669812150e-05      -1.904765094755e-05      -1.904765200207e-05      -2.539667724389e-05      -1.922505034763e-05       6.119563128661e-01       5.969090052760e-01 
       1.309397558631e-05      -2.569077590614e-05      -1.926821225253e-05      -1.926821333162e-05      -2.569075454223e-05      -1.944766579157e-05       6.119563070823e-01       5.969090014884e-01 
       1.316956793232e-05      -2.598825890787e-05      -1.949132753943e-05      -1.949132864366e-05      -2.598823704633e-05      -1.967285900212e-05       6.119563013715e-01       5.969089977907e-01 
       1.324559667769e-05      -2.628918654679e-05      -1.971702637494e-05      -1.971702750488e-05      -2.628916417603e-05      -1.990065982130e-05       6.119562955213e-01       5.969089939805e-01 
       1.332206434181e-05      -2.659359870724e-05      -1.994533867395e-05      -1.994533983021e-05      -2.659357581540e-05      -2.013109844258e-05       6.119562895005e-01       5.969089900258e-01 
       1.339897345857e-05      -2.690153574319e-05      -2.017629470362e-05      -2.017629588681e-05      -2.690151231813e-05      -2.036420541495e-05       6.119562834508e-01       5.969089860592e-01 
       1.347632657650e-05      -2.721303847491e-05      -2.040992508088e-05      -2.040992629164e-05      -2.721301450421e-05      -2.060001164045e-05       6.119562773659e-01       5.969089821536e-01 
       1.355412625886e-05      -2.752814819391e-05      -2.064626077613e-05      -2.064626201509e-05      -2.752812366486e-05      -2.083854837786e-05       6.119562716444e-01       5.969089785895e-01 
       1.363237508369e-05      -2.784690917266e-05      -2.088533499556e-05      -2.088533626337e-05      -2.784688407227e-05      -2.107984914258e-05       6.119563223769e-01       5.969090332033e-01 
       1.371107564391e-05      -2.816935610727e-05      -2.112717376302e-05      -2.112717506037e-05      -2.816933042221e-05      -2.132394020080e-05       6.119562597659e-01       5.969089710989e-01 
       1.379023054742e-05      -2.849554180771e-05      -2.137181668796e-05      -2.137181801553e-05      -2.849551552438e-05      -2.157086153080e-05       6.119563091505e-01       5.969090243810e-01 
       1.386984241718e-05      -2.882550194563e-05      -2.161929052602e-05      -2.161929188451e-05      -2.882547505009e-05      -2.182064013734e-05       6.119563023088e-01       5.969090197320e-01 
       1.394991389128e-05      -2.915928278341e-05      -2.186962997595e-05      -2.186963136608e-05      -2.915925526139e-05      -2.207331104230e-05       6.119562954594e-01       5.969090151097e-01 
       1.403044762304e-05      -2.949692608256e-05      -2.212286636091e-05      -2.212286778342e-05      -2.949689791946e-05      -2.232890586049e-05       6.119562358901e-01       5.969089562454e-01 
       1.411144628111e-05      -2.983848156097e-05      -2.237903697143e-05      -2.237903842708e-05      -2.983845274188e-05      -2.258746222970e-05       6.119562298153e-01       5.969089524795e-01 
       1.419291254954e-05      -3.018399199249e-05      -2.263817388998e-05      -2.263817537954e-05      -3.018396250212e-05      -2.284901253114e-05       6.119562234177e-01       5.969089484423e-01 
       1.427484912787e-05      -3.053350317326e-05      -2.290031146586e-05      -2.290031299011e-05      -3.053347299597e-05      -2.311359143394e-05       6.119562169411e-01       5.969089443169e-01 
       1.435725873122e-05      -3.088706386582e-05      -2.316548627320e-05      -2.316548783295e-05      -3.088703298562e-05      -2.338123585281e-05       6.119562599754e-01       5.969089912064e-01 
       1.444014409041e-05      -3.124471605858e-05      -2.343372980555e-05      -2.343373140163e-05      -3.124468445909e-05      -2.365197757453e-05       6.119562526224e-01       5.969089862751e-01 
       1.452350795200e-05      -3.160650959785e-05      -2.370507944999e-05      -2.370508108325e-05      -3.160647726233e-05      -2.392585433434e-05       6.119562450926e-01       5.969089812223e-01 
       1.460735307841e-05      -3.197249242750e-05      -2.397957116680e-05      -2.397957283811e-05      -3.197245933880e-05      -2.420290242735e-05       6.119562375200e-01       5.969089760833e-01 
