# Matter power spectrum P(k) at redshift z=1
# for k=1.02819e-05 to 5.00333 h/Mpc,
# number of wavenumbers equal to 1940
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.028185622909e-05       1.519067442474e+01 
       1.034121403287e-05       1.527837073514e+01 
       1.040091451300e-05       1.536657343985e+01 
       1.046095964776e-05       1.545528521825e+01 
       1.052135142686e-05       1.554451028359e+01 
       1.058209185151e-05       1.563424906049e+01 
       1.064318293446e-05       1.572450537815e+01 
       1.070462670008e-05       1.581528363977e+01 
       1.076642518443e-05       1.590658571966e+01 
       1.082858043532e-05       1.599841580424e+01 
       1.089109451240e-05       1.609077450691e+01 
       1.095396948718e-05       1.618366628267e+01 
       1.101720744314e-05       1.627709601399e+01 
       1.108081047582e-05       1.637106475258e+01 
       1.114478069280e-05       1.646557236590e+01 
       1.120912021388e-05       1.656063168339e+01 
       1.127383117107e-05       1.665623511936e+01 
       1.133891570869e-05       1.675239319518e+01 
       1.140437598345e-05       1.684910571548e+01 
       1.147021416450e-05       1.694637323286e+01 
       1.153643243351e-05       1.704420686758e+01 
       1.160303298477e-05       1.714260448190e+01 
       1.167001802520e-05       1.724156845587e+01 
       1.173738977449e-05       1.734110255551e+01 
       1.180515046514e-05       1.744121509831e+01 
       1.187330234252e-05       1.754190413809e+01 
       1.194184766498e-05       1.764317326235e+01 
       1.201078870391e-05       1.774502731405e+01 
       1.208012774379e-05       1.784747118066e+01 
       1.214986708233e-05       1.795050540416e+01 
       1.222000903046e-05       1.805413371692e+01 
       1.229055591247e-05       1.815836062854e+01 
       1.236151006608e-05       1.826318929027e+01 
       1.243287384249e-05       1.836862310384e+01 
       1.250464960647e-05       1.847466568983e+01 
       1.257683973647e-05       1.858131971806e+01 
       1.264944662463e-05       1.868859027979e+01 
       1.272247267693e-05       1.879647991597e+01 
       1.279592031323e-05       1.890499279693e+01 
       1.286979196736e-05       1.901413168827e+01 
       1.294409008721e-05       1.912390093239e+01 
       1.301881713479e-05       1.923430363631e+01 
       1.309397558631e-05       1.934534292008e+01 
       1.316956793232e-05       1.945702396111e+01 
       1.324559667769e-05       1.956935003403e+01 
