# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=1
# for k=1.02819e-05 to 5.00333 h/Mpc,
# number of wavenumbers equal to 1940
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_tot                  7:phi                    8:psi                
       1.028185622909e-05      -8.038489554772e-04      -6.030627544525e-04      -6.030627746825e-04      -8.038404686424e-04      -6.031769860538e-04       5.722503446494e-01       5.719114089953e-01 
       1.034121403287e-05      -8.131543275535e-04      -6.100458836653e-04      -6.100459043664e-04      -8.131456430593e-04      -6.101614366150e-04       5.722503340951e-01       5.719114001214e-01 
       1.040091451300e-05      -8.225673898745e-04      -6.171098760552e-04      -6.171098972385e-04      -8.225585031548e-04      -6.172267656220e-04       5.722503258397e-01       5.719113935183e-01 
       1.046095964776e-05      -8.320893813035e-04      -6.242556629956e-04      -6.242556846722e-04      -8.320802876089e-04      -6.243739046231e-04       5.722503151535e-01       5.719113845525e-01 
       1.052135142686e-05      -8.417215963253e-04      -6.314842176591e-04      -6.314842398406e-04      -8.417122908568e-04      -6.316038269740e-04       5.722503256441e-01       5.719113967646e-01 
       1.058209185151e-05      -8.514652406740e-04      -6.387964466435e-04      -6.387964693415e-04      -8.514557185330e-04      -6.389174394428e-04       5.722503106081e-01       5.719113834539e-01 
       1.064318293446e-05      -8.613216262498e-04      -6.461933361560e-04      -6.461933593829e-04      -8.613118822685e-04      -6.463157284223e-04       5.722502858534e-01       5.719113605324e-01 
       1.070462670008e-05      -8.712920959632e-04      -6.536758960088e-04      -6.536759197766e-04      -8.712821250778e-04      -6.537997039142e-04       5.722502773994e-01       5.719113538651e-01 
       1.076642518443e-05      -8.813779377384e-04      -6.612450945252e-04      -6.612451188465e-04      -8.813677346374e-04      -6.613703344238e-04       5.722502644158e-01       5.719113427008e-01 
       1.082858043532e-05      -8.915805181197e-04      -6.689019592141e-04      -6.689019841019e-04      -8.915700774051e-04      -6.690286476533e-04       5.722502678073e-01       5.719113479153e-01 
       1.089109451240e-05      -9.019011191303e-04      -6.766474541333e-04      -6.766474796009e-04      -9.018904352495e-04      -6.767756078414e-04       5.722502439871e-01       5.719113259656e-01 
       1.095396948718e-05      -9.123411449893e-04      -6.844826351427e-04      -6.844826612035e-04      -9.123302122414e-04      -6.846122710465e-04       5.722502180775e-01       5.719113019630e-01 
       1.101720744314e-05      -9.229020273892e-04      -6.924085788370e-04      -6.924086055049e-04      -9.228908400234e-04      -6.925397140655e-04       5.722502220000e-01       5.719113077830e-01 
       1.108081047582e-05      -9.335851064536e-04      -7.004262930415e-04      -7.004263203304e-04      -9.335736585377e-04      -7.005589449127e-04       5.722502193377e-01       5.719113070534e-01 
       1.114478069280e-05      -9.443917008758e-04      -7.085367695519e-04      -7.085367974766e-04      -9.443799862872e-04      -7.086709555707e-04       5.722501538559e-01       5.719112435823e-01 
       1.120912021388e-05      -9.553235201021e-04      -7.167412936574e-04      -7.167413222322e-04      -9.553115327661e-04      -7.168770315691e-04       5.722501942664e-01       5.719112858951e-01 
