### The result of the verage over time 
### d tau = 0.015036
### number of kessence update = 10
### initial time = 0.642703
### 1- tau	2- average(H pi_k)	3- average (zeta)	 4- average (phi)   
 0.642703	        0	        0	-6.58568e-20
 0.657739	-7.57486e-10	-1.86182e-08	-6.58568e-20
 0.673084	-1.33747e-09	-1.5882e-08	6.04088e-10
 0.688745	-1.74462e-09	-1.23736e-08	1.13473e-09
 0.704726	-1.9508e-09	-7.6707e-09	1.62744e-09
 0.721036	-1.91551e-09	-1.43302e-09	2.08675e-09
  0.73768	-1.58877e-09	6.61615e-09	2.5164e-09
 0.754664	-9.13899e-10	1.66997e-08	2.9198e-09
 0.771996	1.70185e-10	2.89953e-08	3.29999e-09
 0.789681	1.72714e-09	4.36426e-08	3.65977e-09
 0.807728	3.82173e-09	6.07497e-08	4.00167e-09
 0.826143	6.51862e-09	8.03985e-08	4.32802e-09
 0.844933	9.88153e-09	1.0265e-07	4.64092e-09
 0.864106	1.39725e-08	1.27547e-07	4.94232e-09
 0.883669	1.88515e-08	1.5512e-07	5.23398e-09
 0.903631	2.4576e-08	1.85389e-07	5.51754e-09
 0.923998	3.12007e-08	2.18363e-07	5.79449e-09
 0.944778	3.87777e-08	2.5405e-07	6.06622e-09
 0.965981	4.7356e-08	2.92451e-07	6.33401e-09
 0.987614	5.6982e-08	3.33566e-07	6.59906e-09
  1.00969	6.76996e-08	3.77394e-07	6.86245e-09
   1.0322	7.95501e-08	4.23935e-07	7.12523e-09
  1.05518	9.25722e-08	4.73189e-07	7.38836e-09
  1.07862	1.06803e-07	5.2516e-07	7.65275e-09
  1.10253	1.22277e-07	5.79855e-07	7.91925e-09
  1.12693	1.39028e-07	6.37284e-07	8.18869e-09
  1.15182	1.57088e-07	6.9746e-07	8.46182e-09
  1.17722	1.76488e-07	7.60404e-07	8.73939e-09
  1.20313	1.97256e-07	8.2614e-07	9.02212e-09
  1.22956	2.19424e-07	8.94695e-07	9.31068e-09
  1.25652	2.43018e-07	9.66106e-07	9.60574e-09
  1.28403	2.68069e-07	1.04041e-06	9.90796e-09
   1.3121	2.94604e-07	1.11766e-06	1.0218e-08
  1.34073	3.22654e-07	1.1979e-06	1.05364e-08
  1.36993	3.52246e-07	1.2812e-06	1.08638e-08
  1.39973	3.83412e-07	1.36761e-06	1.12008e-08
  1.43012	4.16183e-07	1.45721e-06	1.15481e-08
  1.46113	4.5059e-07	1.55007e-06	1.19063e-08
  1.49276	4.86668e-07	1.64628e-06	1.22759e-08
  1.52503	5.24451e-07	1.74593e-06	1.26576e-08
  1.55795	5.63977e-07	1.84911e-06	1.30519e-08
  1.59153	6.05282e-07	1.95592e-06	1.34597e-08
  1.62578	6.48409e-07	2.06648e-06	1.38813e-08
  1.66072	6.93398e-07	2.1809e-06	1.43176e-08
  1.69637	7.40295e-07	2.2993e-06	1.47691e-08
  1.73273	7.89146e-07	2.42181e-06	1.52367e-08
  1.76982	8.40002e-07	2.54855e-06	1.57208e-08
  1.80765	8.92913e-07	2.67968e-06	1.62223e-08
  1.84625	9.47935e-07	2.81534e-06	1.67419e-08
  1.88561	1.00513e-06	2.95568e-06	1.72803e-08
  1.92577	1.06454e-06	3.10086e-06	1.78384e-08
  1.96673	1.12625e-06	3.25105e-06	1.84168e-08
  2.00851	1.19032e-06	3.40642e-06	1.90164e-08
  2.05113	1.25682e-06	3.56713e-06	1.96382e-08
   2.0946	1.32582e-06	3.73339e-06	2.02828e-08
  2.13894	1.39739e-06	3.90538e-06	2.09513e-08
  2.18417	1.47162e-06	4.08329e-06	2.16445e-08
   2.2303	1.5486e-06	4.26733e-06	2.23634e-08
  2.27735	1.6284e-06	4.4577e-06	2.31089e-08
  2.32534	1.71112e-06	4.65462e-06	2.38822e-08
  2.37428	1.79686e-06	4.85831e-06	2.46842e-08
   2.4242	1.88571e-06	5.06901e-06	2.55161e-08
  2.47512	1.97778e-06	5.28694e-06	2.63788e-08
  2.52704	2.07318e-06	5.51235e-06	2.72736e-08
  2.57999	2.17202e-06	5.74551e-06	2.82016e-08
  2.63399	2.27442e-06	5.98668e-06	2.9164e-08
  2.68906	2.38051e-06	6.23615e-06	3.0162e-08
