### The result of the verage over time 
### d tau = 0.00375899
### number of kessence update = 10
### initial time = 0.642702
### 1- tau	2- average(H pi_k)	3- average (zeta)	 4- average (phi)   
 0.642702	        0	        0	-1.2282e-20
 0.646461	-1.73744e-13	-1.73336e-11	-1.2282e-20
  0.65024	1.80097e-12	-1.68126e-11	1.44177e-10
 0.654037	5.0014e-12	-1.62039e-11	2.76397e-10
 0.657855	9.41175e-12	-1.54594e-11	4.04727e-10
 0.661692	1.49946e-11	-1.45337e-11	5.30353e-10
 0.665548	2.17112e-11	-1.33834e-11	6.53516e-10
 0.669425	2.95243e-11	-1.19672e-11	7.74322e-10
 0.673321	3.8398e-11	-1.02454e-11	8.92846e-10
 0.677237	4.82982e-11	-8.18046e-12	1.00916e-09
 0.681174	5.91922e-11	-5.73626e-12	1.12332e-09
  0.68513	7.10487e-11	-2.8785e-12	1.23539e-09
 0.689107	8.38377e-11	4.25507e-13	1.34544e-09
 0.693105	9.75306e-11	4.20695e-12	1.45351e-09
 0.697122	1.121e-10	8.49549e-12	1.55966e-09
 0.701161	1.2752e-10	1.33194e-11	1.66395e-09
  0.70522	1.43766e-10	1.87055e-11	1.76643e-09
   0.7093	1.60814e-10	2.46794e-11	1.86714e-09
 0.713401	1.7864e-10	3.12654e-11	1.96615e-09
 0.717522	1.97224e-10	3.84865e-11	2.06349e-09
 0.721665	2.16545e-10	4.63645e-11	2.15922e-09
  0.72583	2.36583e-10	5.49203e-11	2.25337e-09
 0.730015	2.5732e-10	6.41735e-11	2.346e-09
 0.734222	2.78736e-10	7.41428e-11	2.43715e-09
  0.73845	3.00817e-10	8.48456e-11	2.52685e-09
   0.7427	3.23544e-10	9.62988e-11	2.61516e-09
 0.746972	3.46904e-10	1.08518e-10	2.70212e-09
 0.751265	3.70881e-10	1.21518e-10	2.78775e-09
 0.755581	3.95461e-10	1.35313e-10	2.87211e-09
 0.759919	4.20632e-10	1.49916e-10	2.95522e-09
 0.764278	4.46381e-10	1.6534e-10	3.03714e-09
  0.76866	4.72696e-10	1.81596e-10	3.11788e-09
 0.773065	4.99566e-10	1.98695e-10	3.19749e-09
 0.777491	5.2698e-10	2.16648e-10	3.276e-09
 0.781941	5.5493e-10	2.35463e-10	3.35345e-09
 0.786413	5.83404e-10	2.55151e-10	3.42987e-09
 0.790908	6.12394e-10	2.7572e-10	3.50529e-09
 0.795426	6.41892e-10	2.97176e-10	3.57974e-09
 0.799967	6.71891e-10	3.19529e-10	3.65326e-09
 0.804531	7.02382e-10	3.42784e-10	3.72586e-09
 0.809118	7.33359e-10	3.66948e-10	3.79759e-09
 0.813729	7.64816e-10	3.92026e-10	3.86848e-09
 0.818364	7.96746e-10	4.18024e-10	3.93854e-09
 0.823021	8.29144e-10	4.44948e-10	4.00781e-09
 0.827703	8.62005e-10	4.72801e-10	4.07631e-09
 0.832408	8.95323e-10	5.01587e-10	4.14408e-09
 0.837138	9.29095e-10	5.31311e-10	4.21113e-09
 0.841891	9.63316e-10	5.61977e-10	4.27749e-09
 0.846669	9.97983e-10	5.93586e-10	4.34319e-09
 0.851471	1.03309e-09	6.26142e-10	4.40825e-09
 0.856298	1.06864e-09	6.59647e-10	4.47269e-09
 0.861149	1.10462e-09	6.94105e-10	4.53654e-09
 0.866024	1.14104e-09	7.29516e-10	4.59983e-09
 0.870925	1.17789e-09	7.65882e-10	4.66256e-09
  0.87585	1.21516e-09	8.03206e-10	4.72477e-09
 0.880801	1.25287e-09	8.41488e-10	4.78647e-09
 0.885777	1.291e-09	8.8073e-10	4.84769e-09
 0.890777	1.32956e-09	9.20932e-10	4.90844e-09
 0.895804	1.36853e-09	9.62095e-10	4.96875e-09
 0.900856	1.40794e-09	1.00422e-09	5.02864e-09
 0.905933	1.44776e-09	1.04731e-09	5.08812e-09
 0.911037	1.48801e-09	1.09136e-09	5.14722e-09
 0.916166	1.52867e-09	1.13637e-09	5.20595e-09
 0.921321	1.56976e-09	1.18234e-09	5.26433e-09
 0.926503	1.61127e-09	1.22928e-09	5.32238e-09
 0.931711	1.6532e-09	1.27718e-09	5.38012e-09
 0.936945	1.69555e-09	1.32604e-09	5.43755e-09
 0.942206	1.73833e-09	1.37587e-09	5.49471e-09
 0.947493	1.78153e-09	1.42666e-09	5.5516e-09
 0.952808	1.82515e-09	1.4784e-09	5.60825e-09
 0.958149	1.8692e-09	1.53111e-09	5.66466e-09
 0.963517	1.91368e-09	1.58478e-09	5.72086e-09
 0.968913	1.95858e-09	1.63941e-09	5.77686e-09
 0.974336	2.00391e-09	1.695e-09	5.83267e-09
 0.979787	2.04967e-09	1.75154e-09	5.88831e-09
 0.985265	2.09587e-09	1.80905e-09	5.94379e-09
 0.990771	2.1425e-09	1.86751e-09	5.99912e-09
 0.996304	2.18956e-09	1.92692e-09	6.05433e-09
  1.00187	2.23707e-09	1.9873e-09	6.10943e-09
  1.00746	2.28501e-09	2.04863e-09	6.16442e-09
  1.01307	2.33339e-09	2.11091e-09	6.21932e-09
