# Table of selected background quantitites
# All densities are mutiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_ur             13:(.)rho_crit           14:gr.fac. D             15:gr.fac. f             16:(.)rho_smg            17:(.)p_smg              18:M*^2_smg              19:kineticity_smg        20:braiding_smg          21:tensor_excess_smg     22:Mpl_running_smg       23:c_s^2                 24:kin (D)            
       1.000000000000e+14       7.558503632224e-26       4.634785000235e-09       2.157545946648e+22       1.403502526787e+04       1.403502526787e-10       1.403502526787e+18       2.675958164815e-09       2.751560535470e+44       2.451390603497e+33       1.339408137477e+34       1.903443976270e+44       4.655004511898e+44       5.370564074879e-18       2.000000000017e+00       5.535895616459e-04      -4.982306054813e-04       1.000000000000e+00       1.189235284801e-47       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.000000000000e-02       1.189235284801e-47 
       9.930486593843e+13       7.664693049753e-26       4.667526809499e-09       2.127654528182e+22       1.403502526787e+04       1.413327044474e-10       1.393746302668e+18       2.694689871968e-09       2.675846458098e+44       2.400623788821e+33       1.311669806183e+34       1.851067333040e+44       4.526913791294e+44       5.446015129567e-18       2.000000000016e+00       5.524322848904e-04      -4.971890564014e-04       1.000000000000e+00       1.220328705956e-47       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.000000000000e-02       1.220328705956e-47 
       9.861456399050e+13       7.772374322409e-26       4.700268618762e-09       2.098177236191e+22       1.403502526787e+04       1.423220333786e-10       1.384057897387e+18       2.713552701072e-09       2.602215788102e+44       2.350908324129e+33       1.284505918930e+34       1.800131926217e+44       4.402347714471e+44       5.522526196123e-18       2.000000000014e+00       5.512774274173e-04      -4.961496846756e-04       1.000000000000e+00       1.252235087213e-47       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.000000000000e-02       1.252235087213e-47 
       9.792906056653e+13       7.881568409264e-26       4.733010428026e-09       2.069108333218e+22       1.403502526787e+04       1.433182876122e-10       1.374436839510e+18       2.732547569979e-09       2.530611196824e+44       2.302222436600e+33       1.257904579330e+34       1.750598097619e+44       4.281209294592e+44       5.600112166653e-18       2.000000000013e+00       5.501249841692e-04      -4.951124857523e-04       1.000000000000e+00       1.284975684006e-47       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.000000000000e-02       1.284975684006e-47 
       9.724832231036e+13       7.992296563846e-26       4.765752237290e-09       2.040442161294e+22       1.403502526787e+04       1.443215156255e-10       1.364882660884e+18       2.751675402969e-09       2.460976933110e+44       2.254544804314e+33       1.231854137361e+34       1.702427280332e+44       4.163404213587e+44       5.678788142483e-18       2.000000000012e+00       5.489749500990e-04      -4.940774550891e-04       1.000000000000e+00       1.318572307506e-47       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.000000000000e-02       1.318572307506e-47 
       9.657231609767e+13       8.104580338272e-26       4.800313035958e-09       2.012173140839e+22       1.403502526787e+04       1.453317662349e-10       1.355394896608e+18       2.770937130790e-09       2.393258779894e+44       2.207854546917e+33       1.206343184268e+34       1.655581968676e+44       4.048840748713e+44       5.758569437097e-18       2.000000000011e+00       5.478273201704e-04      -4.930445881534e-04       1.000000000000e+00       1.353047339154e-47       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.000000000000e-02       1.353047339154e-47 
       9.590100903443e+13       8.218441587444e-26       4.833054845221e-09       1.984295769572e+22       1.403502526787e+04       1.463490885985e-10       1.345973085012e+18       2.790333690705e-09       2.327404011992e+44       2.162131216471e+33       1.181360547562e+34       1.610025689010e+44       3.937429701143e+44       5.839471579119e-18       2.000000000010e+00       5.466820893576e-04      -4.920138804218e-04       1.000000000000e+00       1.388423745569e-47       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.000000000000e-02       1.388423745569e-47 
       9.523436845525e+13       8.333902473306e-26       4.867615643889e-09       1.956804621446e+22       1.403502526787e+04       1.473735322187e-10       1.336616767639e+18       2.809866026540e-09       2.263361355047e+44       2.117354788506e+33       1.156895286131e+34       1.565722971329e+44       3.829084326512e+44       5.921510315335e-18       2.000000000009e+00       5.455392526452e-04      -4.909853273807e-04       1.000000000000e+00       1.424725093851e-47       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.000000000000e-02       1.424725093851e-47 
       9.457236192179e+13       8.450985469153e-26       4.900357453153e-09       1.929694345585e+22       1.403502526787e+04       1.484051469443e-10       1.327325489214e+18       2.829535088726e-09       2.201080945604e+44       2.073505653244e+33       1.132936685446e+34       1.522639321645e+44       3.723720267383e+44       6.004701613755e-18       2.000000000007e+00       5.443988050284e-04      -4.899589245255e-04       1.000000000000e+00       1.461975567276e-47       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.000000000000e-02       1.461975567276e-47 
       9.391495722125e+13       8.569713364009e-26       4.934918251820e-09       1.902959665248e+22       1.403502526787e+04       1.494439829729e-10       1.318098797631e+18       2.849341834347e-09       2.140514292293e+44       2.030564607016e+33       1.109474252871e+34       1.480741195137e+44       3.621255487561e+44       6.089061666727e-18       2.000000000006e+00       5.432607415127e-04      -4.889346673614e-04       1.000000000000e+00       1.500199981412e-47       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.000000000000e-02       1.500199981412e-47 
