# Table of selected background quantitites
# All densities are mutiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_ur             13:(.)rho_crit           14:gr.fac. D             15:gr.fac. f             16:(.)rho_smg            17:(.)p_smg              18:M*^2_smg              19:kineticity_smg        20:braiding_smg          21:tensor_excess_smg     22:Mpl_running_smg       23:c_s^2                 24:kin (D)            
       9.326212236469e+13       8.690109267060e-26       4.969479050487e-09       1.876595376800e+22       1.403502526787e+04       1.504900908537e-10       1.308936243924e+18       2.869287227187e-09       2.081614238068e+44       1.988512843847e+33       1.086497713064e+34       1.439995970030e+44       3.521610208226e+44       6.174606894083e-18       2.000000000005e+00       5.421250571142e-04      -4.879125514028e-04       1.000000000000e+00       1.539423800646e-47       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.000000000000e-02       1.539423800646e-47 
       9.261382558559e+13       8.812196612153e-26       5.004039849155e-09       1.850596348697e+22       1.403502526787e+04       1.515435214897e-10       1.299837382248e+18       2.889372237778e-09       2.024334923495e+44       1.947331947224e+33       1.063997003481e+34       1.400371922191e+44       3.424706845811e+44       6.261353946338e-18       2.000000000004e+00       5.409917468594e-04      -4.868925721735e-04       1.000000000000e+00       1.579673155152e-47       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.000000000000e-02       1.579673155152e-47 
       9.197003533823e+13       8.935999162357e-26       5.040419637226e-09       1.824957520492e+22       1.403502526787e+04       1.526043261401e-10       1.290801769859e+18       2.909597843442e-09       1.968631751041e+44       1.907003882029e+33       1.041962269965e+34       1.361838200436e+44       3.330469951600e+44       6.349319707931e-18       2.000000000003e+00       5.398608057851e-04      -4.858747252066e-04       1.000000000000e+00       1.620974858295e-47       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.000000000000e-02       1.620974858295e-47 
       9.133072029615e+13       9.061541014589e-26       5.074980435893e-09       1.799673901845e+22       1.403502526787e+04       1.536725564231e-10       1.281828967089e+18       2.929965028346e-09       1.914461350357e+44       1.867510986638e+33       1.020383862434e+34       1.324364802505e+44       3.238826152983e+44       6.438521300508e-18       2.000000000002e+00       5.387322289386e-04      -4.848590060448e-04       1.000000000000e+00       1.663356424495e-47       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.000000000000e-02       1.663356424495e-47 
       9.069584935070e+13       9.188846604302e-26       5.109541234560e-09       1.774740571556e+22       1.403502526787e+04       1.547482643180e-10       1.272918537328e+18       2.950474783544e-09       1.861781544502e+44       1.828835965191e+33       9.992523306542e+33       1.287922551705e+44       3.149704096326e+44       6.528976086259e-18       2.000000000001e+00       5.376060113775e-04      -4.838454102398e-04       1.000000000000e+00       1.706846087557e-47       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.000000000000e-02       1.706846087557e-47 
       9.006539160943e+13       9.317940710246e-26       5.145921022631e-09       1.750152676602e+22       1.403502526787e+04       1.558315021682e-10       1.264070046999e+18       2.971128107029e-09       1.810551317112e+44       1.790961880015e+33       9.785584200989e+33       1.252483074190e+44       3.063034391418e+44       6.620701671294e-18       2.000000000000e+00       5.364821481697e-04      -4.828339333527e-04       1.000000000000e+00       1.751472819479e-47       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.000000000000e-02       1.751472819479e-47 
       8.943931639467e+13       9.448848459284e-26       5.182300810702e-09       1.725905431200e+22       1.403502526787e+04       1.569223226834e-10       1.255283065540e+18       2.991926003778e-09       1.760730780460e+44       1.753872144203e+33       9.582930678975e+33       1.218018776871e+44       2.978749557444e+44       6.713715909074e-18       1.999999999999e+00       5.353606343934e-04      -4.818245709540e-04       1.000000000000e+00       1.797266349752e-47       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.000000000000e-02       1.797266349752e-47 
       8.881759324197e+13       9.581595331288e-26       5.218680598773e-09       1.701994115866e+22       1.403502526787e+04       1.580207789422e-10       1.246557165382e+18       3.012869485804e-09       1.712281144399e+44       1.717550514356e+33       9.384473988662e+33       1.184502825932e+44       2.896783970443e+44       6.808036903881e-18       1.999999999999e+00       5.342414651371e-04      -4.808173186234e-04       1.000000000000e+00       1.844257185169e-47       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.000000000000e-02       1.844257185169e-47 
       8.820019189868e+13       9.716207164097e-26       5.255060386844e-09       1.678414076505e+22       1.403502526787e+04       1.591269243948e-10       1.237891921929e+18       3.033959572205e-09       1.665164686165e+44       1.681981083465e+33       9.190127216208e+33       1.151909125938e+44       2.817073812212e+44       6.903683014344e-18       1.999999999998e+00       5.331246354997e-04      -4.798121719497e-04       1.000000000000e+00       1.892476630143e-47       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.000000000000e-02       1.892476630143e-47 
       8.758708232243e+13       9.852710158545e-26       5.291440174915e-09       1.655160723501e+22       1.403502526787e+04       1.602408128656e-10       1.229286913534e+18       3.055197289210e-09       1.619344721000e+44       1.647148273944e+33       8.999805247701e+33       1.120212299515e+44       2.739557020621e+44       7.000672857012e-18       1.999999999997e+00       5.320101405901e-04      -4.788091265311e-04       1.000000000000e+00       1.941956807563e-47       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.000000000000e-02       1.941956807563e-47 
       8.697823467967e+13       9.991130883562e-26       5.329638952389e-09       1.632229530823e+22       1.403502526787e+04       1.613624985556e-10       1.220741721484e+18       3.076583670235e-09       1.574785573594e+44       1.613036830811e+33       8.813424731891e+33       1.089387667592e+44       2.664173241290e+44       7.099025309980e-18       1.999999999996e+00       5.308979755277e-04      -4.778081779749e-04       1.000000000000e+00       1.992730680196e-47       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.000000000000e-02       1.992730680196e-47 
       8.637361934426e+13       1.013149628135e-25       5.366018740460e-09       1.609616035145e+22       1.403502526787e+04       1.624920360455e-10       1.212255929974e+18       3.098119755926e-09       1.531452550306e+44       1.579631815005e+33       8.630904043679e+33       1.059411230189e+44       2.590863780597e+44       7.198759516560e-18       1.999999999995e+00       5.297881354419e-04      -4.768093218977e-04       1.000000000000e+00       2.044832072645e-47       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.000000000000e-02       2.044832072645e-47 
       8.577320689599e+13       1.027383367260e-25       5.404217517935e-09       1.587315834980e+22       1.403502526787e+04       1.636294802978e-10       1.203829126091e+18       3.119806594217e-09       1.489311912151e+44       1.546918596845e+33       8.452163248374e+33       1.030259647727e+44       2.519571559978e+44       7.299894889007e-18       1.999999999994e+00       5.286806154723e-04      -4.758125539251e-04       1.000000000000e+00       2.098295693879e-47       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.000000000000e-02       2.098295693879e-47 
       8.517696811915e+13       1.041817076187e-25       5.440597306006e-09       1.565324589818e+22       1.403502526787e+04       1.647748866599e-10       1.195460899793e+18       3.141645240377e-09       1.448330848536e+44       1.514882849619e+33       8.277124066682e+33       1.001910222855e+44       2.450241071488e+44       7.402451112303e-18       1.999999999994e+00       5.275754107688e-04      -4.748178696919e-04       1.000000000000e+00       2.153157160362e-47       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.000000000000e-02       2.153157160362e-47 
       8.458487400115e+13       1.056453564290e-25       5.478796083480e-09       1.543638019285e+22       1.403502526787e+04       1.659283108665e-10       1.187150843886e+18       3.163636757059e-09       1.408477451704e+44       1.483510543315e+33       8.105709840428e+33       9.743408827823e+43       2.382818334582e+44       7.506448147979e-18       1.999999999993e+00       5.264725164912e-04      -4.738252648421e-04       1.000000000000e+00       2.209453019772e-47       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.000000000000e-02       2.209453019772e-47 
       8.399689573103e+13       1.071295680415e-25       5.518813850358e-09       1.522251902310e+22       1.403502526787e+04       1.670898090426e-10       1.178898554008e+18       3.185782214359e-09       1.369720691902e+44       1.452787938474e+33       7.937845498980e+33       9.475301620897e+43       2.317250854086e+44       7.611906238010e-18       1.999999999992e+00       5.253719278097e-04      -4.728347350288e-04       1.000000000000e+00       2.267220775357e-47       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.000000000000e-02       2.267220775357e-47 
       8.341300469814e+13       1.086346313429e-25       5.557012627833e-09       1.501162076300e+22       1.403502526787e+04       1.682594377059e-10       1.170703628607e+18       3.208082689859e-09       1.332030393213e+44       1.422701580172e+33       7.773457526374e+33       9.214571860169e+43       2.253487579321e+44       7.718845908747e-18       1.999999999991e+00       5.242736399045e-04      -4.718462759140e-04       1.000000000000e+00       2.326498910912e-47       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.000000000000e-02       2.326498910912e-47 
       8.283317249071e+13       1.101608392786e-25       5.595211405307e-09       1.480364436334e+22       1.403502526787e+04       1.694372537698e-10       1.162565668925e+18       3.230539268688e-09       1.295377210063e+44       1.393238292127e+33       7.612473929117e+33       8.961016542097e+43       2.191478864363e+44       7.827287974919e-18       1.999999999990e+00       5.231776479657e-04      -4.708598831691e-04       1.000000000000e+00       2.387326916419e-47       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.000000000000e-02       2.387326916419e-47 
       8.225737089444e+13       1.117084889096e-25       5.635229172185e-09       1.459854934362e+22       1.403502526787e+04       1.706233145462e-10       1.154484278972e+18       3.253153043568e-09       1.259732604377e+44       1.364385170934e+33       7.454824204656e+33       8.714438249143e+43       2.131176429380e+44       7.937253543678e-18       1.999999999990e+00       5.220839471936e-04      -4.698755524742e-04       1.000000000000e+00       2.449745314355e-47       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.000000000000e-02       2.449745314355e-47 
       8.168557189121e+13       1.132778814703e-25       5.673427949660e-09       1.439629578415e+22       1.403502526787e+04       1.718176777481e-10       1.146459065513e+18       3.275925114873e-09       1.225068823353e+44       1.336129580404e+33       7.300439310506e+33       8.474644996064e+43       2.072533323046e+44       8.048764018712e-18       1.999999999989e+00       5.209925327986e-04      -4.688932795187e-04       1.000000000000e+00       2.513795686686e-47       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.000000000000e-02       2.513795686686e-47 
       8.111774765760e+13       1.148693224271e-25       5.713445716538e-09       1.419684431832e+22       1.403502526787e+04       1.730204014923e-10       1.138489638047e+18       3.298856590677e-09       1.191358877859e+44       1.308459146041e+33       7.149251634008e+33       8.241450080431e+43       2.015503885986e+44       8.161841104411e-18       1.999999999988e+00       5.199034000010e-04      -4.679130600009e-04       1.000000000000e+00       2.579520702569e-47       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.000000000000e-02       2.579520702569e-47 
       8.055387056366e+13       1.164831215379e-25       5.753463483416e-09       1.400015612492e+22       1.403502526787e+04       1.742315443027e-10       1.130575608786e+18       3.321948586812e-09       1.158576521413e+44       1.281361749615e+33       7.001194962722e+33       8.014671937265e+43       1.960043715222e+44       8.276506810086e-18       1.999999999988e+00       5.188165440312e-04      -4.669348896281e-04       1.000000000000e+00       2.646964146779e-47       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.000000000000e-02       2.646964146779e-47 
       7.999391317146e+13       1.181195929123e-25       5.793481250294e-09       1.380619292058e+22       1.403502526787e+04       1.754511651129e-10       1.122716592637e+18       3.345202226919e-09       1.126696229756e+44       1.254825523857e+33       6.856204455425e+33       7.794133997669e+43       1.906109629604e+44       8.392783454260e-18       1.999999999987e+00       5.177319601294e-04      -4.659587641164e-04       1.000000000000e+00       2.716170948871e-47       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.000000000000e-02       2.716170948871e-47 
       7.943784823382e+13       1.197790550732e-25       5.835318006575e-09       1.361491695232e+22       1.403502526787e+04       1.766793232686e-10       1.114912207187e+18       3.368618642508e-09       1.095693180972e+44       1.228838847262e+33       6.714216613718e+33       7.579664551354e+43       1.853659636186e+44       8.510693669008e-18       1.999999999986e+00       5.166496435459e-04      -4.649846791913e-04       1.000000000000e+00       2.787187213122e-47       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.000000000000e-02       2.787187213122e-47 
       7.888564869297e+13       1.214618310179e-25       5.875335773453e-09       1.342629099020e+22       1.403502526787e+04       1.779160785315e-10       1.107162072678e+18       3.392198973005e-09       1.065543236164e+44       1.203390339001e+33       6.575169254216e+33       7.371096612945e+43       1.802652897536e+44       8.630260404363e-18       1.999999999986e+00       5.155695895408e-04      -4.640126305867e-04       1.000000000000e+00       2.860060249233e-47       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.000000000000e-02       2.860060249233e-47 
       7.833728767921e+13       1.231682482819e-25       5.917172529735e-09       1.324027832009e+22       1.403502526787e+04       1.791614910812e-10       1.099465811994e+18       3.415944365816e-09       1.036222920661e+44       1.178468853932e+33       6.439001481313e+33       7.168267791965e+43       1.753049699934e+44       8.751506932783e-18       1.999999999985e+00       5.144917933843e-04      -4.630426140459e-04       1.000000000000e+00       2.934838603856e-47       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.000000000000e-02       2.934838603856e-47 
       7.779273850965e+13       1.248986390020e-25       5.957190296613e-09       1.305684273648e+22       1.403502526787e+04       1.804156215188e-10       1.091823050640e+18       3.439855976376e-09       1.007709405738e+44       1.154063477724e+33       6.305653660515e+33       6.971020166400e+43       1.704811422453e+44       8.874456853681e-18       1.999999999984e+00       5.134162503564e-04      -4.620746253208e-04       1.000000000000e+00       3.011572092928e-47       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.000000000000e-02       3.011572092928e-47 
       7.725197468684e+13       1.266533399813e-25       5.999027052894e-09       1.287594853551e+22       1.403502526787e+04       1.816785308694e-10       1.084233416723e+18       3.463934968211e-09       9.799804908440e+43       1.130163522077e+33       6.175067392322e+33       6.779200159740e+43       1.657900506891e+44       8.999134098017e-18       1.999999999984e+00       5.123429557468e-04      -4.611086601722e-04       1.000000000000e+00       3.090311834861e-47       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.000000000000e-02       3.090311834861e-47 
       7.671496989756e+13       1.284326927547e-25       6.040863809176e-09       1.269756050794e+22       1.403502526787e+04       1.829502805855e-10       1.076696540936e+18       3.488182512988e-09       9.530145863146e+43       1.106758520036e+33       6.047185486651e+33       6.592658421409e+43       1.612280428527e+44       9.125562932959e-18       1.999999999983e+00       5.112719048554e-04      -4.601447143698e-04       1.000000000000e+00       3.171110284595e-47       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.000000000000e-02       3.171110284595e-47 
       7.618169801148e+13       1.302370436552e-25       6.084519554861e-09       1.252164393233e+22       1.403502526787e+04       1.842309325496e-10       1.069212056540e+18       3.512599790579e-09       9.267906965640e+43       1.083838221411e+33       5.921951937793e+33       6.411249710473e+43       1.567915667681e+44       9.253767966603e-18       1.999999999982e+00       5.102030929914e-04      -4.591827836923e-04       1.000000000000e+00       3.254021268542e-47       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.000000000000e-02       3.254021268542e-47 
       7.565213307992e+13       1.320667438815e-25       6.126356311142e-09       1.234816456831e+22       1.403502526787e+04       1.855205490775e-10       1.061779599345e+18       3.537187989113e-09       9.012884037369e+43       1.061392588289e+33       5.799311899882e+33       6.234832782562e+43       1.524771682062e+44       9.383774152765e-18       1.999999999982e+00       5.091365154745e-04      -4.582228639270e-04       1.000000000000e+00       3.339100020444e-47       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.000000000000e-02       3.339100020444e-47 
       7.512624933457e+13       1.339221495663e-25       6.170012056828e-09       1.217708864987e+22       1.403502526787e+04       1.868191929210e-10       1.054398807691e+18       3.561948305036e-09       8.764878518120e+43       1.039411790634e+33       5.679211662878e+33       6.063270279898e+43       1.482814879869e+44       9.515606795836e-18       1.999999999981e+00       5.080721676335e-04      -4.572649508701e-04       1.000000000000e+00       3.426403218171e-47       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.000000000000e-02       3.426403218171e-47 
       7.460402118627e+13       1.358036218455e-25       6.211848813109e-09       1.200838287881e+22       1.403502526787e+04       1.881269272715e-10       1.047069322434e+18       3.586881943171e-09       8.523697311413e+43       1.017886201986e+33       5.561598629041e+33       5.896428624344e+43       1.442012593641e+44       9.649291555709e-18       1.999999999981e+00       5.070100448074e-04      -4.563090403266e-04       1.000000000000e+00       3.515989021476e-47       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.000000000000e-02       3.515989021476e-47 
       7.408542322370e+13       1.377115269288e-25       6.255504558794e-09       1.184201441825e+22       1.403502526787e+04       1.894438157624e-10       1.039790786925e+18       3.611990116773e-09       8.289152634162e+43       9.968063952409e+32       5.446421289901e+33       5.734177913402e+43       1.402333054821e+44       9.784854452774e-18       1.999999999980e+00       5.059501423448e-04      -4.553551281103e-04       1.000000000000e+00       3.607917110743e-47       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.000000000000e-02       3.607917110743e-47 
       7.357043021222e+13       1.396462361706e-25       6.299160304479e-09       1.167795088625e+22       1.403502526787e+04       1.907699224727e-10       1.032562846996e+18       3.637274047590e-09       8.061061870468e+43       9.761631385265e+32       5.333629203695e+33       5.576391819075e+43       1.363745369017e+44       9.922321872980e-18       1.999999999980e+00       5.048924556041e-04      -4.544032100436e-04       1.000000000000e+00       3.702248726739e-47       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.000000000000e-02       3.702248726739e-47 
       7.305901709257e+13       1.416081261426e-25       6.344635039568e-09       1.151616034950e+22       1.403502526787e+04       1.921053119300e-10       1.025385150940e+18       3.662734965923e-09       7.839247429430e+43       9.559473911558e+32       5.223172973281e+33       5.422947489502e+43       1.326219491955e+44       1.006172057297e-17       1.999999999979e+00       5.038369799532e-04      -4.534532819579e-04       1.000000000000e+00       3.799046711419e-47       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.000000000000e-02       3.799046711419e-47 
       7.255115897971e+13       1.435975787067e-25       6.388290785253e-09       1.135661131711e+22       1.403502526787e+04       1.934500491135e-10       1.018257349493e+18       3.688374110685e-09       7.623536606878e+43       9.361502996691e+32       5.115004224499e+33       5.273725453312e+43       1.289726206080e+44       1.020307768530e-17       1.999999999978e+00       5.027837107699e-04      -4.525053396929e-04       1.000000000000e+00       3.898375549786e-47       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.000000000000e-02       3.898375549786e-47 
       7.204683116158e+13       1.456149810900e-25       6.433765520342e-09       1.119927273447e+22       1.403502526787e+04       1.948041994573e-10       1.011179095823e+18       3.714192729459e-09       7.413761450905e+43       9.167631939567e+32       5.009075584990e+33       5.128609526601e+43       1.254237097810e+44       1.034642072370e-17       1.999999999978e+00       5.017326434417e-04      -4.515593790975e-04       1.000000000000e+00       4.000301412849e-47       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.000000000000e-02       4.000301412849e-47 
       7.154600909790e+13       1.476607259593e-25       6.477421266027e-09       1.104411397720e+22       1.403502526787e+04       1.961678288535e-10       1.004150045504e+18       3.740192078565e-09       7.209758631098e+43       8.977775834615e+32       4.905340663449e+33       4.987486722469e+43       1.219724535415e+44       1.049177758844e-17       1.999999999977e+00       5.006837733655e-04      -4.506153960289e-04       1.000000000000e+00       4.104892201707e-47       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.000000000000e-02       4.104892201707e-47 
       7.104866841896e+13       1.497352114983e-25       6.522896001115e-09       1.089110484523e+22       1.403502526787e+04       1.975410036555e-10       9.971698565085e+17       3.766373423115e-09       7.011369311369e+43       8.791851534608e+32       4.803754029303e+33       4.850247163053e+43       1.186161647499e+44       1.063917657178e-17       1.999999999977e+00       4.996370959479e-04      -4.496733863531e-04       1.000000000000e+00       4.212217592783e-47       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.000000000000e-02       4.212217592783e-47 
       7.055478492449e+13       1.518388414846e-25       6.568370736204e-09       1.074021555688e+22       1.403502526787e+04       1.989237906811e-10       9.902381891842e+17       3.792738037076e-09       6.818439026289e+43       8.609777614246e+32       4.704271192824e+33       4.716783993974e+43       1.153522302082e+44       1.078864636344e-17       1.999999999976e+00       4.985926066053e-04      -4.487333459448e-04       1.000000000000e+00       4.322349084239e-47       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.000000000000e-02       4.322349084239e-47 
       7.006433458242e+13       1.539720253686e-25       6.615664460696e-09       1.059141674306e+22       1.403502526787e+04       2.003162572158e-10       9.833547062406e+17       3.819287203336e-09       6.630817560821e+43       8.431474334498e+32       4.606848585634e+33       4.586993301144e+43       1.121781086251e+44       1.094021605620e-17       1.999999999976e+00       4.975503007635e-04      -4.477952706871e-04       1.000000000000e+00       4.435360043610e-47       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.000000000000e-02       4.435360043610e-47 
       6.957729352772e+13       1.561351783530e-25       6.661139195785e-09       1.044467944158e+22       1.403502526787e+04       2.017184710163e-10       9.765190727314e+17       3.846022213759e-09       6.448358833359e+43       8.256863607683e+32       4.511443541634e+33       4.460774029851e+43       1.090913286374e+44       1.109391515157e-17       1.999999999975e+00       4.965101738578e-04      -4.468591564720e-04       1.000000000000e+00       4.551325756678e-47       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.000000000000e-02       4.551325756678e-47 
       6.909363806129e+13       1.583287214737e-25       6.708432920277e-09       1.029997509152e+22       1.403502526787e+04       2.031305003135e-10       9.697309560392e+17       3.872944369255e-09       6.270920781994e+43       8.085868963263e+32       4.418014278312e+33       4.338027906086e+43       1.060894868860e+44       1.124977356553e-17       1.999999999975e+00       4.954722213333e-04      -4.459249992000e-04       1.000000000000e+00       4.670323477628e-47       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.000000000000e-02       4.670323477628e-47 
