7.547216000000e-06	2.012470000000e-02	1.949259000000e-06	2.304580000000e+03	-3.878347000000e-02	4.805364000000e-01
7.994417000000e-06	2.258023000000e-02	2.187102000000e-06	2.304579000000e+03	-3.878359000000e-02	4.805362000000e-01
8.468116000000e-06	2.533541000000e-02	2.453951000000e-06	2.304579000000e+03	-3.878364000000e-02	4.805360000000e-01
8.969883000000e-06	2.842679000000e-02	2.753391000000e-06	2.304578000000e+03	-3.878356000000e-02	4.805359000000e-01
9.501382000000e-06	3.189533000000e-02	3.089336000000e-06	2.304577000000e+03	-3.878362000000e-02	4.805357000000e-01
1.006437000000e-05	3.578713000000e-02	3.466312000000e-06	2.304576000000e+03	-3.878352000000e-02	4.805356000000e-01
1.066073000000e-05	4.015375000000e-02	3.889219000000e-06	2.304576000000e+03	-3.878367000000e-02	4.805353000000e-01
1.129241000000e-05	4.505318000000e-02	4.363777000000e-06	2.304575000000e+03	-3.878366000000e-02	4.805351000000e-01
1.196153000000e-05	5.055039000000e-02	4.896184000000e-06	2.304574000000e+03	-3.878382000000e-02	4.805348000000e-01
1.267030000000e-05	5.671835000000e-02	5.493619000000e-06	2.304573000000e+03	-3.878379000000e-02	4.805345000000e-01
1.342106000000e-05	6.363874000000e-02	6.163856000000e-06	2.304572000000e+03	-3.878399000000e-02	4.805341000000e-01
1.421631000000e-05	7.140357000000e-02	6.915823000000e-06	2.304571000000e+03	-3.878426000000e-02	4.805336000000e-01
1.505868000000e-05	8.011604000000e-02	7.759779000000e-06	2.304568000000e+03	-3.878405000000e-02	4.805333000000e-01
1.595096000000e-05	8.989157000000e-02	8.706569000000e-06	2.304566000000e+03	-3.878410000000e-02	4.805328000000e-01
1.689611000000e-05	1.008593000000e-01	9.768626000000e-06	2.304565000000e+03	-3.878456000000e-02	4.805320000000e-01
1.789727000000e-05	1.131655000000e-01	1.096059000000e-05	2.304562000000e+03	-3.878454000000e-02	4.805314000000e-01
1.895775000000e-05	1.269733000000e-01	1.229798000000e-05	2.304560000000e+03	-3.878453000000e-02	4.805308000000e-01
2.008107000000e-05	1.424655000000e-01	1.379822000000e-05	2.304557000000e+03	-3.878486000000e-02	4.805299000000e-01
2.127095000000e-05	1.598481000000e-01	1.548186000000e-05	2.304553000000e+03	-3.878483000000e-02	4.805291000000e-01
2.253133000000e-05	1.793515000000e-01	1.737065000000e-05	2.304550000000e+03	-3.878500000000e-02	4.805281000000e-01
2.386639000000e-05	2.012342000000e-01	1.948999000000e-05	2.304545000000e+03	-3.878512000000e-02	4.805270000000e-01
2.528057000000e-05	2.257866000000e-01	2.186785000000e-05	2.304541000000e+03	-3.878528000000e-02	4.805258000000e-01
2.677853000000e-05	2.533342000000e-01	2.453561000000e-05	2.304535000000e+03	-3.878557000000e-02	4.805243000000e-01
2.836526000000e-05	2.842427000000e-01	2.752877000000e-05	2.304530000000e+03	-3.878585000000e-02	4.805227000000e-01
3.004601000000e-05	3.189219000000e-01	3.088706000000e-05	2.304523000000e+03	-3.878613000000e-02	4.805210000000e-01
3.182635000000e-05	3.578313000000e-01	3.465470000000e-05	2.304516000000e+03	-3.878655000000e-02	4.805189000000e-01
3.371218000000e-05	4.014874000000e-01	3.888187000000e-05	2.304508000000e+03	-3.878696000000e-02	4.805167000000e-01
3.570975000000e-05	4.504688000000e-01	4.362471000000e-05	2.304498000000e+03	-3.878737000000e-02	4.805142000000e-01
3.782568000000e-05	5.054252000000e-01	4.894616000000e-05	2.304488000000e+03	-3.878774000000e-02	4.805114000000e-01
4.006700000000e-05	5.670845000000e-01	5.491602000000e-05	2.304476000000e+03	-3.878829000000e-02	4.805082000000e-01
4.244112000000e-05	6.362640000000e-01	6.161350000000e-05	2.304463000000e+03	-3.878895000000e-02	4.805046000000e-01
4.495591000000e-05	7.138817000000e-01	6.912834000000e-05	2.304448000000e+03	-3.878948000000e-02	4.805007000000e-01
4.761972000000e-05	8.009648000000e-01	7.755861000000e-05	2.304432000000e+03	-3.879020000000e-02	4.804963000000e-01
5.044136000000e-05	8.986676000000e-01	8.701599000000e-05	2.304413000000e+03	-3.879105000000e-02	4.804913000000e-01
5.343020000000e-05	1.008284000000e+00	9.762596000000e-05	2.304392000000e+03	-3.879199000000e-02	4.804857000000e-01
5.659614000000e-05	1.131266000000e+00	1.095289000000e-04	2.304369000000e+03	-3.879299000000e-02	4.804794000000e-01
5.994967000000e-05	1.269242000000e+00	1.228814000000e-04	2.304343000000e+03	-3.879416000000e-02	4.804723000000e-01
6.350191000000e-05	1.424039000000e+00	1.378599000000e-04	2.304314000000e+03	-3.879549000000e-02	4.804644000000e-01
6.726464000000e-05	1.597704000000e+00	1.546626000000e-04	2.304281000000e+03	-3.879693000000e-02	4.804556000000e-01
7.125032000000e-05	1.792535000000e+00	1.735106000000e-04	2.304244000000e+03	-3.879855000000e-02	4.804456000000e-01
7.547216000000e-05	2.011109000000e+00	1.946520000000e-04	2.304202000000e+03	-3.880038000000e-02	4.804345000000e-01
7.994417000000e-05	2.256313000000e+00	2.183649000000e-04	2.304156000000e+03	-3.880245000000e-02	4.804220000000e-01
8.468116000000e-05	2.531390000000e+00	2.449616000000e-04	2.304104000000e+03	-3.880475000000e-02	4.804080000000e-01
8.969883000000e-05	2.839970000000e+00	2.747925000000e-04	2.304046000000e+03	-3.880726000000e-02	4.803923000000e-01
9.501382000000e-05	3.186125000000e+00	3.082463000000e-04	2.303981000000e+03	-3.881015000000e-02	4.803748000000e-01
