### The result of the verage over time 
### d tau = 0.15036
### number of kessence update = 10
### initial time = 6.42703
### 1- tau	2- average(H pi_k)	3- average (zeta)	 4- average (phi)   
  6.42703	        0	        0	        0
  6.57739	-1.52295e-11	-3.7522e-10	        0
  6.73084	-1.52186e-11	-3.289e-10	2.17846e-10
  6.88745	-6.07247e-12	-2.80551e-10	4.17503e-10
  7.04726	1.15231e-11	-2.26993e-10	6.05844e-10
  7.21036	3.69798e-11	-1.65605e-10	7.84243e-10
   7.3768	6.98803e-11	-9.42184e-11	9.53954e-10
  7.54664	1.09949e-10	-1.10527e-11	1.11612e-09
  7.71996	1.57027e-10	8.5345e-11	1.27181e-09
  7.89681	2.11048e-10	1.96151e-10	1.42196e-09
  8.07728	2.72026e-10	3.22312e-10	1.56749e-09
