### The result of the verage over time 
### d tau = 0.015036
### number of kessence update = 10
### initial time = 0.642703
### 1- tau	2- average(H pi_k)	3- average (zeta)	 4- average (phi)   
 0.642703	        0	        0	-3.11285e-20
 0.657739	-3.76051e-11	-9.22373e-10	-3.11285e-20
 0.673084	-3.3523e-11	-7.68677e-10	5.93511e-10
 0.688745	-4.70385e-12	-5.50385e-10	1.10011e-09
 0.704726	5.00149e-11	-2.36342e-10	1.56786e-09
 0.721036	1.32197e-10	1.9825e-10	2.00256e-09
  0.73768	2.44267e-10	7.73334e-10	2.40793e-09
 0.754664	3.89304e-10	1.5048e-09	2.78723e-09
 0.771996	5.70852e-10	2.40511e-09	3.14343e-09
 0.789681	7.92767e-10	3.48389e-09	3.47917e-09
 0.807728	1.05909e-09	4.74839e-09	3.79688e-09
 0.826143	1.37393e-09	6.20389e-09	4.09877e-09
 0.844933	1.74143e-09	7.8541e-09	4.38685e-09
 0.864106	2.16565e-09	9.70143e-09	4.66296e-09
 0.883669	2.65056e-09	1.17473e-08	4.92877e-09
 0.903631	  3.2e-09	1.39923e-08	5.18582e-09
 0.923998	3.81763e-09	1.64364e-08	5.43552e-09
 0.944778	4.50695e-09	1.90793e-08	5.67918e-09
 0.965981	5.2713e-09	2.19203e-08	5.91798e-09
 0.987614	6.11381e-09	2.49586e-08	6.15303e-09
  1.00969	7.03745e-09	2.81932e-08	6.38536e-09
   1.0322	8.04503e-09	3.16234e-08	6.61592e-09
  1.05518	9.13917e-09	3.52484e-08	6.84558e-09
  1.07862	1.03224e-08	3.90677e-08	7.07518e-09
  1.10253	1.1597e-08	4.30809e-08	7.3055e-09
  1.12693	1.29654e-08	4.72881e-08	7.53726e-09
  1.15182	1.44295e-08	5.16893e-08	7.77115e-09
  1.17722	1.59916e-08	5.62853e-08	8.00783e-09
  1.20313	1.76536e-08	6.1077e-08	8.24793e-09
  1.22956	1.94175e-08	6.60657e-08	8.49204e-09
  1.25652	2.12852e-08	7.12532e-08	8.74073e-09
  1.28403	2.32585e-08	7.66415e-08	8.99457e-09
   1.3121	2.53395e-08	8.22333e-08	9.25408e-09
  1.34073	2.75301e-08	8.80315e-08	9.5198e-09
  1.36993	2.98322e-08	9.40396e-08	9.79224e-09
  1.39973	3.22479e-08	1.00261e-07	1.00719e-08
  1.43012	3.47791e-08	1.06701e-07	1.03593e-08
  1.46113	3.74282e-08	1.13364e-07	1.06549e-08
  1.49276	4.01973e-08	1.20255e-07	1.09592e-08
  1.52503	4.30888e-08	1.27379e-07	1.12728e-08
  1.55795	4.61051e-08	1.34744e-07	1.1596e-08
  1.59153	4.92488e-08	1.42355e-07	1.19294e-08
  1.62578	5.25227e-08	1.50219e-07	1.22735e-08
  1.66072	5.59297e-08	1.58345e-07	1.26289e-08
  1.69637	5.94728e-08	1.66741e-07	1.2996e-08
  1.73273	6.31551e-08	1.75414e-07	1.33753e-08
  1.76982	6.69802e-08	1.84374e-07	1.37674e-08
  1.80765	7.09516e-08	1.9363e-07	1.41728e-08
  1.84625	7.5073e-08	2.03194e-07	1.45921e-08
  1.88561	7.93485e-08	2.13074e-07	1.50258e-08
  1.92577	8.37823e-08	2.23282e-07	1.54746e-08
  1.96673	8.83789e-08	2.3383e-07	1.59391e-08
  2.00851	9.3143e-08	2.4473e-07	1.64197e-08
  2.05113	9.80795e-08	2.55995e-07	1.69172e-08
   2.0946	1.03194e-07	2.67637e-07	1.74323e-08
  2.13894	1.08491e-07	2.79671e-07	1.79655e-08
  2.18417	1.13977e-07	2.92111e-07	1.85176e-08
   2.2303	1.19658e-07	3.04972e-07	1.90893e-08
  2.27735	1.25541e-07	3.18269e-07	1.96813e-08
  2.32534	1.31631e-07	3.32019e-07	2.02943e-08
  2.37428	1.37937e-07	3.46238e-07	2.0929e-08
   2.4242	1.44466e-07	3.60944e-07	2.15864e-08
  2.47512	1.51225e-07	3.76154e-07	2.2267e-08
  2.52704	1.58222e-07	3.91886e-07	2.29719e-08
  2.57999	1.65467e-07	4.08161e-07	2.37018e-08
  2.63399	1.72967e-07	4.24997e-07	2.44575e-08
  2.68906	1.80734e-07	4.42415e-07	2.524e-08
  2.74522	1.88776e-07	4.60436e-07	2.60501e-08
  2.80248	1.97104e-07	4.7908e-07	2.68887e-08
  2.86087	2.05729e-07	4.98371e-07	2.77567e-08
   2.9204	2.14662e-07	5.1833e-07	2.8655e-08
   2.9811	2.23917e-07	5.3898e-07	2.95845e-08
  3.04298	2.33505e-07	5.60345e-07	3.05462e-08
  3.10606	2.4344e-07	5.82447e-07	3.15408e-08
  3.17036	2.53736e-07	6.05311e-07	3.25694e-08
  3.23589	2.64409e-07	6.28961e-07	3.36327e-08
  3.30269	2.75474e-07	6.5342e-07	3.47316e-08
  3.37075	2.86948e-07	6.78712e-07	3.58668e-08
   3.4401	2.9885e-07	7.04861e-07	3.7039e-08
  3.51076	3.11198e-07	7.3189e-07	3.82489e-08
  3.58272	3.24012e-07	7.5982e-07	3.9497e-08
  3.65602	3.37313e-07	7.88673e-07	4.07837e-08
  3.73065	3.51126e-07	8.18469e-07	4.21092e-08
  3.80663	3.65474e-07	8.49225e-07	4.34737e-08
  3.88396	3.80383e-07	8.80958e-07	4.48771e-08
  3.96265	3.95883e-07	9.1368e-07	4.6319e-08
  4.04269	4.12002e-07	9.47402e-07	4.77988e-08
  4.12408	4.28773e-07	9.82128e-07	4.93155e-08
  4.20681	4.46231e-07	1.01786e-06	5.08679e-08
  4.29088	4.64414e-07	1.05459e-06	5.24541e-08
  4.37626	4.83362e-07	1.09232e-06	5.40721e-08
  4.46293	5.03119e-07	1.13101e-06	5.57189e-08
  4.55086	5.2373e-07	1.17065e-06	5.73914e-08
  4.64001	5.45246e-07	1.2112e-06	5.90854e-08
  4.73035	5.67721e-07	1.25261e-06	6.07963e-08
  4.82181	5.91211e-07	1.29481e-06	6.25185e-08
  4.91434	6.15779e-07	1.33774e-06	6.42456e-08
  5.00787	6.41488e-07	1.3813e-06	6.59705e-08
  5.10231	6.68407e-07	1.42539e-06	6.7685e-08
  5.19758	6.96608e-07	1.46987e-06	6.93802e-08
  5.29358	7.26164e-07	1.51462e-06	7.10461e-08
  5.39019	7.57152e-07	1.55945e-06	7.2672e-08
   5.4873	7.8965e-07	1.60419e-06	7.42463e-08
  5.58476	8.23736e-07	1.64863e-06	7.57569e-08
  5.68245	8.59486e-07	1.69254e-06	7.71911e-08
   5.7802	8.96973e-07	1.73567e-06	7.85359e-08
  5.87787	9.36269e-07	1.77775e-06	7.97782e-08
  5.97529	9.77434e-07	1.81851e-06	8.09051e-08
   6.0723	1.02052e-06	1.85765e-06	8.19044e-08
  6.16872	1.06558e-06	1.89485e-06	8.27643e-08
  6.26439	1.11263e-06	1.92981e-06	8.34743e-08
  6.35915	1.1617e-06	1.96223e-06	8.40253e-08
  6.45282	1.21277e-06	1.99178e-06	8.44098e-08
  6.54525	1.26584e-06	2.01818e-06	8.46222e-08
   6.6363	1.32085e-06	2.04114e-06	8.46588e-08
  6.72582	1.37774e-06	2.06043e-06	8.45184e-08
  6.81369	1.43643e-06	2.0758e-06	8.42015e-08
   6.8998	1.49682e-06	2.08707e-06	8.37112e-08
  6.98405	1.55879e-06	2.09409e-06	8.30522e-08
  7.06634	1.62218e-06	2.09675e-06	8.22315e-08
  7.14661	1.68685e-06	2.09498e-06	8.12574e-08
   7.2248	1.75262e-06	2.08875e-06	8.014e-08
  7.30085	1.81931e-06	2.0781e-06	7.88902e-08
  7.37475	1.88672e-06	2.06309e-06	7.75199e-08
  7.44647	1.95465e-06	2.04384e-06	7.60416e-08
  7.51601	2.0229e-06	2.02048e-06	7.44681e-08
  7.58335	2.09128e-06	1.99321e-06	7.28124e-08
  7.64853	2.15957e-06	1.96225e-06	7.1087e-08
