# Matter power spectrum P(k) at redshift z=96.0791
# for k=2.10937e-07 to 223.611 h/Mpc,
# number of wavenumbers equal to 873
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.109370519242e-07       5.110187865603e-03 
       2.158504070464e-07       2.719100618699e-03 
       2.208782089115e-07       3.118646278194e-03 
       2.260231233267e-07       3.315526765779e-03 
       2.312878781936e-07       4.037054121954e-03 
       2.366752649550e-07       3.738044450364e-03 
       2.421881400746e-07       3.929026016532e-03 
       2.478294265519e-07       3.720753268356e-03 
       2.536021154715e-07       3.455877635837e-03 
       2.595092675895e-07       3.819075243153e-03 
       2.655540149563e-07       3.234301833874e-03 
       2.717395625768e-07       3.977738893552e-03 
       2.780691901103e-07       3.350481530319e-03 
       2.845462536090e-07       3.751668786907e-03 
       2.911741872978e-07       3.460645273561e-03 
       2.979565053949e-07       3.723231062503e-03 
       3.048968039751e-07       3.655216154994e-03 
       3.119987628765e-07       2.933370319249e-03 
       3.192661476518e-07       3.404141195065e-03 
       3.267028115646e-07       3.101355396169e-03 
       3.343126976324e-07       3.233414575693e-03 
       3.420998407177e-07       3.435883646133e-03 
       3.500683696668e-07       2.848272117533e-03 
       3.582225094992e-07       2.953562520484e-03 
       3.665665836478e-07       2.772797577350e-03 
       3.751050162511e-07       2.447016577596e-03 
       3.838423344991e-07       2.694924998976e-03 
       3.927831710336e-07       2.472294456014e-03 
       4.019322664045e-07       2.449282929357e-03 
       4.112944715832e-07       2.369084756266e-03 
       4.208747505349e-07       2.284279480738e-03 
       4.306781828503e-07       2.170836024026e-03 
       4.407099664389e-07       2.212420912860e-03 
       4.509754202852e-07       2.166883212273e-03 
       4.614799872687e-07       2.185730248956e-03 
       4.722292370499e-07       2.174432798940e-03 
       4.832288690233e-07       1.988588416699e-03 
       4.944847153393e-07       1.904063682575e-03 
       5.060027439966e-07       1.973121666507e-03 
       5.177890620066e-07       1.879943938166e-03 
       5.298499186309e-07       1.848966523005e-03 
       5.421917086956e-07       1.681101906030e-03 
       5.548209759809e-07       1.717840833058e-03 
       5.677444166916e-07       1.742882849988e-03 
       5.809688830071e-07       1.611868229055e-03 
       5.945013867143e-07       1.592782133446e-03 
       6.083491029259e-07       1.626792486261e-03 
       6.225193738844e-07       1.553142215285e-03 
       6.370197128549e-07       1.496424202850e-03 
       6.518578081091e-07       1.591436774989e-03 
       6.670415270016e-07       1.538621209344e-03 
       6.825789201410e-07       1.422821631706e-03 
       6.984782256588e-07       1.422970709006e-03 
       7.147478735773e-07       1.465015871954e-03 
       7.313964902793e-07       1.416135798962e-03 
       7.484329030815e-07       1.409770948675e-03 
       7.658661449157e-07       1.365097584109e-03 
       7.837054591173e-07       1.302840779524e-03 
       8.019603043269e-07       1.368517259282e-03 
       8.206403595050e-07       1.297864015435e-03 
       8.397555290643e-07       1.300079177911e-03 
       8.593159481205e-07       1.309039214354e-03 
       8.793319878668e-07       1.286632589705e-03 
       8.998142610724e-07       1.310970333321e-03 
       9.207736277096e-07       1.330963381533e-03 
       9.422212007122e-07       1.276149301009e-03 
       9.641683518672e-07       1.333242576242e-03 
       9.866267178445e-07       1.290734305973e-03 
       1.009608206367e-06       1.308579632690e-03 
       1.033125002525e-06       1.282293588117e-03 
       1.057189575234e-06       1.327082730141e-03 
       1.081814683849e-06       1.321737688630e-03 
       1.107013384929e-06       1.307942459228e-03 
       1.132799039159e-06       1.326629541639e-03 
       1.159185318434e-06       1.310575038803e-03 
       1.186186213108e-06       1.344991975322e-03 
       1.213816039413e-06       1.345825149069e-03 
       1.242089447050e-06       1.348812953560e-03 
       1.271021426952e-06       1.375493054094e-03 
       1.300627319238e-06       1.419082706018e-03 
       1.330922821346e-06       1.401618593504e-03 
       1.361923996349e-06       1.420678812719e-03 
       1.393647281483e-06       1.464201557926e-03 
       1.426109496853e-06       1.453999637126e-03 
       1.459327854355e-06       1.482110191087e-03 
       1.493319966801e-06       1.519730398046e-03 
       1.528103857261e-06       1.512623380909e-03 
       1.563697968612e-06       1.537787639936e-03 
       1.600121173324e-06       1.549296041573e-03 
       1.637392783463e-06       1.584916329444e-03 
       1.675532560929e-06       1.619622225744e-03 
       1.714560727937e-06       1.618129363979e-03 
       1.754497977737e-06       1.665217159785e-03 
       1.795365485589e-06       1.700808515888e-03 
       1.837184919986e-06       1.716376504465e-03 
       1.879978454146e-06       1.732317170611e-03 
       1.923768777766e-06       1.773581230791e-03 
       1.968579109057e-06       1.801418230657e-03 
       2.014433207048e-06       1.839804363404e-03 
       2.061355384190e-06       1.880713762587e-03 
       2.109370519242e-06       1.888788556171e-03 
