# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.02819e-05 to 5.00333 h/Mpc,
# number of wavenumbers equal to 1940
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_tot                  7:phi                    8:psi                
       1.028185622909e-05      -1.314272118727e-03      -9.862178277053e-04      -9.862178566265e-04      -1.314252117107e-03      -9.863111824351e-04       4.676263954123e-01       4.674868973822e-01 
       1.034121403287e-05      -1.329482628186e-03      -9.976376748414e-04      -9.976377044362e-04      -1.329462160771e-03      -9.977321085392e-04       4.676263849349e-01       4.674868881322e-01 
       1.040091451300e-05      -1.344869086010e-03      -1.009189761938e-03      -1.009189792222e-03      -1.344848142076e-03      -1.009285287050e-03       4.676263765423e-01       4.674868809687e-01 
       1.046095964776e-05      -1.360433510068e-03      -1.020875608808e-03      -1.020875639797e-03      -1.360412078391e-03      -1.020972237925e-03       4.676263649388e-01       4.674868706218e-01 
       1.052135142686e-05      -1.376178103264e-03      -1.032696874444e-03      -1.032696906155e-03      -1.376156172523e-03      -1.032794620309e-03       4.676264001017e-01       4.674869070397e-01 
       1.058209185151e-05      -1.392104658689e-03      -1.044654910365e-03      -1.044654942814e-03      -1.392082217366e-03      -1.044753785848e-03       4.676263840060e-01       4.674868922220e-01 
       1.064318293446e-05      -1.408215273846e-03      -1.056751296157e-03      -1.056751329362e-03      -1.408192309747e-03      -1.056851314275e-03       4.676263158518e-01       4.674868253968e-01 
       1.070462670008e-05      -1.424512500555e-03      -1.068987953676e-03      -1.068987987654e-03      -1.424489001746e-03      -1.069089127627e-03       4.676263369620e-01       4.674868478087e-01 
       1.076642518443e-05      -1.440998123321e-03      -1.081366228034e-03      -1.081366262804e-03      -1.440974077296e-03      -1.081468571141e-03       4.676263244465e-01       4.674868366232e-01 
       1.082858043532e-05      -1.457674481486e-03      -1.093887881396e-03      -1.093887916976e-03      -1.457649875524e-03      -1.093991407145e-03       4.676263314125e-01       4.674868449273e-01 
       1.089109451240e-05      -1.474543684798e-03      -1.106554503563e-03      -1.106554539972e-03      -1.474518505840e-03      -1.106659225590e-03       4.676263276416e-01       4.674868425150e-01 
       1.095396948718e-05      -1.491607917521e-03      -1.119367740394e-03      -1.119367777651e-03      -1.491582152135e-03      -1.119473672487e-03       4.676262995892e-01       4.674868158482e-01 
       1.101720744314e-05      -1.508869613717e-03      -1.132329425877e-03      -1.132329464001e-03      -1.508843248332e-03      -1.132436581996e-03       4.676263042407e-01       4.674868218873e-01 
       1.108081047582e-05      -1.526330865576e-03      -1.145441136706e-03      -1.145441175718e-03      -1.526303886186e-03      -1.145549530958e-03       4.676262825446e-01       4.674868016046e-01 
       1.114478069280e-05      -1.543994140763e-03      -1.158704732472e-03      -1.158704772394e-03      -1.543966532995e-03      -1.158814379138e-03       4.676262847524e-01       4.674868052416e-01 
       1.120912021388e-05      -1.561861630584e-03      -1.172121865468e-03      -1.172121906319e-03      -1.561833380085e-03      -1.172232778980e-03       4.676262677713e-01       4.674867896937e-01 
       1.127383117107e-05      -1.579935712767e-03      -1.185694326863e-03      -1.185694368665e-03      -1.579906804357e-03      -1.185806521823e-03       4.676262371462e-01       4.674867605341e-01 
       1.133891570869e-05      -1.598218961972e-03      -1.199424057435e-03      -1.199424100212e-03      -1.598189380364e-03      -1.199537548625e-03       4.676262488085e-01       4.674867736651e-01 
       1.140437598345e-05      -1.616713557246e-03      -1.213312700120e-03      -1.213312743892e-03      -1.616683286830e-03      -1.213427502475e-03       4.676262329458e-01       4.674867592944e-01 
       1.147021416450e-05      -1.635422097197e-03      -1.227362213045e-03      -1.227362257837e-03      -1.635391121682e-03      -1.227478341682e-03       4.676262351851e-01       4.674867630499e-01 
       1.153643243351e-05      -1.654346846603e-03      -1.241574305390e-03      -1.241574351226e-03      -1.654315150031e-03      -1.241691775586e-03       4.676261974163e-01       4.674867268028e-01 
       1.160303298477e-05      -1.673490611092e-03      -1.255951090483e-03      -1.255951137386e-03      -1.673458176426e-03      -1.256069917710e-03       4.676262063487e-01       4.674867372716e-01 
