### The result of the verage over time 
### d tau = 0.015036
### number of kessence update = 10
### initial time = 0.642703
### 1- tau	2- pi_k(x)	3-zeta(x)	 4-x
  4.04269	2.90142e-05	1.58775e-05	 (32 , 32 , 32) 
  4.12408	3.01277e-05	1.65639e-05	 (32 , 32 , 32) 
  4.20681	3.12896e-05	1.72714e-05	 (32 , 32 , 32) 
  4.29088	3.2501e-05	1.79993e-05	 (32 , 32 , 32) 
  4.37626	3.37626e-05	1.87461e-05	 (32 , 32 , 32) 
  4.46293	3.5075e-05	1.95103e-05	 (32 , 32 , 32) 
  4.55086	3.64383e-05	2.02895e-05	 (32 , 32 , 32) 
  4.64001	3.78519e-05	2.10812e-05	 (32 , 32 , 32) 
  4.73035	3.9315e-05	2.1882e-05	 (32 , 32 , 32) 
  4.82181	4.08258e-05	2.26882e-05	 (32 , 32 , 32) 
  4.91434	4.2382e-05	2.34952e-05	 (32 , 32 , 32) 
  5.00787	4.39804e-05	2.42979e-05	 (32 , 32 , 32) 
  5.10231	4.56165e-05	2.50903e-05	 (32 , 32 , 32) 
  5.19758	4.72853e-05	2.58659e-05	 (32 , 32 , 32) 
  5.29358	4.89803e-05	2.66176e-05	 (32 , 32 , 32) 
  5.39019	5.06939e-05	2.73377e-05	 (32 , 32 , 32) 
   5.4873	5.24175e-05	2.80178e-05	 (32 , 32 , 32) 
  5.58476	5.41414e-05	2.86496e-05	 (32 , 32 , 32) 
  5.68245	5.58547e-05	2.92243e-05	 (32 , 32 , 32) 
   5.7802	5.75456e-05	2.97335e-05	 (32 , 32 , 32) 
  5.87787	5.92013e-05	3.0169e-05	 (32 , 32 , 32) 
  5.97529	6.08081e-05	3.0523e-05	 (32 , 32 , 32) 
   6.0723	6.23523e-05	3.07888e-05	 (32 , 32 , 32) 
  6.16872	6.38196e-05	3.09607e-05	 (32 , 32 , 32) 
  6.26439	6.51965e-05	3.10346e-05	 (32 , 32 , 32) 
  6.35915	6.64697e-05	3.10078e-05	 (32 , 32 , 32) 
  6.45282	6.76269e-05	3.08793e-05	 (32 , 32 , 32) 
