# # Transfer functions T_i(k) for kessence field (normalized to initial curvature=1 at z= 99          # for k=1.05469e-05 to 239.653 h/Mpc,          #  number of wavenumbers equal to 199         # kessence model with w=-0.9 , $cs^2$= 1e-06              # d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization          # d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot         # (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same         #  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)         # t_i   stands for theta_i(k,z) with above normalization          # t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z))          # k here is h/Mpc pi_conf (scalar field in conformal time) is in Mpc pi'_conf in dimensionless           # Hubble is conformal hubble which is normalized to H0          # d_kess_pi means \pi_conf  in Newtonian gauge and in unit [Mpc] and t_kess_zeta means \zeta = \pi'+H pi -\Psi which is dimensionless 
#    
#  1:k (h/Mpc)              2:pi                    3:zeta                    4:delta_fld                 5:theta_fld                  6:psi                   7:delta_tot                 8:delta_cdm                 9:H_conf[1/Mpc]                              
1.054685259621e-05	3.026758491643e+02	5.810729675204e-11	-1.163185754450e-01	1.536566555386e-08	5.968245768611e-01	-1.174381684708e+00	-1.163260046063e+00	1.281066708857e-03
1.104391044557e-05	3.026758279289e+02	5.778710843174e-11	-1.163185993138e-01	1.684811606697e-08	5.968245179947e-01	-1.174382944496e+00	-1.163261293927e+00	1.281066708857e-03
1.156439390968e-05	3.026758062353e+02	5.747291531577e-11	-1.163186223973e-01	1.847359058949e-08	5.968244760338e-01	-1.174384258294e+00	-1.163262595283e+00	1.281066708857e-03
1.210940700373e-05	3.026757829216e+02	5.695255378413e-11	-1.163186654664e-01	2.025588772563e-08	5.968243567786e-01	-1.174385918988e+00	-1.163264240260e+00	1.281066708857e-03
1.268010577357e-05	3.026756936528e+02	5.690403703795e-11	-1.163186360052e-01	2.221013268418e-08	5.968236627009e-01	-1.174389453639e+00	-1.163267741487e+00	1.281066708857e-03
1.327770074781e-05	3.026756820650e+02	5.642541989204e-11	-1.163186794218e-01	2.435292528931e-08	5.968236290776e-01	-1.174391115594e+00	-1.163269387704e+00	1.281066708857e-03
1.390345950551e-05	3.026756699506e+02	5.590294893665e-11	-1.163187270183e-01	2.670245052329e-08	5.968235952577e-01	-1.174392928563e+00	-1.163271183505e+00	1.281066708857e-03
1.455870936489e-05	3.026756566675e+02	5.532996283364e-11	-1.163187792068e-01	2.927865349747e-08	5.968235581748e-01	-1.174394916443e+00	-1.163273152561e+00	1.281066708857e-03
1.524484019875e-05	3.026756199700e+02	5.472899911041e-11	-1.163188251999e-01	3.210340128007e-08	5.968234015371e-01	-1.174397451646e+00	-1.163275663764e+00	1.281066708857e-03
1.596330738259e-05	3.026755768652e+02	5.393174795643e-11	-1.163188883628e-01	3.520067451264e-08	5.968233017175e-01	-1.174400014995e+00	-1.163278202833e+00	1.281066708857e-03
1.671563488162e-05	3.026755300915e+02	5.342082332049e-11	-1.163189214679e-01	3.859676612811e-08	5.968235466611e-01	-1.174401751481e+00	-1.163279922773e+00	1.281066708857e-03
1.750341848334e-05	3.026754879740e+02	5.275735404098e-11	-1.163189716293e-01	4.232050661218e-08	5.968235460953e-01	-1.174404469226e+00	-1.163282614755e+00	1.281066708857e-03
1.832832918239e-05	3.026755111873e+02	5.274181091863e-11	-1.163189821046e-01	4.640351630887e-08	5.968233872022e-01	-1.174407899112e+00	-1.163286012264e+00	1.281066708857e-03
1.919211672495e-05	3.026753003222e+02	5.162392735514e-11	-1.163190128578e-01	5.088040841012e-08	5.968232425692e-01	-1.174411639081e+00	-1.163289716814e+00	1.281066708857e-03
2.009661332022e-05	3.026752964571e+02	5.046452145052e-11	-1.163191273114e-01	5.578925772014e-08	5.968234326392e-01	-1.174414663932e+00	-1.163292712952e+00	1.281066708857e-03
2.104373752675e-05	3.026752760366e+02	4.920774898665e-11	-1.163192451378e-01	6.117170054214e-08	5.968233696095e-01	-1.174418772016e+00	-1.163296782158e+00	1.281066708857e-03
2.203549832195e-05	3.026752201512e+02	4.787004126428e-11	-1.163193574426e-01	6.707342348114e-08	5.968229716565e-01	-1.174424274415e+00	-1.163302232418e+00	1.281066708857e-03
2.307399936344e-05	3.026750779128e+02	4.563216471354e-11	-1.163195265531e-01	7.354451182641e-08	5.968223812601e-01	-1.174430797559e+00	-1.163308693909e+00	1.281066708857e-03
2.416144345116e-05	3.026750545201e+02	4.405653619699e-11	-1.163196751368e-01	8.063994743122e-08	5.968223206106e-01	-1.174436142021e+00	-1.163313987760e+00	1.281066708857e-03
2.530013719983e-05	3.026750411296e+02	4.231259786991e-11	-1.163198443816e-01	8.841994018473e-08	5.968222832835e-01	-1.174441911728e+00	-1.163319702834e+00	1.281066708857e-03
2.649249593155e-05	3.026750397461e+02	4.042643997337e-11	-1.163200324674e-01	9.695053607373e-08	5.968222796151e-01	-1.174448117307e+00	-1.163325849654e+00	1.281066708857e-03
2.774104879905e-05	3.026751600126e+02	3.775324497468e-11	-1.163203459940e-01	1.063041911487e-07	5.968224625072e-01	-1.174454319384e+00	-1.163331993001e+00	1.281066708857e-03
2.904844415035e-05	3.026748632886e+02	3.608846554926e-11	-1.163203984422e-01	1.165601134847e-07	5.968219864338e-01	-1.174463314751e+00	-1.163340903152e+00	1.281066708857e-03
3.041745514630e-05	3.026748125263e+02	3.356359634665e-11	-1.163206314247e-01	1.278056015414e-07	5.968218494982e-01	-1.174471912679e+00	-1.163349419688e+00	1.281066708857e-03
