# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.05469e-05 to 1.07987 h/Mpc,
# number of wavenumbers equal to 112
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_fld                  6:d_ur                   7:d_tot                  8:phi                    9:psi                   10:t_g                   11:t_b                   12:t_fld                 13:t_ur                  14:t_tot              
       1.054685259621e-05      -1.309362977699e-03      -9.825353616556e-04      -9.825353950515e-04      -1.950274722513e-05      -1.309342509031e-03      -3.201315509724e-04       4.806784253832e-01       4.805366265895e-01      -1.437577791019e-10      -2.161187383394e-15      -3.076368098747e-17      -1.468756828868e-10      -4.681286712107e-14 
       1.327770074781e-05      -2.074564837357e-03      -1.557212367316e-03      -1.557212451197e-03      -3.090971063937e-05      -2.074513435851e-03      -5.073738367393e-04       4.806778955150e-01       4.805361599013e-01      -3.610263921515e-10      -5.428176949789e-15      -7.727473118302e-17      -3.688545648857e-10      -1.175634179442e-13 
       1.671563488162e-05      -3.286367294136e-03      -2.468011914468e-03      -2.468012125158e-03      -4.898823493332e-05      -3.286238229077e-03      -8.041319177863e-04       4.806769250882e-01       4.805352896266e-01      -9.065509821703e-10      -1.363353461108e-14      -1.941044951286e-16      -9.262005031012e-10      -2.952056614844e-13 
       2.104373752675e-05      -5.204534033133e-03      -3.911527232262e-03      -3.911527761425e-03      -7.764129445568e-05      -5.204210041110e-03      -1.274460490050e-03       4.806757112090e-01       4.805342343230e-01      -2.275935169121e-09      -3.423871015100e-14      -4.875681794988e-16      -2.325235998105e-09      -7.411239940136e-13 
       2.649249593155e-05      -8.238574122446e-03      -6.199332526595e-03      -6.199333855551e-03      -1.230527814181e-04      -8.237761101655e-03      -2.019876339208e-03       4.806736442914e-01       4.805324184728e-01      -5.712044628128e-09      -8.597727256735e-14      -1.224711690591e-15      -5.835658606986e-09      -1.860031704252e-12 
       3.335207635008e-05      -1.303203578048e-02      -9.825228698885e-03      -9.825232036095e-03      -1.950242626437e-04      -1.302999677641e-02      -3.201269398892e-03       4.806703338698e-01       4.805295052901e-01      -1.432873566175e-08      -2.158563524103e-13      -3.076320268895e-15      -1.463834990541e-08      -4.665874545768e-12 
       4.198777645321e-05      -2.059116975748e-02      -1.557180978406e-02      -1.557181816293e-02      -3.090898755636e-04      -2.058606080785e-02      -5.073623101058e-03       4.806651264325e-01       4.805249257247e-01      -3.591557276611e-08      -5.417829548955e-13      -7.727298572747e-15      -3.668975129569e-08      -1.169505738932e-11 
       5.285947876168e-05      -3.247659192491e-02      -2.467933344334e-02      -2.467935447480e-02      -4.898671781468e-04      -3.246380961899e-02      -8.041032643894e-03       4.806568723874e-01       4.805176625227e-01      -8.991181319506e-08      -1.359199865731e-12      -1.940983062453e-14      -9.184243525643e-08      -2.927705427050e-11 
       6.654614106728e-05      -5.107679976032e-02      -3.911329999874e-02      -3.911335276602e-02      -7.763700207792e-04      -5.104489370410e-02      -1.274388257963e-02       4.806438467020e-01       4.805061965411e-01      -2.246433648831e-07      -3.407383927356e-12      -4.875425168495e-14      -2.294373293375e-07      -7.314590133093e-11 
       8.377662804643e-05      -7.996777830722e-02      -6.198837660002e-02      -6.198850890142e-02      -1.230418085443e-03      -7.988843142623e-02      -2.019695076637e-02       4.806232196403e-01       4.804880148553e-01      -5.595157949290e-07      -8.532111246432e-12      -1.224609348448e-13      -5.713387444748e-07      -1.821739265669e-10 
       1.054685259621e-04      -1.243055294748e-01      -9.823987633569e-02      -9.824020769757e-02      -1.949967267527e-03      -1.241093559923e-01      -3.200815250855e-02       4.805906786802e-01       4.804592835662e-01      -1.386690801444e-06      -2.132560592260e-11      -3.075912443253e-13      -1.415531232229e-06      -4.514585860087e-10 
       1.327770074781e-04      -1.910341553688e-01      -1.556869920939e-01      -1.556878206227e-01      -3.090205070554e-03      -1.905536567825e-01      -5.072486392432e-02       4.805394843470e-01       4.804139643705e-01      -3.409888034453e-06      -5.314917079498e-11      -7.725680004386e-13      -3.479003886085e-06      -1.109997909536e-09 
       1.671563488162e-04      -2.882955147214e-01      -2.467154632966e-01      -2.467175294143e-01      -4.896934679112e-03      -2.871360367319e-01      -8.038193971252e-02       4.804592747927e-01       4.803426691343e-01      -8.281508319031e-06      -1.318640973766e-10      -1.940340749187e-12      -8.442395174632e-06      -2.695272958793e-09 
       2.104373752675e-04      -4.226233526628e-01      -3.909384265642e-01      -3.909435572476e-01      -7.759354474510e-03      -4.198916527228e-01      -1.273681640194e-01       4.803344150065e-01       4.802309852850e-01      -1.972233631347e-05      -3.248441080508e-10      -4.872880203960e-12      -2.007897959931e-05      -6.416705746789e-09 
       2.649249593155e-04      -5.913421735771e-01      -6.193990404161e-01      -6.194116978213e-01      -1.229339088256e-02      -5.851504569274e-01      -2.017945178513e-01       4.801419274781e-01       4.800571592867e-01      -4.553829843039e-05      -7.914890814512e-10      -1.223605260719e-11      -4.626383767844e-05      -1.480856522686e-08 
       3.335207635008e-04      -7.675452367932e-01      -9.811966872870e-01      -9.812275947327e-01      -1.947304669686e-02      -7.543718594852e-01      -3.196513744796e-01       4.798494147529e-01       4.797892710796e-01      -1.001734447768e-04      -1.896139956096e-09      -3.071969516316e-11      -1.014239679860e-04      -3.255033600639e-08 
       4.198777645321e-04      -8.822423186262e-01      -1.553909126550e+00      -1.553983416059e+00      -3.083693773633e-02      -8.570331505779e-01      -5.062023440877e-01       4.794137345567e-01       4.793823621147e-01      -2.044773633123e-04      -4.428424339401e-09      -7.710306007808e-11      -2.059039451950e-04      -6.636840291685e-08 
       5.285947876168e-04      -8.354888390831e-01      -2.459933750668e+00      -2.460108092094e+00      -4.881216465266e-02      -7.954153303556e-01      -8.013098042602e-01       4.787811897487e-01       4.787766599819e-01      -3.735954212553e-04      -9.966788432457e-09      -1.934408548645e-10      -3.730214294834e-04      -1.210899564408e-07 
       6.654614106728e-04      -6.051413397590e-01      -3.892012118910e+00      -3.892407044469e+00      -7.722056280476e-02      -5.606886709106e-01      -1.267762213485e+00       4.778872355044e-01       4.778977486424e-01      -5.908294278689e-04      -2.131823829987e-08      -4.850319998423e-10      -5.832614716881e-04      -1.913625935091e-07 
       8.377662804643e-04      -4.110064768486e-01      -6.152917347927e+00      -6.153768057830e+00      -1.220667983403e-01      -3.930232984030e-01      -2.004220278515e+00       4.766470002707e-01       4.766556138514e-01      -8.352417856113e-04      -4.277009551853e-08      -1.215184022673e-09      -8.196117240041e-04      -2.715743472932e-07 
       1.054685259621e-03      -4.434033732750e-01      -9.716779405703e+00      -9.718491993107e+00      -1.927562620355e-01      -4.602980297173e-01      -3.165165692816e+00       4.749296834703e-01       4.749313198101e-01      -1.256613797175e-03      -7.988568142866e-08      -3.041198494681e-09      -1.251980298016e-03      -4.132464689458e-07 
       1.327770074781e-03      -3.118222082269e-01      -1.532292902758e+01      -1.532609869147e+01      -3.039545447187e-01      -3.028602437408e-01      -4.991403110837e+00       4.725472281883e-01       4.725497376818e-01      -2.003265049801e-03      -1.385717733474e-07      -7.600228034414e-09      -2.016087317780e-03      -6.633581268091e-07 
       1.671563488162e-03      -2.718192093411e-01      -2.411731542353e+01      -2.412267365315e+01      -4.783873014613e-01      -2.527246882750e-01      -7.856215854468e+00       4.692762831773e-01       4.692772027497e-01      -3.004218701709e-03      -2.229347601176e-07      -1.895739327503e-08      -2.992655442447e-03      -9.940541157729e-07 
       2.104373752675e-03      -1.143038513037e-01      -3.786360836747e+01      -3.787210133987e+01      -7.510310173816e-01      -1.197519847654e-01      -1.233404733829e+01       4.648541406353e-01       4.648552444747e-01      -4.696169384772e-03      -3.399845087568e-07      -4.716717132749e-08      -4.696456639959e-03      -1.558394179896e-06 
       2.649249593155e-03      -1.170411915067e-01      -5.924889211615e+01      -5.926262812965e+01      -1.175187896559e+00      -9.576794817659e-02      -1.930038502101e+01       4.589596083337e-01       4.589600579385e-01      -7.299871406548e-03      -5.203832026682e-07      -1.169704104768e-07      -7.291587287721e-03      -2.428126470869e-06 
       3.335207635008e-03      -6.042457535156e-02      -9.231845985788e+01      -9.234260139246e+01      -1.831121699947e+00      -7.341010307272e-02      -3.007354687580e+01       4.512232813682e-01       4.512236534873e-01      -1.123832514871e-02      -8.285062318831e-07      -2.888528594553e-07      -1.113792432982e-02      -3.749767543430e-06 
       4.198777645321e-03       7.267136980399e-03      -1.430745077394e+02      -1.431179883625e+02      -2.837901114446e+00      -2.820341557283e-01      -4.660940345335e+01       4.412445669632e-01       4.412448192217e-01      -1.716041666050e-02      -1.301053711412e-06      -7.094974888485e-07      -1.706865099662e-02      -5.786826336582e-06 
       5.285947876168e-03       1.358732311673e-01      -2.202473513068e+02      -2.203283297974e+02      -4.368707800723e+00       1.395355173262e-01      -7.175373898412e+01       4.285976756690e-01       4.285976756690e-01      -2.622908200639e-02      -2.024427243965e-06      -1.731017209889e-06      -2.622779752854e-02      -8.984475631185e-06 
       6.654614106728e-03       1.308719094881e-01      -3.362111552024e+02      -3.363702814382e+02      -6.669351596845e+00       1.343995897448e-01      -1.095429289987e+02       4.128470686047e-01       4.128470686047e-01      -4.004174760880e-02      -3.168294957813e-06      -4.188243415353e-06      -4.004051034505e-02      -1.400488425899e-05 
       8.377662804643e-03       1.247655843947e-01      -5.078908110485e+02      -5.082168994543e+02      -1.007594041149e+01       1.281284497336e-01      -1.655021967902e+02       3.935576463687e-01       3.935576463687e-01      -6.049640845686e-02      -4.962085850126e-06      -1.002844304639e-05      -6.049522899762e-02      -2.184956369257e-05 
       1.054685259621e-02       1.173992856108e-01      -7.572255325623e+02      -7.579163998016e+02      -1.502477654856e+01       1.205634686346e-01      -2.468064554927e+02       3.703061630202e-01       3.703061630202e-01      -9.021536691502e-02      -7.801287743853e-06      -2.370072310703e-05      -9.021425714042e-02      -3.421333481853e-05 
       1.327770074781e-02       1.086508811561e-01      -1.110220357086e+03      -1.111710488861e+03      -2.203398216521e+01       1.115790760677e-01      -3.619892981069e+02       3.426889107358e-01       3.426889107358e-01      -1.323182813107e-01      -1.233096702131e-05      -5.508889368598e-05      -1.323172543051e-01      -5.396352662044e-05 
       1.671563488158e-02       9.842481679315e-02      -1.592887622866e+03      -1.596099969892e+03      -3.162479262637e+01       1.010770929637e-01      -5.196551536977e+02       3.103984130761e-01       3.103984130761e-01      -1.899511425491e-01      -1.968796016103e-05      -1.253214292172e-04      -1.899502123171e-01      -8.606860332092e-05 
       2.104373730101e-02       8.672509261409e-02      -2.222265402160e+03      -2.229012330779e+03      -4.414440084028e+01       8.906175051715e-02      -7.255941085685e+02       2.734626189201e-01       2.734626189201e-01      -2.652309166606e-01      -3.154481027818e-05      -2.772803464544e-04      -2.652300971271e-01      -1.391626354077e-04 
       2.649233667261e-02       7.384711290352e-02      -2.994764454096e+03      -3.008117615596e+03      -5.953095780515e+01       7.583630812061e-02      -9.789757729735e+02       2.327991288479e-01       2.327991288479e-01      -3.578570417393e-01      -4.985818169118e-05      -5.927274920206e-04      -3.578563440719e-01      -2.281602903727e-04 
       3.333135620458e-02       6.067742942534e-02      -3.888342364295e+03      -3.912015639099e+03      -7.733905542020e+01       6.231122883162e-02      -1.272784919610e+03       1.912048799193e-01       1.912048799193e-01      -4.652702118328e-01      -7.470671955237e-05      -1.219196620892e-03      -4.652696388107e-01      -3.788894960102e-04 
