### The result of the verage over time 
### d tau = 1e-05
### number of kessence update = 1
### initial time = 0.642703
### 1- tau	 2- pi_k(x)	3-zeta(x)	4-|k|	 5-vec{k} 	 6-|k|^2
 0.642703	        0 0	        0 0	 (1 , 0 , 0) 	1
 0.642703	        0 0	        0 0	 (0 , 1 , 0) 	1
 0.642703	        0 0	        0 0	 (0 , 0 , 1) 	1
 0.642713	4.31089e-05 1.7788e-05	  4.10936 1.0346	 (1 , 0 , 0) 	1
 0.642713	-1.91409e-05 2.69067e-05	 0.370388 1.8972	 (0 , 1 , 0) 	1
 0.642713	3.36058e-05 -1.14608e-05	  3.36448 -0.205942	 (0 , 0 , 1) 	1
 0.642714	   269970 67971.3	1.72774e+11 4.34987e+10	 (1 , 0 , 0) 	1
 0.642714	  24327.2 124641	1.55726e+10 7.97659e+10	 (0 , 1 , 0) 	1
 0.642714	   221034 -13532.1	1.41457e+11 -8.65864e+09	 (0 , 0 , 1) 	1
 0.642716	1.31818e+16 3.16421e+15	8.43635e+21 2.02509e+21	 (1 , 0 , 0) 	1
 0.642716	1.59926e+15 6.34431e+15	1.02352e+21 4.06034e+21	 (0 , 1 , 0) 	1
 0.642716	1.1682e+16 -6.65432e+14	7.47648e+21 -4.25875e+20	 (0 , 0 , 1) 	1
 0.642717	5.07482e+36 7.79489e+34	3.24789e+42 4.98874e+40	 (1 , 0 , 0) 	1
 0.642717	2.3463e+36 2.90167e+36	1.50163e+42 1.85707e+42	 (0 , 1 , 0) 	1
 0.642717	6.471e+36 -1.5273e+35	4.14145e+42 -9.77476e+40	 (0 , 0 , 1) 	1
 0.642719	5.86111e+78 -1.08318e+78	3.75112e+84 -6.93237e+83	 (1 , 0 , 0) 	1
 0.642719	5.69156e+78 2.13342e+78	3.64261e+84 1.36539e+84	 (0 , 1 , 0) 	1
 0.642719	7.68549e+78 3.56514e+77	4.91872e+84 2.28169e+83	 (0 , 0 , 1) 	1
 0.642721	4.06761e+163 1.5193e+162	2.60327e+169 9.72354e+167	 (1 , 0 , 0) 	1
 0.642721	4.06794e+163 4.56052e+162	2.60349e+169 2.91874e+168	 (0 , 1 , 0) 	1
 0.642721	4.24355e+163 2.42531e+162	2.71588e+169 1.5522e+168	 (0 , 0 , 1) 	1
 0.642722	      nan nan	      nan nan	 (1 , 0 , 0) 	1
 0.642722	      nan nan	      nan nan	 (0 , 1 , 0) 	1
 0.642722	      nan nan	      nan nan	 (0 , 0 , 1) 	1
 0.642724	      nan nan	      nan nan	 (1 , 0 , 0) 	1
 0.642724	      nan nan	      nan nan	 (0 , 1 , 0) 	1
 0.642724	      nan nan	      nan nan	 (0 , 0 , 1) 	1
 0.642725	      nan nan	      nan nan	 (1 , 0 , 0) 	1
 0.642725	      nan nan	      nan nan	 (0 , 1 , 0) 	1
 0.642725	      nan nan	      nan nan	 (0 , 0 , 1) 	1
 0.642727	      nan nan	      nan nan	 (1 , 0 , 0) 	1
 0.642727	      nan nan	      nan nan	 (0 , 1 , 0) 	1
 0.642727	      nan nan	      nan nan	 (0 , 0 , 1) 	1
 0.642728	      nan nan	      nan nan	 (1 , 0 , 0) 	1
 0.642728	      nan nan	      nan nan	 (0 , 1 , 0) 	1
 0.642728	      nan nan	      nan nan	 (0 , 0 , 1) 	1
  0.64273	      nan nan	      nan nan	 (1 , 0 , 0) 	1
  0.64273	      nan nan	      nan nan	 (0 , 1 , 0) 	1
  0.64273	      nan nan	      nan nan	 (0 , 0 , 1) 	1
 0.642732	      nan nan	      nan nan	 (1 , 0 , 0) 	1
 0.642732	      nan nan	      nan nan	 (0 , 1 , 0) 	1
 0.642732	      nan nan	      nan nan	 (0 , 0 , 1) 	1
 0.642733	      nan nan	      nan nan	 (1 , 0 , 0) 	1
 0.642733	      nan nan	      nan nan	 (0 , 1 , 0) 	1
 0.642733	      nan nan	      nan nan	 (0 , 0 , 1) 	1
 0.642735	      nan nan	      nan nan	 (1 , 0 , 0) 	1
 0.642735	      nan nan	      nan nan	 (0 , 1 , 0) 	1
 0.642735	      nan nan	      nan nan	 (0 , 0 , 1) 	1
 0.642736	      nan nan	      nan nan	 (1 , 0 , 0) 	1
 0.642736	      nan nan	      nan nan	 (0 , 1 , 0) 	1
 0.642736	      nan nan	      nan nan	 (0 , 0 , 1) 	1
 0.642738	      nan nan	      nan nan	 (1 , 0 , 0) 	1
 0.642738	      nan nan	      nan nan	 (0 , 1 , 0) 	1
 0.642738	      nan nan	      nan nan	 (0 , 0 , 1) 	1
 0.642739	      nan nan	      nan nan	 (1 , 0 , 0) 	1
 0.642739	      nan nan	      nan nan	 (0 , 1 , 0) 	1
 0.642739	      nan nan	      nan nan	 (0 , 0 , 1) 	1
 0.642741	      nan nan	      nan nan	 (1 , 0 , 0) 	1
 0.642741	      nan nan	      nan nan	 (0 , 1 , 0) 	1
 0.642741	      nan nan	      nan nan	 (0 , 0 , 1) 	1
 0.642742	      nan nan	      nan nan	 (1 , 0 , 0) 	1
 0.642742	      nan nan	      nan nan	 (0 , 1 , 0) 	1
 0.642742	      nan nan	      nan nan	 (0 , 0 , 1) 	1
 0.642744	      nan nan	      nan nan	 (1 , 0 , 0) 	1
 0.642744	      nan nan	      nan nan	 (0 , 1 , 0) 	1
 0.642744	      nan nan	      nan nan	 (0 , 0 , 1) 	1
 0.642746	      nan nan	      nan nan	 (1 , 0 , 0) 	1
 0.642746	      nan nan	      nan nan	 (0 , 1 , 0) 	1
 0.642746	      nan nan	      nan nan	 (0 , 0 , 1) 	1
 0.642747	      nan nan	      nan nan	 (1 , 0 , 0) 	1
 0.642747	      nan nan	      nan nan	 (0 , 1 , 0) 	1
 0.642747	      nan nan	      nan nan	 (0 , 0 , 1) 	1
 0.642749	      nan nan	      nan nan	 (1 , 0 , 0) 	1
 0.642749	      nan nan	      nan nan	 (0 , 1 , 0) 	1
 0.642749	      nan nan	      nan nan	 (0 , 0 , 1) 	1
  0.64275	      nan nan	      nan nan	 (1 , 0 , 0) 	1
  0.64275	      nan nan	      nan nan	 (0 , 1 , 0) 	1
  0.64275	      nan nan	      nan nan	 (0 , 0 , 1) 	1
 0.642752	      nan nan	      nan nan	 (1 , 0 , 0) 	1
 0.642752	      nan nan	      nan nan	 (0 , 1 , 0) 	1
 0.642752	      nan nan	      nan nan	 (0 , 0 , 1) 	1
 0.642753	      nan nan	      nan nan	 (1 , 0 , 0) 	1
 0.642753	      nan nan	      nan nan	 (0 , 1 , 0) 	1
 0.642753	      nan nan	      nan nan	 (0 , 0 , 1) 	1
 0.642755	      nan nan	      nan nan	 (1 , 0 , 0) 	1
 0.642755	      nan nan	      nan nan	 (0 , 1 , 0) 	1
 0.642755	      nan nan	      nan nan	 (0 , 0 , 1) 	1
 0.642757	      nan nan	      nan nan	 (1 , 0 , 0) 	1
