### The result of the verage over time 
### d tau = 3.75901e-06
### number of kessence update = 1
### initial time = 0.642703
### 1- tau	 2- pi_k(x)	3-zeta(x)	4-|k|	 5-vec{k} 	 6-|k|^2
 0.642703	        0 0	        0 0	 (1 , 0 , 0) 	1
 0.642703	        0 0	        0 0	 (0 , 1 , 0) 	1
 0.642703	        0 0	        0 0	 (0 , 0 , 1) 	1
 0.642707	4.18511e-05 1.31435e-05	   10.932 2.75232	 (1 , 0 , 0) 	1
 0.642707	-4.88355e-06 2.19546e-05	 0.985335 5.04707	 (0 , 1 , 0) 	1
 0.642707	3.36301e-05 -5.59343e-06	  8.95046 -0.547862	 (0 , 0 , 1) 	1
  0.64271	   718163 180810	1.91048e+11 4.80995e+10	 (1 , 0 , 0) 	1
  0.64271	  64727.8 331560	1.72197e+10 8.82026e+10	 (0 , 1 , 0) 	1
  0.64271	   587986 -35991.9	1.56418e+11 -9.57444e+09	 (0 , 0 , 1) 	1
 0.642714	4.37319e+16 8.3794e+15	1.16338e+22 2.22913e+21	 (1 , 0 , 0) 	1
 0.642714	1.09412e+16 2.45917e+16	2.91064e+21 6.54201e+21	 (0 , 1 , 0) 	1
 0.642714	5.09494e+16 -2.27367e+15	1.35538e+22 -6.04854e+20	 (0 , 0 , 1) 	1
 0.642718	3.46038e+38 -7.96367e+37	9.20546e+43 -2.11854e+43	 (1 , 0 , 0) 	1
 0.642718	3.22716e+38 1.88839e+38	8.58505e+43 5.0236e+43	 (0 , 1 , 0) 	1
 0.642718	5.65062e+38 1.69692e+37	1.50321e+44 4.51423e+42	 (0 , 0 , 1) 	1
 0.642722	3.00217e+83 -1.04079e+82	7.98648e+88 -2.76876e+87	 (1 , 0 , 0) 	1
 0.642722	3.06012e+83 5.09706e+82	8.14065e+88 1.35594e+88	 (0 , 1 , 0) 	1
 0.642722	3.40851e+83 1.72228e+82	9.06744e+88 4.58166e+87	 (0 , 0 , 1) 	1
 0.642725	5.20301e+173 6.74134e+172	1.38412e+179 1.79335e+178	 (1 , 0 , 0) 	1
 0.642725	5.21417e+173 3.55523e+172	1.38709e+179 9.45769e+177	 (0 , 1 , 0) 	1
 0.642725	5.2397e+173 1.90848e+172	1.39388e+179 5.07697e+177	 (0 , 0 , 1) 	1
 0.642729	      nan nan	      nan nan	 (1 , 0 , 0) 	1
 0.642729	      nan nan	      nan nan	 (0 , 1 , 0) 	1
 0.642729	      nan nan	      nan nan	 (0 , 0 , 1) 	1
 0.642733	      nan nan	      nan nan	 (1 , 0 , 0) 	1
 0.642733	      nan nan	      nan nan	 (0 , 1 , 0) 	1
 0.642733	      nan nan	      nan nan	 (0 , 0 , 1) 	1
 0.642737	      nan nan	      nan nan	 (1 , 0 , 0) 	1
 0.642737	      nan nan	      nan nan	 (0 , 1 , 0) 	1
 0.642737	      nan nan	      nan nan	 (0 , 0 , 1) 	1
  0.64274	      nan nan	      nan nan	 (1 , 0 , 0) 	1
  0.64274	      nan nan	      nan nan	 (0 , 1 , 0) 	1
  0.64274	      nan nan	      nan nan	 (0 , 0 , 1) 	1
 0.642744	      nan nan	      nan nan	 (1 , 0 , 0) 	1
 0.642744	      nan nan	      nan nan	 (0 , 1 , 0) 	1
 0.642744	      nan nan	      nan nan	 (0 , 0 , 1) 	1
 0.642748	      nan nan	      nan nan	 (1 , 0 , 0) 	1
 0.642748	      nan nan	      nan nan	 (0 , 1 , 0) 	1
 0.642748	      nan nan	      nan nan	 (0 , 0 , 1) 	1
 0.642752	      nan nan	      nan nan	 (1 , 0 , 0) 	1
 0.642752	      nan nan	      nan nan	 (0 , 1 , 0) 	1
 0.642752	      nan nan	      nan nan	 (0 , 0 , 1) 	1
 0.642755	      nan nan	      nan nan	 (1 , 0 , 0) 	1
 0.642755	      nan nan	      nan nan	 (0 , 1 , 0) 	1
 0.642755	      nan nan	      nan nan	 (0 , 0 , 1) 	1
 0.642759	      nan nan	      nan nan	 (1 , 0 , 0) 	1
 0.642759	      nan nan	      nan nan	 (0 , 1 , 0) 	1
 0.642759	      nan nan	      nan nan	 (0 , 0 , 1) 	1
 0.642763	      nan nan	      nan nan	 (1 , 0 , 0) 	1
 0.642763	      nan nan	      nan nan	 (0 , 1 , 0) 	1
 0.642763	      nan nan	      nan nan	 (0 , 0 , 1) 	1
 0.642767	      nan nan	      nan nan	 (1 , 0 , 0) 	1
 0.642767	      nan nan	      nan nan	 (0 , 1 , 0) 	1
 0.642767	      nan nan	      nan nan	 (0 , 0 , 1) 	1
  0.64277	      nan nan	      nan nan	 (1 , 0 , 0) 	1
  0.64277	      nan nan	      nan nan	 (0 , 1 , 0) 	1
  0.64277	      nan nan	      nan nan	 (0 , 0 , 1) 	1
 0.642774	      nan nan	      nan nan	 (1 , 0 , 0) 	1
 0.642774	      nan nan	      nan nan	 (0 , 1 , 0) 	1
 0.642774	      nan nan	      nan nan	 (0 , 0 , 1) 	1
 0.642778	      nan nan	      nan nan	 (1 , 0 , 0) 	1
 0.642778	      nan nan	      nan nan	 (0 , 1 , 0) 	1
 0.642778	      nan nan	      nan nan	 (0 , 0 , 1) 	1
 0.642782	      nan nan	      nan nan	 (1 , 0 , 0) 	1
 0.642782	      nan nan	      nan nan	 (0 , 1 , 0) 	1
 0.642782	      nan nan	      nan nan	 (0 , 0 , 1) 	1
 0.642785	      nan nan	      nan nan	 (1 , 0 , 0) 	1
 0.642785	      nan nan	      nan nan	 (0 , 1 , 0) 	1
 0.642785	      nan nan	      nan nan	 (0 , 0 , 1) 	1
 0.642789	      nan nan	      nan nan	 (1 , 0 , 0) 	1
 0.642789	      nan nan	      nan nan	 (0 , 1 , 0) 	1
 0.642789	      nan nan	      nan nan	 (0 , 0 , 1) 	1
 0.642793	      nan nan	      nan nan	 (1 , 0 , 0) 	1
 0.642793	      nan nan	      nan nan	 (0 , 1 , 0) 	1
 0.642793	      nan nan	      nan nan	 (0 , 0 , 1) 	1
 0.642797	      nan nan	      nan nan	 (1 , 0 , 0) 	1
 0.642797	      nan nan	      nan nan	 (0 , 1 , 0) 	1
 0.642797	      nan nan	      nan nan	 (0 , 0 , 1) 	1
   0.6428	      nan nan	      nan nan	 (1 , 0 , 0) 	1
   0.6428	      nan nan	      nan nan	 (0 , 1 , 0) 	1
   0.6428	      nan nan	      nan nan	 (0 , 0 , 1) 	1
 0.642804	      nan nan	      nan nan	 (1 , 0 , 0) 	1
 0.642804	      nan nan	      nan nan	 (0 , 1 , 0) 	1
 0.642804	      nan nan	      nan nan	 (0 , 0 , 1) 	1
 0.642808	      nan nan	      nan nan	 (1 , 0 , 0) 	1
 0.642808	      nan nan	      nan nan	 (0 , 1 , 0) 	1
 0.642808	      nan nan	      nan nan	 (0 , 0 , 1) 	1
 0.642812	      nan nan	      nan nan	 (1 , 0 , 0) 	1
