# Matter power spectrum P(k) at redshift z=0.996041
# for k=2.10937e-07 to 223.611 h/Mpc,
# number of wavenumbers equal to 873
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.109370519242e-07       5.414583867266e-01 
       2.158504070464e-07       5.209951154820e-01 
       2.208782089115e-07       5.370356702616e-01 
       2.260231233267e-07       5.502970104474e-01 
       2.312878781936e-07       5.707655457431e-01 
       2.366752649550e-07       5.778834945486e-01 
       2.421881400746e-07       5.917440179396e-01 
       2.478294265519e-07       6.004911525803e-01 
       2.536021154715e-07       6.085571359945e-01 
       2.595092675895e-07       6.257390405515e-01 
       2.655540149563e-07       6.295758593343e-01 
       2.717395625768e-07       6.529340691871e-01 
       2.780691901103e-07       6.567253508366e-01 
       2.845462536090e-07       6.758485823924e-01 
       2.911741872978e-07       6.849795449285e-01 
       2.979565053949e-07       7.027023325290e-01 
       3.048968039751e-07       7.157599282457e-01 
       3.119987628765e-07       7.185280670153e-01 
       3.192661476518e-07       7.409071553607e-01 
       3.267028115646e-07       7.509046503093e-01 
       3.343126976324e-07       7.684131215855e-01 
       3.420998407177e-07       7.874189011124e-01 
       3.500683696668e-07       7.932700776001e-01 
       3.582225094992e-07       8.114480089411e-01 
       3.665665836478e-07       8.247694700629e-01 
       3.751050162511e-07       8.354207805420e-01 
       3.838423344991e-07       8.576220655333e-01 
       3.927831710336e-07       8.709105947043e-01 
       4.019322664045e-07       8.885144765453e-01 
       4.112944715832e-07       9.052975839455e-01 
       4.208747505349e-07       9.223312268536e-01 
       4.306781828503e-07       9.390644234578e-01 
       4.407099664389e-07       9.596710881129e-01 
       4.509754202852e-07       9.787331907580e-01 
       4.614799872687e-07       9.997132123234e-01 
       4.722292370499e-07       1.020448151023e+00 
       4.832288690233e-07       1.037407437643e+00 
       4.944847153393e-07       1.057161913979e+00 
       5.060027439966e-07       1.081275588672e+00 
       5.177890620066e-07       1.101721178266e+00 
       5.298499186309e-07       1.124243126735e+00 
       5.421917086956e-07       1.143451141094e+00 
       5.548209759809e-07       1.168822716870e+00 
       5.677444166916e-07       1.194427705806e+00 
       5.809688830071e-07       1.216032464390e+00 
       5.945013867143e-07       1.241408610438e+00 
       6.083491029259e-07       1.268978385556e+00 
       6.225193738844e-07       1.293826866477e+00 
       6.370197128549e-07       1.319722978587e+00 
       6.518578081091e-07       1.351060009807e+00 
       6.670415270016e-07       1.378315919011e+00 
       6.825789201410e-07       1.404029130946e+00 
       6.984782256588e-07       1.434219853134e+00 
       7.147478735773e-07       1.466534137967e+00 
       7.313964902793e-07       1.496385092656e+00 
       7.484329030815e-07       1.528395289363e+00 
       7.658661449157e-07       1.559721071463e+00 
       7.837054591173e-07       1.591049628045e+00 
       8.019603043269e-07       1.627910561496e+00 
       8.206403595050e-07       1.660376031270e+00 
       8.397555290643e-07       1.696380384378e+00 
       8.593159481205e-07       1.733449805604e+00 
       8.793319878668e-07       1.770087336698e+00 
       8.998142610724e-07       1.809422462540e+00 
       9.207736277096e-07       1.849448859895e+00 
       9.422212007122e-07       1.887280393324e+00 
       9.641683518672e-07       1.930615176969e+00 
       9.866267178445e-07       1.970714844898e+00 
       1.009608206367e-06       2.014268992862e+00 
       1.033125002525e-06       2.056884536063e+00 
       1.057189575234e-06       2.103541037125e+00 
       1.081814683849e-06       2.149026237234e+00 
       1.107013384929e-06       2.195142365250e+00 
       1.132799039159e-06       2.243733886038e+00 
       1.159185318434e-06       2.291832054825e+00 
       1.186186213108e-06       2.343296737085e+00 
       1.213816039413e-06       2.394353788639e+00 
       1.242089447050e-06       2.446640409295e+00 
       1.271021426952e-06       2.501185196861e+00 
       1.300627319238e-06       2.557706707264e+00 
       1.330922821346e-06       2.612620216518e+00 
       1.361923996349e-06       2.670474586802e+00 
       1.393647281483e-06       2.730751889474e+00 
       1.426109496853e-06       2.789804831952e+00 
       1.459327854355e-06       2.851997784247e+00 
       1.493319966801e-06       2.916007167965e+00 
       1.528103857261e-06       2.979276232923e+00 
       1.563697968612e-06       3.045509705963e+00 
       1.600121173324e-06       3.112536831771e+00 
       1.637392783463e-06       3.182222918168e+00 
       1.675532560929e-06       3.253388687884e+00 
       1.714560727937e-06       3.324341732827e+00 
       1.754497977737e-06       3.399263933994e+00 
       1.795365485589e-06       3.475249428656e+00 
       1.837184919986e-06       3.551913312843e+00 
       1.879978454146e-06       3.630290092923e+00 
       1.923768777766e-06       3.711659446580e+00 
       1.968579109057e-06       3.794139072401e+00 
       2.014433207048e-06       3.878960757209e+00 
       2.061355384190e-06       3.965766343022e+00 
       2.109370519242e-06       4.052826271518e+00 
       2.158504070464e-06       4.143028698722e+00 
       2.208782089115e-06       4.236315300098e+00 
       2.260231233267e-06       4.330897008409e+00 
       2.312878781936e-06       4.426885955485e+00 
       2.366752649550e-06       4.525266779852e+00 
       2.421881400746e-06       4.626813459472e+00 
       2.478294265519e-06       4.729836219151e+00 
       2.536021154715e-06       4.835338058440e+00 
       2.595092675895e-06       4.943381327879e+00 
       2.655540149563e-06       5.054669106021e+00 
       2.717395625768e-06       5.167652707833e+00 
       2.780691901103e-06       5.282277076907e+00 
       2.845462536090e-06       5.399990441302e+00 
       2.911741872978e-06       5.520583134272e+00 
       2.979565053949e-06       5.644461696611e+00 
       3.048968039751e-06       5.770740799538e+00 
       3.119987628765e-06       5.899284978438e+00 
       3.192661476518e-06       6.030779473914e+00 
       3.267028115646e-06       6.166062025624e+00 
