        0.195917E-04        0.464265E-01        0.431458E-16
        0.197048E-04        0.466946E-01        0.441440E-16
        0.198185E-04        0.469641E-01        0.451655E-16
        0.199329E-04        0.472353E-01        0.462108E-16
        0.200480E-04        0.475080E-01        0.472806E-16
        0.201638E-04        0.477822E-01        0.483753E-16
        0.202802E-04        0.480581E-01        0.494955E-16
        0.203972E-04        0.483355E-01        0.506418E-16
        0.205150E-04        0.486145E-01        0.518149E-16
        0.206334E-04        0.488952E-01        0.529708E-16
        0.207526E-04        0.491775E-01        0.541993E-16
        0.208724E-04        0.494614E-01        0.554564E-16
        0.209929E-04        0.497469E-01        0.564432E-16
        0.211140E-04        0.500341E-01        0.577592E-16
        0.212359E-04        0.503230E-01        0.591058E-16
        0.213585E-04        0.506135E-01        0.604838E-16
        0.214818E-04        0.509057E-01        0.618940E-16
        0.216059E-04        0.511995E-01        0.633370E-16
        0.217306E-04        0.514951E-01        0.648137E-16
        0.218560E-04        0.517924E-01        0.663248E-16
        0.219822E-04        0.520914E-01        0.678711E-16
        0.221091E-04        0.523921E-01        0.694534E-16
        0.222368E-04        0.526946E-01        0.710727E-16
        0.223651E-04        0.529988E-01        0.727296E-16
        0.224943E-04        0.533048E-01        0.744252E-16
        0.226241E-04        0.536125E-01        0.761603E-16
        0.227547E-04        0.539220E-01        0.779358E-16
        0.228861E-04        0.542333E-01        0.797527E-16
        0.230182E-04        0.545464E-01        0.816120E-16
        0.231511E-04        0.548613E-01        0.835146E-16
        0.232847E-04        0.551780E-01        0.854615E-16
        0.234192E-04        0.554965E-01        0.874538E-16
        0.235544E-04        0.558169E-01        0.894924E-16
        0.236904E-04        0.561391E-01        0.915786E-16
        0.238271E-04        0.564632E-01        0.937135E-16
        0.239647E-04        0.567892E-01        0.958980E-16
        0.241030E-04        0.571170E-01        0.981334E-16
        0.242422E-04        0.574468E-01        0.100421E-15
        0.243821E-04        0.577784E-01        0.102762E-15
        0.245229E-04        0.581120E-01        0.105157E-15
        0.246645E-04        0.584475E-01        0.107608E-15
        0.248068E-04        0.587849E-01        0.110117E-15
        0.249501E-04        0.591242E-01        0.112683E-15
        0.250941E-04        0.594656E-01        0.115310E-15
        0.252390E-04        0.598089E-01        0.117997E-15
        0.253847E-04        0.601541E-01        0.120748E-15
        0.255312E-04        0.605014E-01        0.123562E-15
        0.256786E-04        0.608507E-01        0.126442E-15
        0.258269E-04        0.612020E-01        0.129389E-15
        0.259760E-04        0.615553E-01        0.132404E-15
        0.261259E-04        0.619107E-01        0.135490E-15
        0.262767E-04        0.622681E-01        0.138648E-15
        0.264284E-04        0.626275E-01        0.141879E-15
        0.265810E-04        0.629891E-01        0.145185E-15
        0.267345E-04        0.633527E-01        0.148569E-15
        0.268888E-04        0.637185E-01        0.152031E-15
        0.270440E-04        0.640863E-01        0.155574E-15
        0.272002E-04        0.644563E-01        0.159200E-15
        0.273572E-04        0.648284E-01        0.162909E-15
        0.275151E-04        0.652026E-01        0.166706E-15
        0.276740E-04        0.655791E-01        0.170590E-15
        0.278337E-04        0.659576E-01        0.174565E-15
        0.279944E-04        0.663384E-01        0.178633E-15
        0.281560E-04        0.667214E-01        0.182795E-15
        0.283186E-04        0.671066E-01        0.187055E-15
        0.284821E-04        0.674940E-01        0.191413E-15
        0.286465E-04        0.678836E-01        0.195873E-15
        0.288119E-04        0.682755E-01        0.200437E-15
        0.289782E-04        0.686697E-01        0.205107E-15
        0.291455E-04        0.690661E-01        0.209886E-15
        0.293138E-04        0.694648E-01        0.214776E-15
        0.294830E-04        0.698658E-01        0.219780E-15
        0.296532E-04        0.702692E-01        0.224900E-15
        0.298244E-04        0.706748E-01        0.230140E-15
        0.299966E-04        0.710828E-01        0.235501E-15
