# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_fld            13:(.)w_fld              14:(.)rho_ur             15:(.)rho_crit           16:gr.fac. D             17:gr.fac. f          
       8.517696811915e+13       1.041817076187e-25       5.440597306006e-09       1.565324589818e+22       1.403502519716e+04       1.647748858297e-10       1.195460893770e+18       3.141645240377e-09       1.448330848536e+44       1.514882849619e+33       8.277124066682e+33       5.275754478993e-04      -9.000000000000e-01       1.001910222855e+44       2.450241071488e+44       1.826964277101e-06       6.232893980709e+00 
       8.458487400115e+13       1.056453564290e-25       5.478796083480e-09       1.543638019285e+22       1.403502519716e+04       1.659283100305e-10       1.187150837904e+18       3.163636757059e-09       1.408477451704e+44       1.483510543315e+33       8.105709840428e+33       5.264725535441e-04      -9.000000000000e-01       9.743408827823e+43       2.382818334582e+44       1.906397506540e-06       5.973190064846e+00 
       8.399689573103e+13       1.071295680415e-25       5.518813850358e-09       1.522251902310e+22       1.403502519716e+04       1.670898082008e-10       1.178898548068e+18       3.185782214359e-09       1.369720691902e+44       1.452787938474e+33       7.937845498980e+33       5.253719647852e-04      -9.000000000000e-01       9.475301620897e+43       2.317250854086e+44       1.985830735979e-06       5.734262462252e+00 
       8.341300469814e+13       1.086346313429e-25       5.557012627833e-09       1.501162076300e+22       1.403502519716e+04       1.682594368582e-10       1.170703622709e+18       3.208082689859e-09       1.332030393213e+44       1.422701580172e+33       7.773457526374e+33       5.242736768026e-04      -9.000000000000e-01       9.214571860169e+43       2.253487579321e+44       2.065263965418e-06       5.513713906012e+00 
       8.283317249071e+13       1.101608392786e-25       5.595211405307e-09       1.480364436334e+22       1.403502519716e+04       1.694372529162e-10       1.162565663067e+18       3.230539268688e-09       1.295377210063e+44       1.393238292127e+33       7.612473929117e+33       5.231776847867e-04      -9.000000000000e-01       8.961016542097e+43       2.191478864363e+44       2.144697194857e-06       5.309502279863e+00 
       8.225737089444e+13       1.117084889096e-25       5.635229172185e-09       1.459854934362e+22       1.403502519716e+04       1.706233136866e-10       1.154484273155e+18       3.253153043568e-09       1.259732604377e+44       1.364385170934e+33       7.454824204656e+33       5.220839839377e-04      -9.000000000000e-01       8.714438249143e+43       2.131176429380e+44       2.224130424296e-06       5.119877198439e+00 
       8.168557189121e+13       1.132778814703e-25       5.673427949660e-09       1.439629578415e+22       1.403502519716e+04       1.718176768824e-10       1.146459059737e+18       3.275925114873e-09       1.225068823353e+44       1.336129580404e+33       7.300439310506e+33       5.209925694659e-04      -9.000000000000e-01       8.474644996064e+43       2.072533323046e+44       2.303563653735e-06       4.943329708838e+00 
       8.111774765760e+13       1.148693224271e-25       5.713445716538e-09       1.419684431832e+22       1.403502519716e+04       1.730204006206e-10       1.138489632311e+18       3.298856590677e-09       1.191358877859e+44       1.308459146041e+33       7.149251634008e+33       5.199034365916e-04      -9.000000000000e-01       8.241450080431e+43       2.015503885986e+44       2.382996883175e-06       4.778552051877e+00 
       8.055387056366e+13       1.164831215379e-25       5.753463483416e-09       1.400015612492e+22       1.403502519716e+04       1.742315434249e-10       1.130575603089e+18       3.321948586812e-09       1.158576521413e+44       1.281361749615e+33       7.001194962722e+33       5.188165805453e-04      -9.000000000000e-01       8.014671937265e+43       1.960043715222e+44       2.462430112614e-06       4.624405211493e+00 
       7.999391317146e+13       1.181195929123e-25       5.793481250294e-09       1.380619292058e+22       1.403502519716e+04       1.754511642289e-10       1.122716586981e+18       3.345202226919e-09       1.126696229756e+44       1.254825523857e+33       6.856204455425e+33       5.177319965672e-04      -9.000000000000e-01       7.794133997669e+43       1.906109629604e+44       2.541863342053e-06       4.479892548634e+00 
       7.943784823382e+13       1.197790550732e-25       5.835318006575e-09       1.361491695232e+22       1.403502519716e+04       1.766793223785e-10       1.114912201570e+18       3.368618642508e-09       1.095693180972e+44       1.228838847262e+33       6.714216613718e+33       5.166496799075e-04      -9.000000000000e-01       7.579664551354e+43       1.853659636186e+44       2.621296571492e-06       4.344138228979e+00 
       7.888564869297e+13       1.214618310179e-25       5.875335773453e-09       1.342629099020e+22       1.403502519716e+04       1.779160776351e-10       1.107162067100e+18       3.392198973005e-09       1.065543236164e+44       1.203390339001e+33       6.575169254216e+33       5.155696258264e-04      -9.000000000000e-01       7.371096612945e+43       1.802652897536e+44       2.700729800931e-06       4.216369457538e+00 
       7.833728767921e+13       1.231682482819e-25       5.917172529735e-09       1.324027832009e+22       1.403502519716e+04       1.791614901786e-10       1.099465806455e+18       3.415944365816e-09       1.036222920661e+44       1.178468853932e+33       6.439001481313e+33       5.144918295941e-04      -9.000000000000e-01       7.168267791965e+43       1.753049699934e+44       2.780163030370e-06       4.095901758751e+00 
       7.779273850965e+13       1.248986390020e-25       5.957190296613e-09       1.305684273648e+22       1.403502519716e+04       1.804156206098e-10       1.091823045139e+18       3.439855976376e-09       1.007709405738e+44       1.154063477724e+33       6.305653660515e+33       5.134162864904e-04      -9.000000000000e-01       6.971020166400e+43       1.704811422453e+44       2.859596259809e-06       3.982126709897e+00 
       7.725197468684e+13       1.266533399813e-25       5.999027052894e-09       1.287594853551e+22       1.403502519716e+04       1.816785299541e-10       1.084233411260e+18       3.463934968211e-09       9.799804908440e+43       1.130163522077e+33       6.175067392322e+33       5.123429918053e-04      -9.000000000000e-01       6.779200159740e+43       1.657900506891e+44       2.939029489248e-06       3.874501663683e+00 
       7.671496989756e+13       1.284326927547e-25       6.040863809176e-09       1.269756050794e+22       1.403502519716e+04       1.829502796638e-10       1.076696535511e+18       3.488182512988e-09       9.530145863146e+43       1.106758520036e+33       6.047185486651e+33       5.112719408385e-04      -9.000000000000e-01       6.592658421409e+43       1.612280428527e+44       3.018462718687e-06       3.772541093587e+00 
       7.618169801148e+13       1.302370436552e-25       6.084519554861e-09       1.252164393233e+22       1.403502519716e+04       1.842309316214e-10       1.069212051153e+18       3.512599790579e-09       9.267906965640e+43       1.083838221411e+33       5.921951937793e+33       5.102031288993e-04      -9.000000000000e-01       6.411249710473e+43       1.567915667681e+44       3.097895948126e-06       3.675809270674e+00 
       7.565213307992e+13       1.320667438815e-25       6.126356311142e-09       1.234816456831e+22       1.403502519716e+04       1.855205481428e-10       1.061779593995e+18       3.537187989113e-09       9.012884037369e+43       1.061392588289e+33       5.799311899882e+33       5.091365513073e-04      -9.000000000000e-01       6.234832782562e+43       1.524771682062e+44       3.177329177565e-06       3.583914038907e+00 
       7.512624933457e+13       1.339221495663e-25       6.170012056828e-09       1.217708864987e+22       1.403502519716e+04       1.868191919798e-10       1.054398802379e+18       3.561948305036e-09       8.764878518120e+43       1.039411790634e+33       5.679211662878e+33       5.080722033914e-04      -9.000000000000e-01       6.063270279898e+43       1.482814879869e+44       3.256762407004e-06       3.496501501373e+00 
       7.460402118627e+13       1.358036218455e-25       6.211848813109e-09       1.200838287881e+22       1.403502519716e+04       1.881269263236e-10       1.047069317158e+18       3.586881943171e-09       8.523697311413e+43       1.017886201986e+33       5.561598629041e+33       5.070100804906e-04      -9.000000000000e-01       5.896428624344e+43       1.442012593641e+44       3.336195636443e-06       3.413251465626e+00 
       7.408542322370e+13       1.377115269288e-25       6.255504558794e-09       1.184201441825e+22       1.403502519716e+04       1.894438148079e-10       1.039790781687e+18       3.611990116773e-09       8.289152634162e+43       9.968063952409e+32       5.446421289901e+33       5.059501779534e-04      -9.000000000000e-01       5.734177913402e+43       1.402333054821e+44       3.415628865882e-06       3.333873524565e+00 
       7.357043021222e+13       1.396462361706e-25       6.299160304479e-09       1.167795088625e+22       1.403502519716e+04       1.907699215115e-10       1.032562841794e+18       3.637274047590e-09       8.061061870468e+43       9.761631385265e+32       5.333629203695e+33       5.048924911382e-04      -9.000000000000e-01       5.576391819075e+43       1.363745369017e+44       3.495062095321e-06       3.258103671734e+00 
       7.305901709257e+13       1.416081261426e-25       6.344635039568e-09       1.151616034950e+22       1.403502519716e+04       1.921053109621e-10       1.025385145774e+18       3.662734965923e-09       7.839247429430e+43       9.559473911558e+32       5.223172973281e+33       5.038370154130e-04      -9.000000000000e-01       5.422947489502e+43       1.326219491955e+44       3.574495324760e-06       3.185701367918e+00 
       7.255115897971e+13       1.435975787067e-25       6.388290785253e-09       1.135661131711e+22       1.403502519716e+04       1.934500481389e-10       1.018257344363e+18       3.688374110685e-09       7.623536606878e+43       9.361502996691e+32       5.115004224499e+33       5.027837461557e-04      -9.000000000000e-01       5.273725453312e+43       1.289726206080e+44       3.653928554199e-06       3.116446990354e+00 
       7.204683116158e+13       1.456149810900e-25       6.433765520342e-09       1.119927273447e+22       1.403502519716e+04       1.948041984758e-10       1.011179090728e+18       3.714192729459e-09       7.413761450905e+43       9.167631939567e+32       5.009075584990e+33       5.017326787534e-04      -9.000000000000e-01       5.128609526601e+43       1.254237097810e+44       3.733361783638e-06       3.050139607581e+00 
       7.154600909790e+13       1.476607259593e-25       6.477421266027e-09       1.104411397720e+22       1.403502519716e+04       1.961678278652e-10       1.004150040445e+18       3.740192078565e-09       7.209758631098e+43       8.977775834615e+32       4.905340663449e+33       5.006838086034e-04      -9.000000000000e-01       4.987486722469e+43       1.219724535415e+44       3.812795013077e-06       2.986595032423e+00 
       7.104866841896e+13       1.497352114983e-25       6.522896001115e-09       1.089110484523e+22       1.403502519716e+04       1.975410026602e-10       9.971698514845e+17       3.766373423115e-09       7.011369311369e+43       8.791851534608e+32       4.803754029303e+33       4.996371311122e-04      -9.000000000000e-01       4.850247163053e+43       1.186161647499e+44       3.892228242516e-06       2.925644113394e+00 
       7.055478492449e+13       1.518388414846e-25       6.568370736204e-09       1.074021555688e+22       1.403502519716e+04       1.989237896788e-10       9.902381841952e+17       3.792738037076e-09       6.818439026289e+43       8.609777614246e+32       4.704271192824e+33       4.985926416961e-04      -9.000000000000e-01       4.716783993974e+43       1.153522302082e+44       3.971661471955e-06       2.867131231126e+00 
       7.006433458242e+13       1.539720253686e-25       6.615664460696e-09       1.059141674306e+22       1.403502519716e+04       2.003162562066e-10       9.833547012862e+17       3.819287203336e-09       6.630817560821e+43       8.431474334498e+32       4.606848585634e+33       4.975503357809e-04      -9.000000000000e-01       4.586993301144e+43       1.121781086251e+44       4.051094701394e-06       2.810912971692e+00 
       6.957729352772e+13       1.561351783530e-25       6.661139195785e-09       1.044467944158e+22       1.403502519716e+04       2.017184700000e-10       9.765190678115e+17       3.846022213759e-09       6.448358833359e+43       8.256863607683e+32       4.511443541634e+33       4.965102088020e-04      -9.000000000000e-01       4.460774029851e+43       1.090913286374e+44       4.130527930833e-06       2.756856953006e+00 
       6.909363806129e+13       1.583287214737e-25       6.708432920277e-09       1.029997509152e+22       1.403502519716e+04       2.031304992900e-10       9.697309511534e+17       3.872944369255e-09       6.270920781994e+43       8.085868963263e+32       4.418014278312e+33       4.954722562044e-04      -9.000000000000e-01       4.338027906086e+43       1.060894868860e+44       4.209961160272e-06       2.704840784082e+00 
       6.861334464875e+13       1.605530816817e-25       6.755726644769e-09       1.015727552764e+22       1.403502519716e+04       2.045524127851e-10       9.629900210063e+17       3.900054979839e-09       6.098365253901e+43       7.918415514365e+32       4.326519878446e+33       4.944364734426e-04      -9.000000000000e-01       4.218659360024e+43       1.031702461444e+44       4.289394389711e-06       2.654751139932e+00 
       6.813638991932e+13       1.628086919262e-25       6.803020369262e-09       1.001655297490e+22       1.403502519716e+04       2.059842796746e-10       9.562959493608e+17       3.927355364698e-09       5.930557897776e+43       7.754429924972e+32       4.236920272186e+33       4.934028559804e-04      -9.000000000000e-01       4.102575451612e+43       1.003313334989e+44       4.368827619150e-06       2.606482937388e+00 
       6.766275066466e+13       1.650959912391e-25       6.850314093754e-09       9.877780043072e+21       1.403502519716e+04       2.074261696323e-10       9.496484104874e+17       3.954846852251e-09       5.767368059232e+43       7.593840377815e+32       4.149176219505e+33       4.923713992915e-04      -9.000000000000e-01       3.989685798209e+43       9.757053857932e+43       4.448260848589e-06       2.559938599220e+00 
       6.719240383780e+13       1.674154248200e-25       6.897607818246e-09       9.740929721418e+21       1.403502519716e+04       2.088781528197e-10       9.430470809210e+17       3.982530780216e-09       5.608668679066e+43       7.436576542916e+32       4.063249293011e+33       4.913420988585e-04      -9.000000000000e-01       3.879902504213e+43       9.488571183760e+43       4.527694078028e-06       2.515027395725e+00 
       6.672532655193e+13       1.697674441233e-25       6.946720532142e-09       9.605975373399e+21       1.403502519716e+04       2.103402998894e-10       9.364916394448e+17       4.010408495677e-09       5.454336194339e+43       7.282569546789e+32       3.979101861122e+33       4.903149501740e-04      -9.000000000000e-01       3.773140092625e+43       9.227476287435e+43       4.607127307467e-06       2.471664854420e+00 
       6.626149607938e+13       1.721525069457e-25       6.994014256634e-09       9.472890731514e+21       1.403502519716e+04       2.118126819887e-10       9.299817670753e+17       4.038481355147e-09       5.304250442161e+43       7.131751942274e+32       3.896697071582e+33       4.892899487397e-04      -9.000000000000e-01       3.669315438497e+43       8.973565881119e+43       4.686560536906e-06       2.429772229769e+00 
       6.580088985043e+13       1.745710775158e-25       7.043126970530e-09       9.341649892180e+21       1.403502519716e+04       2.132953707626e-10       9.235171470460e+17       4.066750724632e-09       5.158294566141e+43       6.984057679005e+32       3.815998835324e+33       4.882670900668e-04      -9.000000000000e-01       3.568347704214e+43       8.726642270807e+43       4.765993766345e-06       2.389276025940e+00 
       6.534348545226e+13       1.770236265838e-25       7.092239684425e-09       9.212227310694e+21       1.403502519716e+04       2.147884383579e-10       9.170974647924e+17       4.095217979704e-09       5.016354925399e+43       6.839422074474e+32       3.736971810663e+33       4.872463696758e-04      -9.000000000000e-01       3.470158276548e+43       8.486513202389e+43       4.845426995784e-06       2.350107566498e+00 
       6.488926062786e+13       1.795106315137e-25       7.143171387725e-09       9.084597796256e+21       1.403502519716e+04       2.162919574264e-10       9.107224079369e+17       4.123884505562e-09       4.878321006084e+43       6.697781785712e+32       3.659581387818e+33       4.862277830967e-04      -9.000000000000e-01       3.374670705457e+43       8.252991711974e+43       4.924860225223e-06       2.312202605748e+00 
       6.443819327494e+13       1.820325763758e-25       7.192284101620e-09       8.958736507070e+21       1.403502519716e+04       2.178060011284e-10       9.043916662730e+17       4.152751697101e-09       4.744085335330e+43       6.559074781544e+32       3.583793673758e+33       4.852113258688e-04      -9.000000000000e-01       3.281810644556e+43       8.025895980310e+43       5.004293454662e-06       2.275500977086e+00 
       6.399026144483e+13       1.845899520413e-25       7.243215804920e-09       8.834618945506e+21       1.403502519716e+04       2.193306431363e-10       8.981049317507e+17       4.181820958980e-09       4.613543397580e+43       6.423240315423e+32       3.509575477354e+33       4.841969935406e-04      -9.000000000000e-01       3.191505793234e+43       7.805049191229e+43       5.083726684102e-06       2.239946274319e+00 
       6.354544334144e+13       1.871832562775e-25       7.294147508219e-09       8.712220953334e+21       1.403502519716e+04       2.208659576383e-10       8.918618984615e+17       4.211093705693e-09       4.486593553207e+43       6.290218898824e+32       3.436894294846e+33       4.831847816701e-04      -9.000000000000e-01       3.103685840358e+43       7.590279393971e+43       5.163159913541e-06       2.205485562406e+00 
       6.310371732019e+13       1.898129938449e-25       7.345079211518e-09       8.591518707021e+21       1.403502519715e+04       2.224120193417e-10       8.856622626231e+17       4.240571361632e-09       4.363136959379e+43       6.159952275197e+32       3.365718295607e+33       4.821746858244e-04      -9.000000000000e-01       3.018282409532e+43       7.381419369309e+43       5.242593142980e-06       2.172069114491e+00 
       6.266506188699e+13       1.924796765954e-25       7.396010914817e-09       8.472488713092e+21       1.403502519715e+04       2.239689034771e-10       8.795057225651e+17       4.270255361163e-09       4.243077493099e+43       6.032383394447e+32       3.296016308204e+33       4.811667015800e-04      -9.000000000000e-01       2.935229005859e+43       7.178306499347e+43       5.322026372419e-06       2.139650172484e+00 
       6.222945569711e+13       1.951838235719e-25       7.448761607520e-09       8.355107803562e+21       1.403502519715e+04       2.255366858015e-10       8.733919787141e+17       4.300147148691e-09       4.126321676367e+43       5.907456387954e+32       3.227757806744e+33       4.801608245227e-04      -9.000000000000e-01       2.854460964164e+43       6.980782640913e+43       5.401459601858e-06       2.108184728771e+00 
       6.179687755423e+13       1.979259611092e-25       7.499693310820e-09       8.239353131420e+21       1.403502519715e+04       2.271154426021e-10       8.673207335791e+17       4.330248178731e-09       4.012778603396e+43       5.785116544100e+32       3.160912897507e+33       4.791570502473e-04      -9.000000000000e-01       2.775915398654e+43       6.788694002424e+43       5.480892831297e-06       2.077631326905e+00 
       6.136730640936e+13       2.007066229368e-25       7.552444003522e-09       8.125202166189e+21       1.403502519715e+04       2.287052507003e-10       8.612916917369e+17       4.360559915982e-09       3.902359869831e+43       5.665310284317e+32       3.095452305855e+33       4.781553743580e-04      -9.000000000000e-01       2.699531153946e+43       6.601891024144e+43       5.560326060736e-06       2.047950879378e+00 
       6.094072135984e+13       2.035263502824e-25       7.605194696225e-09       8.012632689535e+21       1.403502519715e+04       2.303061874552e-10       8.553045598182e+17       4.391083835394e-09       3.794979503924e+43       5.547985139610e+32       3.031347363409e+33       4.771557924681e-04      -9.000000000000e-01       2.625248757458e+43       6.420228261740e+43       5.639759290175e-06       2.019106500796e+00 
       6.051710164830e+13       2.063856919775e-25       7.657945388928e-09       7.901622790946e+21       1.403502519715e+04       2.319183307674e-10       8.493590464927e+17       4.421821422241e-09       3.690553899588e+43       5.433089727591e+32       2.968569995495e+33       4.761583002001e-04      -9.000000000000e-01       2.553010373101e+43       6.243564273040e+43       5.719192519614e-06       1.991063354951e+00 
       6.009642666167e+13       2.092852045641e-25       7.712515071034e-09       7.792150863467e+21       1.403502519715e+04       2.335417590828e-10       8.434548624555e+17       4.452774172196e-09       3.589001751309e+43       5.320573729967e+32       2.907092708848e+33       4.751628931857e-04      -9.000000000000e-01       2.482759756250e+43       6.071761507903e+43       5.798625749053e-06       1.963788514473e+00 
       5.967867593016e+13       2.122254524030e-25       7.767084753141e-09       7.684195599491e+21       1.403502519715e+04       2.351765513963e-10       8.375917204126e+17       4.483943591401e-09       3.490243990837e+43       5.210387870506e+32       2.846888579573e+33       4.741695670657e-04      -9.000000000000e-01       2.414442209950e+43       5.904686201124e+43       5.878058978492e-06       1.937250831845e+00 
       5.926382912628e+13       2.152070077838e-25       7.821654435247e-09       7.577735986617e+21       1.403502519715e+04       2.368227872561e-10       8.317693350672e+17       4.515331196541e-09       3.394203725627e+43       5.102483893459e+32       2.787931241352e+33       4.731783174900e-04      -9.000000000000e-01       2.348004542330e+43       5.742208268287e+43       5.957492207932e-06       1.911420820754e+00 
       5.885186606383e+13       2.182304510361e-25       7.876224117354e-09       7.472751303555e+21       1.403502519715e+04       2.384805467669e-10       8.259874231054e+17       4.546938514916e-09       3.300806178968e+43       4.996814542423e+32       2.730194873897e+33       4.721891401175e-04      -9.000000000000e-01       2.283395025187e+43       5.584201204478e+43       6.036925437371e-06       1.886270546797e+00 
